dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022061411,0.002,0.3,0.026000000000000002,0.013999999999999999,8,8.0
2022061412,0.002,0.3,0.031,0.013999999999999999,9,5.0
2022061413,0.002,0.3,0.032,0.013000000000000001,15,10.0
2022061414,0.003,0.3,0.032,0.012,5,
2022061415,0.002,0.3,0.032,0.012,11,11.0
2022061416,0.002,0.3,0.031,0.012,9,8.0
2022061417,0.002,0.3,0.03,0.011000000000000001,7,6.0
2022061418,0.002,0.3,0.027000000000000003,0.011000000000000001,4,
2022061419,0.002,0.3,0.027999999999999997,0.011000000000000001,3,
2022061420,0.002,0.3,0.027000000000000003,0.01,5,
2022061421,0.002,0.3,0.027999999999999997,0.01,4,
2022061422,0.002,0.3,0.027999999999999997,0.009000000000000001,2,
2022061423,0.002,0.2,0.03,0.008,4,3.0
2022061424,0.002,0.2,0.03,0.008,3,2.0
2022061501,0.002,0.2,0.031,0.006999999999999999,3,
2022061502,0.002,0.2,0.031,0.006999999999999999,4,4.0
2022061503,0.002,0.2,0.031,0.006,5,
2022061504,0.002,0.3,0.027000000000000003,0.006999999999999999,9,4.0
2022061505,0.002,0.3,0.024,0.006999999999999999,9,2.0
2022061506,0.002,0.2,0.023,0.006999999999999999,9,3.0
2022061507,0.002,0.3,0.017,0.009000000000000001,7,5.0
2022061508,0.002,0.3,0.013000000000000001,0.011000000000000001,6,
2022061509,0.003,0.3,0.013999999999999999,0.013999999999999999,8,
2022061510,0.003,0.3,0.012,0.017,12,11.0
2022061511,0.003,0.3,0.012,0.02,20,10.0
2022061512,,,,,21,13.0
2022061513,,,,,23,11.0
2022061514,0.002,0.3,0.028999999999999998,0.021,16,9.0
2022061515,0.002,0.3,0.036000000000000004,0.023,21,12.0
2022061516,0.002,0.3,0.042,0.018000000000000002,13,12.0
2022061517,0.002,0.3,0.042,0.018000000000000002,16,15.0
2022061518,0.002,0.3,0.046,0.013999999999999999,16,11.0
2022061519,0.002,0.3,0.045,0.012,9,
2022061520,0.002,0.3,0.047,0.011000000000000001,13,8.0
2022061521,0.002,0.3,0.045,0.011000000000000001,13,
2022061522,0.002,0.3,0.05,0.01,16,13.0
2022061523,0.002,0.3,0.055,0.009000000000000001,21,15.0
2022061524,0.002,0.3,0.057999999999999996,0.01,27,22.0
2022061601,0.002,0.3,0.062,0.01,29,28.0
2022061602,0.002,0.3,0.067,0.009000000000000001,35,27.0
2022061603,0.002,0.3,0.07,0.009000000000000001,41,31.0
2022061604,0.002,0.3,0.068,0.008,43,33.0
2022061605,0.002,0.3,0.07,0.008,35,33.0
2022061606,0.002,0.3,0.07200000000000001,0.009000000000000001,47,32.0
2022061607,0.002,0.3,0.073,0.011000000000000001,44,36.0
2022061608,0.002,0.4,0.07,0.013999999999999999,44,34.0
2022061609,0.002,0.4,0.068,0.017,46,41.0
2022061610,0.002,0.4,0.075,0.016,55,40.0
2022061611,0.003,0.4,0.067,0.017,48,37.0
2022061612,0.003,0.4,0.07,0.02,56,41.0
2022061613,0.002,0.4,0.07,0.019,54,40.0
2022061614,0.003,0.4,0.063,0.023,48,37.0
2022061615,0.003,0.4,0.063,0.024,51,38.0
2022061616,0.003,0.4,0.069,0.019,46,40.0
2022061617,0.003,0.4,0.075,0.013999999999999999,47,40.0
2022061618,0.002,0.4,0.07,0.011000000000000001,45,32.0
2022061619,0.002,0.4,0.065,0.011000000000000001,41,31.0
2022061620,0.002,0.4,0.055,0.013000000000000001,40,26.0
2022061621,0.002,0.4,0.049,0.013999999999999999,41,29.0
2022061622,0.002,0.3,0.054000000000000006,0.013000000000000001,40,28.0
2022061623,0.003,0.3,0.047,0.013999999999999999,30,25.0
2022061624,0.002,0.3,0.055999999999999994,0.013999999999999999,30,28.0
2022061701,0.003,0.3,0.049,0.013000000000000001,37,24.0
2022061702,0.003,0.3,0.052000000000000005,0.013000000000000001,26,
2022061703,0.002,0.3,0.067,0.01,31,30.0
2022061704,0.002,0.3,0.068,0.008,33,27.0
2022061705,0.002,0.3,0.064,0.008,32,29.0
2022061706,0.002,0.3,0.067,0.008,34,31.0
2022061707,0.002,0.4,0.055999999999999994,0.01,34,28.0
2022061708,0.002,0.3,0.054000000000000006,0.013999999999999999,39,32.0
2022061709,0.002,0.4,0.045,0.017,34,32.0
2022061710,0.002,0.3,0.043,0.023,36,28.0
2022061711,0.002,0.3,0.038,0.032,36,29.0
2022061712,0.002,0.3,0.040999999999999995,0.03,28,24.0
2022061713,0.002,0.3,0.044000000000000004,0.026000000000000002,25,22.0
2022061714,0.002,0.3,0.046,0.022000000000000002,15,14.0
2022061715,0.002,0.3,0.040999999999999995,0.021,25,14.0
2022061716,0.002,0.3,0.045,0.02,18,15.0
2022061717,0.002,0.3,0.040999999999999995,0.017,13,11.0
2022061718,0.002,0.3,0.04,0.016,16,9.0
2022061719,0.002,0.3,0.037000000000000005,0.013999999999999999,14,9.0
2022061720,0.002,0.3,0.034,0.013000000000000001,16,8.0
2022061721,0.002,0.3,0.036000000000000004,0.013000000000000001,12,
2022061722,0.002,0.3,0.03,0.013000000000000001,21,16.0
2022061723,0.002,0.3,0.028999999999999998,0.013000000000000001,18,14.0
2022061724,0.002,0.3,0.031,0.012,13,13.0
2022061801,0.002,0.2,0.033,0.01,9,
2022061802,0.002,0.2,0.032,0.009000000000000001,6,
2022061803,0.002,0.2,0.033,0.009000000000000001,7,5.0
2022061804,0.002,0.3,0.027000000000000003,0.009000000000000001,7,7.0
2022061805,0.003,0.3,0.012,0.012,10,7.0
2022061806,0.002,0.3,0.022000000000000002,0.013999999999999999,10,
2022061807,0.002,0.3,0.02,0.013999999999999999,6,
2022061808,0.003,0.3,0.017,0.015,12,11.0
2022061809,0.003,0.3,0.013000000000000001,0.018000000000000002,15,12.0
2022061810,0.003,0.3,0.013000000000000001,0.02,19,14.0
2022061811,0.003,0.3,0.023,0.021,27,13.0
2022061812,0.002,0.3,0.027999999999999997,0.022000000000000002,18,17.0
2022061813,0.002,0.3,0.027000000000000003,0.021,15,8.0
2022061814,0.002,0.3,0.03,0.02,12,
2022061815,0.003,0.3,0.035,0.02,20,
2022061816,0.003,0.3,0.035,0.018000000000000002,26,17.0
2022061817,0.003,0.3,0.038,0.018000000000000002,20,8.0
2022061818,0.002,0.3,0.033,0.016,14,9.0
2022061819,0.002,0.3,0.031,0.016,12,7.0
2022061820,0.002,0.3,0.028999999999999998,0.015,11,10.0
2022061821,0.002,0.3,0.028999999999999998,0.015,20,10.0
2022061822,0.002,0.3,0.025,0.015,17,10.0
2022061823,0.002,0.2,0.032,0.013000000000000001,10,9.0
2022061824,0.002,0.2,0.033,0.01,9,
2022061901,0.002,0.2,0.03,0.01,15,8.0
2022061902,0.002,0.2,0.021,0.011000000000000001,6,
2022061903,0.002,0.2,0.016,0.013999999999999999,8,8.0
2022061904,0.002,0.2,0.016,0.016,12,9.0
2022061905,0.002,0.2,0.027000000000000003,0.013999999999999999,8,
2022061906,0.002,0.2,0.031,0.01,7,6.0
2022061907,0.002,0.2,0.027999999999999997,0.009000000000000001,10,7.0
2022061908,0.002,0.3,0.016,0.012,8,7.0
2022061909,0.003,0.2,0.019,0.015,17,13.0
2022061910,0.003,0.2,0.023,0.018000000000000002,16,13.0
2022061911,0.003,0.2,0.028999999999999998,0.018000000000000002,13,12.0
2022061912,0.002,0.2,0.036000000000000004,0.016,11,11.0
2022061913,0.002,0.2,0.036000000000000004,0.013999999999999999,8,
2022061914,0.002,0.2,0.035,0.013000000000000001,14,8.0
2022061915,0.002,0.2,0.035,0.013000000000000001,12,12.0
2022061916,0.002,0.2,0.035,0.015,20,11.0
2022061917,0.002,0.2,0.039,0.016,13,9.0
2022061918,0.002,0.3,0.036000000000000004,0.015,17,14.0
2022061919,0.002,0.2,0.035,0.015,9,
2022061920,0.002,0.3,0.032,0.013000000000000001,20,13.0
2022061921,0.002,0.3,0.03,0.013999999999999999,13,12.0
2022061922,0.002,0.3,0.026000000000000002,0.013999999999999999,13,10.0
2022061923,0.002,0.2,0.017,0.015,11,11.0
2022061924,0.002,0.3,0.016,0.017,8,
2022062001,0.002,0.2,0.03,0.015,13,8.0
2022062002,0.002,0.2,0.027999999999999997,0.011000000000000001,8,8.0
2022062003,0.002,0.2,0.018000000000000002,0.012,7,5.0
2022062004,0.002,0.2,0.023,0.012,6,
2022062005,0.002,0.2,0.027999999999999997,0.01,4,
2022062006,0.002,0.2,0.026000000000000002,0.01,6,
2022062007,0.002,0.2,0.009000000000000001,0.013000000000000001,14,13.0
2022062008,0.003,0.3,0.01,0.016,15,12.0
2022062009,0.003,0.2,0.013000000000000001,0.018000000000000002,19,17.0
2022062010,0.003,0.2,0.018000000000000002,0.02,21,17.0
2022062011,0.002,0.2,0.02,0.021,15,11.0
2022062012,0.003,0.2,0.015,0.022000000000000002,10,8.0
2022062013,0.003,0.3,0.026000000000000002,0.023,12,12.0
2022062014,0.002,0.3,0.026000000000000002,0.024,14,
2022062015,0.002,0.2,0.026000000000000002,0.023,13,10.0
2022062016,0.003,0.2,0.016,0.021,14,10.0
2022062017,0.003,0.2,0.02,0.021,14,9.0
2022062018,0.002,0.2,0.022000000000000002,0.019,10,7.0
2022062019,0.003,0.2,0.017,0.019,7,5.0
2022062020,0.003,0.3,0.017,0.019,13,
2022062021,0.003,0.3,0.016,0.018000000000000002,12,
2022062022,0.003,0.3,0.013999999999999999,0.019,22,18.0
2022062023,0.003,0.2,0.015,0.019,20,13.0
2022062024,0.003,0.2,0.013999999999999999,0.019,15,14.0
2022062101,0.003,0.2,0.018000000000000002,0.018000000000000002,11,
2022062102,0.002,0.2,0.025,0.016,12,10.0
2022062103,0.002,0.2,0.012,0.016,15,9.0
2022062104,0.002,0.2,0.015,0.016,18,16.0
2022062105,0.002,0.2,0.012,0.017,20,14.0
2022062106,0.003,0.2,0.004,0.017,15,12.0
2022062107,0.003,0.2,0.006,0.016,24,21.0
2022062108,0.002,0.3,0.009000000000000001,0.016,21,13.0
2022062109,0.002,0.3,0.013999999999999999,0.017,18,18.0
2022062110,0.002,0.2,0.019,0.018000000000000002,14,6.0
2022062111,0.002,0.2,0.022000000000000002,0.019,12,12.0
2022062112,0.002,0.2,0.028999999999999998,0.017,7,6.0
2022062113,0.002,0.2,0.035,0.013999999999999999,15,5.0
2022062114,0.003,0.2,0.034,0.011000000000000001,15,12.0
2022062115,0.003,0.2,0.037000000000000005,0.01,15,11.0
2022062116,0.003,0.2,0.038,0.01,10,
2022062117,0.003,0.2,0.044000000000000004,0.01,15,10.0
2022062118,0.002,0.2,0.035,0.011000000000000001,20,17.0
2022062119,0.002,0.3,0.027999999999999997,0.015,12,
2022062120,0.002,0.3,0.024,0.016,17,13.0
2022062121,0.003,0.3,0.017,0.019,18,11.0
2022062122,0.003,0.2,0.03,0.018000000000000002,17,14.0
2022062123,0.002,0.2,0.036000000000000004,0.013999999999999999,14,13.0
2022062124,0.002,0.3,0.03,0.013999999999999999,15,
2022062201,0.003,0.3,0.024,0.013999999999999999,26,20.0
2022062202,0.003,0.3,0.024,0.013000000000000001,22,21.0
2022062203,0.004,0.2,0.024,0.013999999999999999,17,
2022062204,0.003,0.3,0.016,0.013999999999999999,11,
2022062205,0.004,0.3,0.005,0.015,20,12.0
2022062206,0.003,0.3,0.003,0.017,24,18.0
2022062207,0.003,0.3,0.005,0.016,34,21.0
2022062208,0.026000000000000002,0.3,0.011000000000000001,0.017,37,25.0
2022062209,,0.3,0.013999999999999999,0.019,31,20.0
2022062210,,0.3,0.021,0.021,32,21.0
2022062211,,0.3,0.028999999999999998,0.026000000000000002,34,20.0
2022062212,,,,,29,23.0
2022062213,,,,,28,22.0
2022062214,0.003,0.3,0.040999999999999995,0.027999999999999997,27,19.0
2022062215,0.002,0.3,0.046,0.026000000000000002,40,27.0
2022062216,0.002,0.3,0.039,0.025,37,23.0
2022062217,0.002,0.3,0.039,0.024,32,22.0
2022062218,0.002,0.3,0.032,0.019,32,18.0
2022062219,0.002,0.2,0.031,0.017,20,11.0
2022062220,0.002,0.2,0.032,0.016,22,15.0
2022062221,0.002,0.2,0.033,0.013999999999999999,14,10.0
2022062222,0.002,0.2,0.027999999999999997,0.013000000000000001,11,7.0
2022062223,0.002,0.2,0.027000000000000003,0.013000000000000001,16,7.0
2022062224,0.002,0.2,0.023,0.013999999999999999,14,6.0
2022062301,0.002,0.2,0.023,0.013999999999999999,10,7.0
2022062302,0.002,0.2,0.027000000000000003,0.013999999999999999,7,
