dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.018000000000000002,0.013000000000000001,16,8.0
2022063015,,,0.018000000000000002,0.013999999999999999,14,10.0
2022063016,,,0.02,0.013000000000000001,17,7.0
2022063017,,,0.017,0.012,21,13.0
2022063018,,,0.013999999999999999,0.011000000000000001,15,10.0
2022063019,,,0.011000000000000001,0.011000000000000001,15,11.0
2022063020,,0.3,0.006999999999999999,0.011000000000000001,15,9.0
2022063021,,0.2,0.006,0.011000000000000001,11,
2022063022,,0.2,0.005,0.011000000000000001,19,11.0
2022063023,,0.2,0.01,0.01,16,10.0
2022063024,,0.2,0.006,0.01,10,10.0
2022070101,,0.2,0.009000000000000001,0.01,6,
2022070102,,0.2,0.009000000000000001,0.009000000000000001,6,4.0
2022070103,0.003,0.2,0.005,0.008,8,7.0
2022070104,0.002,0.2,0.005,0.008,12,9.0
2022070105,0.002,0.2,0.006999999999999999,0.008,12,8.0
2022070106,0.003,0.2,0.003,0.006999999999999999,9,7.0
2022070107,0.003,0.3,0.004,0.006999999999999999,7,
2022070108,0.003,0.2,0.005,0.006,11,11.0
2022070109,0.003,0.2,0.006999999999999999,0.008,16,10.0
2022070110,0.003,0.2,0.009000000000000001,0.009000000000000001,14,
2022070111,0.003,0.2,0.013000000000000001,0.009000000000000001,13,
2022070112,0.003,0.2,0.013999999999999999,0.012,9,7.0
2022070113,0.002,0.2,0.013999999999999999,0.012,13,11.0
2022070114,0.003,0.2,0.012,0.012,13,8.0
2022070115,0.003,0.2,0.011000000000000001,0.013000000000000001,19,9.0
2022070116,0.004,0.2,0.01,0.013000000000000001,20,14.0
2022070117,0.006,0.2,0.01,0.012,25,18.0
2022070118,0.005,0.2,0.009000000000000001,0.01,31,26.0
2022070119,0.004,0.2,0.006999999999999999,0.009000000000000001,24,23.0
2022070120,0.003,0.2,0.004,0.009000000000000001,21,16.0
2022070121,0.003,0.3,0.003,0.008,21,15.0
2022070122,0.004,0.3,0.003,0.008,21,15.0
2022070123,0.004,0.3,0.003,0.008,17,
2022070124,0.004,0.3,0.003,0.008,24,22.0
2022070201,0.004,0.3,0.004,0.008,28,18.0
2022070202,0.004,0.2,0.009000000000000001,,25,24.0
2022070203,0.004,0.3,0.005,,28,25.0
2022070204,0.004,0.3,0.005,,29,21.0
2022070205,0.003,0.3,0.003,0.006999999999999999,25,25.0
2022070206,0.003,0.4,0.003,0.006999999999999999,30,23.0
2022070207,0.004,0.3,0.004,0.006999999999999999,32,23.0
2022070208,0.004,0.3,0.005,0.009000000000000001,40,39.0
2022070209,0.004,0.3,0.01,0.012,39,28.0
2022070210,0.004,0.2,0.021,0.017,30,22.0
2022070211,0.004,0.2,0.022000000000000002,0.019,38,26.0
2022070212,0.003,0.2,0.04,0.016,22,15.0
