dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.017,0.006,10.0,
2022063015,,,0.016,0.006999999999999999,15.0,8.0
2022063016,,,0.015,0.008,15.0,7.0
2022063017,,,0.013999999999999999,0.009000000000000001,17.0,4.0
2022063018,,,0.013999999999999999,0.008,14.0,8.0
2022063019,,,0.012,0.009000000000000001,10.0,8.0
2022063020,,,0.006,0.013000000000000001,13.0,6.0
2022063021,,,0.003,0.015,13.0,8.0
2022063022,,,0.004,0.011000000000000001,16.0,8.0
2022063023,,,0.008,0.006,15.0,6.0
2022063024,,,0.009000000000000001,0.005,15.0,5.0
2022070101,,,0.006999999999999999,0.006999999999999999,8.0,3.0
2022070102,,,0.006999999999999999,0.006,5.0,5.0
2022070103,,,0.006999999999999999,0.006,10.0,5.0
2022070104,,,0.006,0.006999999999999999,10.0,4.0
2022070105,,,0.006999999999999999,0.005,10.0,4.0
2022070106,,,0.002,0.011000000000000001,11.0,2.0
2022070107,,,0.003,0.011000000000000001,14.0,5.0
2022070108,,,0.004,0.011000000000000001,14.0,7.0
2022070109,,,0.006999999999999999,0.01,21.0,5.0
2022070110,,,0.01,0.011000000000000001,13.0,8.0
2022070111,,,0.013999999999999999,0.009000000000000001,16.0,5.0
2022070112,,,0.017,0.008,22.0,2.0
2022070113,,,0.019,0.006,18.0,6.0
2022070114,,,0.016,0.009000000000000001,21.0,6.0
2022070115,,,0.017,0.009000000000000001,21.0,6.0
2022070116,,,0.018000000000000002,0.011000000000000001,24.0,6.0
2022070117,,,0.022000000000000002,0.015,29.0,14.0
2022070118,,,0.018000000000000002,0.013999999999999999,36.0,11.0
2022070119,,,0.01,0.018000000000000002,42.0,20.0
2022070120,,,0.004,0.022000000000000002,36.0,15.0
2022070121,,,0.002,0.021,45.0,21.0
2022070122,,,0.002,0.021,45.0,22.0
2022070123,,,0.002,0.019,49.0,29.0
2022070124,,,0.002,0.018000000000000002,42.0,24.0
2022070201,,,0.002,0.018000000000000002,39.0,26.0
2022070202,,,0.003,0.013999999999999999,35.0,19.0
2022070203,,,0.002,0.013999999999999999,36.0,23.0
2022070204,,,0.003,0.012,37.0,22.0
2022070205,,,0.005,0.01,36.0,20.0
2022070206,,,0.005,0.01,35.0,22.0
2022070207,,,0.006,0.011000000000000001,35.0,16.0
2022070208,,,0.011000000000000001,0.012,36.0,14.0
2022070209,,,0.015,0.012,41.0,21.0
2022070210,,,0.031,0.009000000000000001,40.0,21.0
2022070211,,,0.053,0.009000000000000001,36.0,15.0
2022070212,,,0.057,0.012,34.0,13.0
2022070213,,,0.013999999999999999,0.006999999999999999,35.0,19.0
2022070214,,,0.013999999999999999,0.009000000000000001,18.0,9.0
2022070215,,,0.015,0.01,23.0,9.0
2022070216,,,0.018000000000000002,0.011000000000000001,34.0,7.0
2022070217,,,0.019,0.011000000000000001,37.0,10.0
2022070218,,,0.011000000000000001,0.013000000000000001,28.0,10.0
2022070219,,,0.006,0.013999999999999999,22.0,13.0
2022070220,,,0.008,0.013000000000000001,27.0,10.0
2022070221,,,0.003,0.017,29.0,10.0
2022070222,,,0.002,0.013999999999999999,42.0,10.0
2022070223,,,0.005,0.011000000000000001,26.0,12.0
2022070224,,,0.006999999999999999,0.011000000000000001,20.0,9.0
