dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.003,0.2,0.021,0.009000000000000001,13.0,2.0
2022063015,0.003,0.2,0.027000000000000003,0.012,22.0,3.0
2022063016,0.003,0.2,0.026000000000000002,0.012,12.0,5.0
2022063017,0.003,0.2,0.023,0.013999999999999999,12.0,4.0
2022063018,0.003,0.2,0.022000000000000002,0.008,20.0,7.0
2022063019,0.003,0.2,0.019,0.006999999999999999,16.0,10.0
2022063020,0.004,0.2,0.013000000000000001,0.011000000000000001,15.0,6.0
2022063021,0.005,0.3,0.006999999999999999,0.016,20.0,6.0
2022063022,0.003,0.2,0.012,0.01,24.0,9.0
2022063023,0.003,0.2,0.015,0.006,17.0,6.0
2022063024,0.003,0.2,0.016,0.005,9.0,2.0
2022070101,0.003,0.2,0.016,0.003,7.0,2.0
2022070102,0.003,0.2,0.015,0.004,11.0,2.0
2022070103,0.003,0.2,0.015,0.003,8.0,5.0
2022070104,0.004,0.2,0.013999999999999999,0.004,9.0,5.0
2022070105,0.003,0.2,0.012,0.005,11.0,2.0
2022070106,0.004,0.3,0.005,0.013999999999999999,14.0,4.0
2022070107,0.004,0.4,0.004,0.02,22.0,6.0
2022070108,0.004,0.4,0.006,0.02,17.0,9.0
2022070109,0.004,0.3,0.008,0.02,28.0,14.0
2022070110,0.004,0.3,0.012,0.021,17.0,11.0
2022070111,0.004,0.3,0.02,0.018000000000000002,17.0,12.0
2022070112,0.004,0.3,0.022000000000000002,0.016,23.0,9.0
2022070113,0.004,0.3,0.022000000000000002,0.016,17.0,14.0
2022070114,0.004,0.2,0.021,0.018000000000000002,19.0,11.0
2022070115,0.005,0.3,0.027000000000000003,0.02,18.0,
2022070116,0.006,0.2,0.024,0.021,26.0,14.0
2022070117,0.006999999999999999,0.2,0.032,0.015,26.0,
2022070118,0.006999999999999999,0.2,0.034,0.012,34.0,19.0
2022070119,0.006,0.3,0.023,0.017,30.0,17.0
2022070120,0.005,0.3,0.012,0.021,40.0,29.0
2022070121,0.004,0.3,0.013000000000000001,0.013999999999999999,38.0,23.0
2022070122,0.004,0.3,0.013000000000000001,0.01,36.0,24.0
2022070123,0.005,0.3,0.013000000000000001,0.008,35.0,21.0
2022070124,0.005,0.3,0.013999999999999999,0.008,35.0,23.0
2022070201,0.005,0.2,0.015,0.006999999999999999,31.0,18.0
2022070202,0.006,0.2,0.013999999999999999,0.008,36.0,22.0
2022070203,0.006,0.2,0.013000000000000001,0.009000000000000001,31.0,19.0
2022070204,0.006,0.3,0.01,0.013000000000000001,35.0,25.0
2022070205,0.004,0.2,0.022000000000000002,0.005,36.0,20.0
2022070206,0.004,0.2,0.024,0.006999999999999999,32.0,21.0
2022070207,0.004,0.3,0.02,0.01,30.0,22.0
2022070208,0.004,0.3,0.013000000000000001,0.021,29.0,24.0
2022070209,0.005,0.3,0.016,0.027999999999999997,28.0,26.0
2022070210,0.005,0.3,0.031,0.019,40.0,26.0
2022070211,0.005,0.2,0.038,0.013999999999999999,33.0,24.0
2022070212,0.005,0.3,0.035,0.017,33.0,19.0
2022070213,0.004,0.2,0.025,0.016,27.0,20.0
2022070214,0.004,0.3,0.031,0.012,26.0,9.0
2022070215,0.004,0.3,0.031,0.012,26.0,11.0
2022070216,0.004,0.3,0.03,0.015,25.0,16.0
2022070217,0.004,0.3,0.028999999999999998,0.016,24.0,14.0
2022070218,0.004,0.3,0.022000000000000002,0.023,23.0,17.0
2022070219,0.004,0.3,0.013000000000000001,0.027999999999999997,31.0,13.0
2022070220,0.004,0.3,0.016,0.017,27.0,12.0
2022070221,0.004,0.3,0.015,0.013999999999999999,23.0,17.0
2022070222,0.004,0.3,0.003,0.023,25.0,14.0
2022070223,0.004,0.3,0.003,0.021,24.0,10.0
2022070224,0.004,0.3,0.003,0.019,42.0,28.0
2022070301,0.004,0.3,0.004,0.016,29.0,23.0
2022070302,0.004,0.3,0.018000000000000002,0.009000000000000001,12.0,9.0
2022070303,0.004,0.3,0.017,0.006999999999999999,14.0,9.0
2022070304,0.004,0.2,0.013999999999999999,0.006,15.0,8.0
2022070305,0.004,0.3,0.013999999999999999,0.008,7.0,4.0
