dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022061411,0.002,0.3,0.013999999999999999,0.025,10,6.0
2022061412,0.002,0.3,0.017,0.021,8,7.0
2022061413,0.002,0.2,0.019,0.019,9,9.0
2022061414,0.002,0.2,0.018000000000000002,0.021,15,8.0
2022061415,0.002,0.3,0.015,0.025,9,9.0
2022061416,0.002,0.3,0.018000000000000002,0.022000000000000002,8,8.0
2022061417,0.002,0.3,0.02,0.021,6,6.0
2022061418,0.002,0.3,0.021,0.019,6,4.0
2022061419,0.002,0.3,0.021,0.018000000000000002,6,5.0
2022061420,0.002,0.3,0.022000000000000002,0.015,4,4.0
2022061421,0.002,0.3,0.023,0.013999999999999999,3,2.0
2022061422,0.002,0.3,0.023,0.013000000000000001,4,2.0
2022061423,0.002,0.3,0.025,0.01,4,4.0
2022061424,0.002,0.3,0.027000000000000003,0.008,2,
2022061501,0.002,0.3,0.027000000000000003,0.006999999999999999,3,2.0
2022061502,0.002,0.3,0.026000000000000002,0.008,6,2.0
2022061503,0.002,0.3,0.025,0.008,7,5.0
2022061504,0.002,0.3,0.022000000000000002,0.005,6,4.0
2022061505,0.002,0.3,0.018000000000000002,0.006999999999999999,7,4.0
2022061506,0.002,0.3,0.009000000000000001,0.02,6,5.0
2022061507,0.002,0.3,0.006,0.024,9,6.0
2022061508,0.002,0.3,0.012,0.015,7,7.0
2022061509,0.002,0.3,0.015,0.011000000000000001,11,6.0
2022061510,0.002,0.3,0.012,0.018000000000000002,6,5.0
2022061511,0.002,0.3,0.012,0.021,7,
2022061512,0.002,0.3,0.025,0.012,10,10.0
2022061513,0.002,0.3,0.043,0.006999999999999999,14,11.0
2022061514,0.002,0.3,0.045,0.008,13,9.0
2022061515,0.002,0.3,0.05,0.008,21,7.0
2022061516,0.002,0.2,0.05,0.008,8,7.0
2022061517,0.002,0.2,0.049,0.006999999999999999,17,7.0
2022061518,0.002,0.3,0.047,0.008,19,6.0
2022061519,0.002,0.3,0.047,0.008,13,6.0
2022061520,0.002,0.3,0.047,0.009000000000000001,16,6.0
2022061521,0.002,0.3,0.048,0.006999999999999999,17,10.0
2022061522,0.002,0.3,0.045,0.009000000000000001,20,11.0
2022061523,0.002,0.3,0.049,0.008,19,12.0
2022061524,0.002,0.3,0.049,0.011000000000000001,28,12.0
2022061601,0.002,0.3,0.046,0.013999999999999999,30,23.0
2022061602,0.002,0.3,0.053,0.009000000000000001,35,26.0
2022061603,0.002,0.3,0.052000000000000005,0.008,41,30.0
2022061604,0.002,0.3,0.043,0.015,44,30.0
2022061605,0.002,0.3,0.05,0.012,46,32.0
2022061606,0.002,0.3,0.063,0.006999999999999999,44,33.0
2022061607,0.002,0.3,0.073,0.006,48,35.0
2022061608,0.002,0.3,0.077,0.006,47,32.0
2022061609,0.002,0.4,0.078,0.006,39,33.0
2022061610,0.002,0.4,0.075,0.006,32,32.0
2022061611,0.002,0.4,0.077,0.006999999999999999,37,25.0
2022061612,0.002,0.4,0.08,0.006999999999999999,38,32.0
2022061613,,0.4,0.08,0.009000000000000001,40,34.0
2022061614,0.003,0.4,0.083,0.006,37,29.0
2022061615,0.003,0.4,0.08,0.01,33,32.0
2022061616,0.002,0.4,0.077,0.006999999999999999,40,31.0
2022061617,0.002,0.4,0.07400000000000001,0.008,38,31.0
2022061618,0.003,0.4,0.069,0.012,48,29.0
2022061619,0.003,0.4,0.062,0.016,47,33.0
2022061620,0.003,0.4,0.053,0.021,37,25.0
2022061621,0.002,0.3,0.052000000000000005,0.015,34,24.0
2022061622,0.002,0.3,0.05,0.015,29,25.0
2022061623,0.002,0.4,0.047,0.013999999999999999,29,20.0
2022061624,0.002,0.3,0.049,0.013999999999999999,31,25.0
2022061701,0.002,0.3,0.048,0.013000000000000001,36,24.0
2022061702,0.002,0.3,0.055999999999999994,0.01,32,23.0
2022061703,0.002,0.3,0.064,0.008,30,23.0
2022061704,0.002,0.3,0.055,0.009000000000000001,36,24.0
2022061705,0.002,0.3,0.03,0.015,38,28.0
2022061706,0.002,0.3,0.023,0.024,34,25.0
2022061707,0.002,0.4,0.021,0.024,36,25.0
2022061708,0.002,0.3,0.055,0.013999999999999999,39,33.0
2022061709,0.002,0.3,0.057999999999999996,0.01,34,26.0
2022061710,0.002,0.3,0.055,0.011000000000000001,31,23.0
2022061711,,,,,25,18.0
2022061712,,,,,27,15.0
2022061713,0.003,0.3,0.054000000000000006,0.006999999999999999,27,17.0
2022061714,0.002,0.3,0.052000000000000005,0.006,23,15.0
2022061715,0.002,0.3,0.047,0.008,23,12.0
2022061716,0.002,0.3,0.049,0.006,19,10.0
2022061717,0.002,0.2,0.046,0.006,13,8.0
2022061718,0.002,0.3,0.042,0.011000000000000001,14,6.0
2022061719,0.002,0.2,0.038,0.013999999999999999,16,9.0
2022061720,0.002,0.3,0.036000000000000004,0.013999999999999999,15,7.0
2022061721,0.002,0.3,0.032,0.013000000000000001,12,7.0
2022061722,0.002,0.3,0.027999999999999997,0.015,12,7.0
2022061723,0.002,0.2,0.034,0.006,14,8.0
2022061724,0.002,0.2,0.034,0.003,10,4.0
2022061801,0.002,0.2,0.031,0.005,6,4.0
2022061802,0.002,0.3,0.026000000000000002,0.01,3,
2022061803,0.002,0.3,0.018000000000000002,0.016,9,8.0
2022061804,0.002,0.3,0.021,0.012,11,8.0
2022061805,0.002,0.3,0.015,0.018000000000000002,7,6.0
2022061806,0.002,0.3,0.013000000000000001,0.021,11,11.0
2022061807,0.002,0.3,0.012,0.022000000000000002,14,8.0
2022061808,0.003,0.3,0.019,0.013000000000000001,17,8.0
2022061809,0.002,0.3,0.027999999999999997,0.008,15,12.0
2022061810,0.002,0.3,0.034,0.006,13,8.0
2022061811,0.002,0.3,0.031,0.01,11,8.0
2022061812,0.002,0.2,0.035,0.006999999999999999,16,5.0
2022061813,0.002,0.2,0.040999999999999995,0.006999999999999999,13,4.0
2022061814,0.002,0.3,0.05,0.006999999999999999,11,7.0
2022061815,0.003,0.3,0.055,0.006,21,12.0
2022061816,0.002,0.3,0.052000000000000005,0.006999999999999999,13,12.0
