dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.003,0.2,0.017,0.006999999999999999,12.0,4.0
2022063015,0.003,0.2,0.018000000000000002,0.009000000000000001,12.0,2.0
2022063016,0.003,0.2,0.018000000000000002,0.011000000000000001,16.0,4.0
2022063017,0.003,0.2,0.016,0.012,20.0,5.0
2022063018,0.003,0.2,0.013000000000000001,0.011000000000000001,17.0,9.0
2022063019,0.003,0.2,0.011000000000000001,0.013999999999999999,16.0,6.0
2022063020,0.003,0.3,0.006999999999999999,0.016,11.0,7.0
2022063021,0.003,0.3,0.006,0.016,15.0,7.0
2022063022,0.003,0.2,0.006999999999999999,0.011000000000000001,10.0,6.0
2022063023,0.003,0.2,0.008,0.01,10.0,3.0
2022063024,0.003,0.2,0.006,0.013999999999999999,12.0,5.0
2022070101,0.003,0.2,0.003,0.016,10.0,4.0
2022070102,0.003,0.2,0.005,0.013000000000000001,6.0,2.0
2022070103,0.003,0.2,0.006999999999999999,0.008,7.0,3.0
2022070104,0.003,0.2,0.006,0.009000000000000001,9.0,2.0
2022070105,0.003,0.2,0.003,0.01,8.0,3.0
2022070106,0.003,0.3,0.002,0.01,13.0,6.0
2022070107,0.003,0.3,0.003,0.012,17.0,5.0
2022070108,0.003,0.3,0.004,0.016,20.0,6.0
2022070109,0.003,0.3,0.008,0.013000000000000001,20.0,8.0
2022070110,0.003,0.2,0.012,0.011000000000000001,16.0,10.0
2022070111,0.003,0.2,0.013999999999999999,0.016,11.0,10.0
2022070112,0.003,0.2,0.02,0.013999999999999999,20.0,12.0
2022070113,0.003,0.2,0.016,0.012,19.0,12.0
2022070114,0.004,0.2,0.021,0.013000000000000001,12.0,9.0
2022070115,0.004,0.2,0.032,0.013999999999999999,19.0,15.0
2022070116,0.005,0.2,0.03,0.017,30.0,19.0
2022070117,0.005,0.2,0.028999999999999998,0.013999999999999999,28.0,19.0
2022070118,0.006,0.2,0.021,0.013999999999999999,29.0,26.0
2022070119,0.005,0.2,0.017,0.013999999999999999,31.0,22.0
2022070120,0.004,0.2,0.011000000000000001,0.017,22.0,22.0
2022070121,0.004,0.3,0.01,0.018000000000000002,27.0,17.0
2022070122,0.004,0.3,0.006,0.021,27.0,23.0
2022070123,0.004,0.3,0.002,0.024,29.0,21.0
2022070124,0.003,0.3,0.002,0.023,28.0,23.0
2022070201,0.004,0.3,0.003,0.018000000000000002,30.0,22.0
2022070202,0.004,0.3,0.005,0.013999999999999999,27.0,21.0
2022070203,0.004,0.3,0.003,0.013999999999999999,31.0,20.0
2022070204,0.004,0.3,0.003,0.013000000000000001,33.0,27.0
2022070205,0.003,0.3,0.002,0.013999999999999999,35.0,25.0
2022070206,0.004,0.3,0.002,0.013999999999999999,35.0,26.0
2022070207,0.004,0.3,0.003,0.015,35.0,26.0
2022070208,0.004,0.3,0.006,0.017,35.0,28.0
2022070209,0.004,0.3,0.012,0.019,36.0,28.0
2022070210,0.004,0.3,0.023,0.016,32.0,27.0
2022070211,0.004,0.2,0.039,0.009000000000000001,38.0,26.0
2022070212,0.004,0.2,0.04,0.008,31.0,23.0
2022070213,0.004,0.2,0.042,0.006999999999999999,19.0,18.0
2022070214,0.003,0.2,0.039,0.009000000000000001,15.0,
2022070215,0.003,0.2,0.04,0.009000000000000001,20.0,16.0
2022070216,0.003,0.2,0.038,0.01,26.0,19.0
2022070217,0.003,0.2,0.032,0.01,26.0,16.0
2022070218,0.003,0.3,0.025,0.013999999999999999,22.0,15.0
2022070219,0.003,0.3,0.024,0.016,21.0,7.0
2022070220,0.003,0.3,0.023,0.015,22.0,12.0
2022070221,0.003,0.3,0.016,0.016,21.0,15.0
2022070222,0.003,0.3,0.006,0.024,22.0,15.0
2022070223,0.001,0.3,0.002,0.026000000000000002,17.0,12.0
2022070224,0.001,0.3,0.002,0.024,22.0,12.0
2022070301,0.001,0.3,0.005,0.018000000000000002,20.0,19.0
2022070302,0.001,0.3,0.003,0.017,18.0,17.0
2022070303,0.002,0.3,0.006,0.013000000000000001,20.0,11.0
2022070304,0.002,0.3,0.006999999999999999,0.011000000000000001,20.0,10.0
2022070305,0.003,0.3,0.006,0.013000000000000001,21.0,12.0
2022070306,0.003,0.3,0.006,0.013000000000000001,27.0,22.0
2022070307,0.003,0.3,0.006999999999999999,0.013999999999999999,21.0,14.0
2022070308,0.003,0.3,0.009000000000000001,0.013000000000000001,20.0,15.0
2022070309,0.003,0.3,0.015,0.01,24.0,20.0
2022070310,0.003,0.3,0.022000000000000002,0.006999999999999999,15.0,10.0
2022070311,0.002,0.3,0.034,0.006,14.0,9.0
2022070312,0.003,0.2,0.034,0.009000000000000001,13.0,13.0
2022070313,0.003,0.3,0.035,0.011000000000000001,12.0,11.0
2022070314,0.003,0.3,0.03,0.009000000000000001,17.0,10.0
2022070315,0.003,0.2,0.033,0.006999999999999999,13.0,10.0
2022070316,0.003,0.2,0.039,0.006,12.0,7.0
2022070317,0.003,0.3,0.046,0.009000000000000001,16.0,10.0
2022070318,0.003,0.3,0.044000000000000004,0.013000000000000001,14.0,10.0
2022070319,0.003,0.3,0.04,0.011000000000000001,18.0,13.0
2022070320,0.004,0.3,0.032,0.015,12.0,
2022070321,0.004,0.3,0.026000000000000002,0.019,13.0,
2022070322,0.004,0.3,0.019,0.021,21.0,15.0
2022070323,0.004,0.2,0.017,0.017,20.0,11.0
2022070324,0.004,0.2,0.012,0.019,15.0,8.0
2022070401,0.004,0.3,0.008,0.021,19.0,8.0
2022070402,0.004,0.2,0.013000000000000001,0.015,19.0,10.0
2022070403,0.004,0.2,0.013999999999999999,0.013999999999999999,10.0,10.0
2022070404,0.004,0.2,0.009000000000000001,0.015,17.0,9.0
2022070405,0.004,0.2,0.01,0.013000000000000001,15.0,13.0
2022070406,0.004,0.2,0.011000000000000001,0.012,17.0,11.0
2022070407,0.004,0.2,0.013000000000000001,0.011000000000000001,8.0,8.0
2022070408,0.004,0.3,0.006999999999999999,0.018000000000000002,8.0,4.0
2022070409,0.005,0.2,0.01,0.013000000000000001,15.0,12.0
2022070410,0.006,0.3,0.011000000000000001,0.015,14.0,8.0
2022070411,0.005,0.2,0.016,0.012,11.0,5.0
2022070412,0.005,0.3,0.018000000000000002,0.013000000000000001,14.0,10.0
2022070413,0.005,0.2,0.02,0.01,23.0,11.0
2022070414,0.004,0.2,0.023,0.01,19.0,8.0
2022070415,0.004,0.2,0.023,0.009000000000000001,17.0,8.0
2022070416,0.004,0.2,0.023,0.008,20.0,10.0
2022070417,0.004,0.2,0.019,0.011000000000000001,19.0,7.0
2022070418,0.004,0.2,0.017,0.012,11.0,4.0
2022070419,0.004,0.2,0.018000000000000002,0.008,12.0,6.0
2022070420,0.004,0.3,0.022000000000000002,0.01,10.0,5.0
2022070421,0.004,0.2,0.031,0.009000000000000001,14.0,10.0
2022070422,0.004,0.2,0.027999999999999997,0.006999999999999999,13.0,10.0
2022070423,0.004,0.2,0.027000000000000003,0.005,13.0,9.0
2022070424,0.004,0.2,0.025,0.005,12.0,8.0
2022070501,0.004,0.2,0.021,0.006999999999999999,8.0,5.0
2022070502,0.004,0.3,0.019,0.009000000000000001,11.0,4.0
2022070503,0.004,0.3,0.013999999999999999,0.01,18.0,4.0
2022070504,0.004,0.3,0.012,0.009000000000000001,14.0,11.0
2022070505,0.004,0.3,0.01,0.01,19.0,13.0
2022070506,0.004,0.3,0.006999999999999999,0.013000000000000001,24.0,11.0
2022070507,0.004,0.4,0.006999999999999999,0.015,22.0,18.0
2022070508,0.004,0.3,0.006999999999999999,0.018000000000000002,17.0,10.0
2022070509,0.005,0.4,0.01,0.02,21.0,16.0
2022070510,0.006999999999999999,0.4,0.018000000000000002,0.024,19.0,15.0
2022070511,0.006999999999999999,0.4,0.022000000000000002,0.026000000000000002,29.0,11.0
2022070512,0.006,0.4,0.049,0.024,29.0,17.0
2022070513,0.006,0.4,0.063,0.021,37.0,27.0
2022070514,0.005,0.3,0.027999999999999997,0.021,34.0,27.0
2022070515,0.004,0.3,0.025,0.016,28.0,13.0
2022070516,0.004,0.3,0.033,0.013999999999999999,21.0,13.0
2022070517,0.004,0.3,0.02,0.023,20.0,11.0
2022070518,0.004,0.4,0.008,0.027999999999999997,20.0,11.0
2022070519,0.003,0.3,0.01,0.023,15.0,12.0
2022070520,0.003,0.3,0.015,0.019,13.0,7.0
2022070521,0.003,0.3,0.013000000000000001,0.02,14.0,5.0
2022070522,0.003,0.3,0.012,0.019,8.0,8.0
2022070523,0.003,0.3,0.011000000000000001,0.015,8.0,7.0
2022070524,0.003,0.3,0.006999999999999999,0.019,15.0,6.0
2022070601,0.003,0.3,0.006,0.019,12.0,7.0
2022070602,0.003,0.3,0.005,0.018000000000000002,15.0,6.0
2022070603,0.003,0.3,0.004,0.019,12.0,6.0
2022070604,0.003,0.3,0.005,0.019,12.0,7.0
2022070605,0.003,0.3,0.004,0.021,18.0,7.0
2022070606,0.003,0.3,0.013999999999999999,0.013999999999999999,16.0,8.0
2022070607,0.003,0.3,0.015,0.017,19.0,16.0
2022070608,0.003,0.3,0.021,0.013000000000000001,20.0,11.0
2022070609,0.003,0.3,0.022000000000000002,0.011000000000000001,16.0,16.0
2022070610,0.004,0.3,0.019,0.02,20.0,13.0
2022070611,0.004,0.3,0.024,0.019,26.0,16.0
2022070612,,,,,,
2022070613,,,,,,
2022070614,,,,,,
2022070615,,,,,,
2022070616,,,,,,
2022070617,,,,,,
2022070618,,,,,,
2022070619,,,,,,
2022070620,,,,,,
2022070621,,,,,,
2022070622,,,,,,
2022070623,,,,,,
2022070624,,,,,,
2022070701,,,,,,
2022070702,,,,,,
2022070703,,,,,,
2022070704,,,,,,
2022070705,,,,,,
2022070706,,,,,,
2022070707,,,,,,
2022070708,,,,,,
2022070709,,,,,,
2022070710,,,,,,
2022070711,,,,,,
2022070712,,,,,,
2022070713,,,,,,
2022070714,0.004,0.3,0.02,0.011000000000000001,10.0,3.0
2022070715,0.004,0.3,0.018000000000000002,0.011000000000000001,16.0,3.0
2022070716,0.004,0.3,0.016,0.011000000000000001,20.0,4.0
2022070717,0.004,0.3,0.013999999999999999,0.013000000000000001,15.0,8.0
2022070718,0.004,0.3,0.017,0.01,12.0,7.0
2022070719,0.003,0.3,0.019,0.011000000000000001,14.0,8.0
2022070720,0.003,0.3,0.015,0.013999999999999999,20.0,10.0
2022070721,0.003,0.2,0.017,0.011000000000000001,18.0,9.0
2022070722,0.003,0.2,0.017,0.009000000000000001,20.0,12.0
2022070723,0.003,0.2,0.017,0.006999999999999999,20.0,6.0
2022070724,0.003,0.2,0.015,0.009000000000000001,20.0,7.0
2022070801,0.003,0.2,0.017,0.006999999999999999,22.0,6.0
2022070802,0.003,0.2,0.018000000000000002,0.006999999999999999,22.0,7.0
2022070803,0.003,0.2,0.016,0.008,23.0,7.0
2022070804,0.003,0.3,0.017,0.006999999999999999,20.0,10.0
2022070805,0.004,0.3,0.017,0.006999999999999999,23.0,9.0
2022070806,0.004,0.3,0.012,0.013000000000000001,23.0,17.0
2022070807,0.004,0.3,0.012,0.012,31.0,12.0
2022070808,0.004,0.3,0.008,0.018000000000000002,23.0,11.0
2022070809,0.004,0.3,0.009000000000000001,0.022000000000000002,20.0,9.0
2022070810,0.004,0.3,0.009000000000000001,0.023,32.0,14.0
2022070811,0.004,0.3,0.015,0.02,32.0,17.0
2022070812,0.003,0.3,0.021,0.019,25.0,11.0
2022070813,0.004,0.3,0.025,0.015,26.0,17.0
2022070814,0.004,0.3,0.033,0.012,23.0,18.0
2022070815,0.003,0.4,0.04,0.013000000000000001,19.0,13.0
2022070816,0.003,0.3,0.025,0.018000000000000002,24.0,18.0
2022070817,0.003,0.3,0.021,0.015,25.0,15.0
2022070818,0.003,0.3,0.011000000000000001,0.026000000000000002,22.0,13.0
2022070819,0.003,0.3,0.015,0.022000000000000002,22.0,15.0
2022070820,0.003,0.3,0.013999999999999999,0.024,22.0,15.0
2022070821,0.003,0.3,0.024,0.017,20.0,13.0
2022070822,0.003,0.4,0.024,0.016,19.0,9.0
2022070823,0.003,0.3,0.023,0.013999999999999999,15.0,12.0
2022070824,0.003,0.3,0.023,0.011000000000000001,22.0,12.0
2022070901,0.003,0.3,0.017,0.013000000000000001,20.0,13.0
2022070902,0.003,0.4,0.008,0.017,25.0,25.0
2022070903,0.003,0.3,0.009000000000000001,0.013000000000000001,26.0,17.0
2022070904,0.003,0.4,0.006999999999999999,0.015,30.0,20.0
2022070905,0.003,0.4,0.008,0.015,25.0,24.0
2022070906,0.003,0.3,0.01,0.013999999999999999,27.0,20.0
2022070907,0.003,0.3,0.015,0.012,28.0,24.0
2022070908,0.003,0.3,0.018000000000000002,0.012,23.0,22.0
2022070909,0.003,0.3,0.027999999999999997,0.01,25.0,18.0
2022070910,0.003,0.3,0.038,0.009000000000000001,26.0,14.0
2022070911,0.003,0.4,0.051,0.008,26.0,11.0
2022070912,0.003,0.4,0.052000000000000005,0.01,25.0,13.0
2022070913,0.004,0.4,0.069,0.012,31.0,20.0
2022070914,0.004,0.4,0.079,0.013999999999999999,34.0,21.0
2022070915,0.004,0.4,0.084,0.013999999999999999,36.0,24.0
2022070916,0.004,0.4,0.079,0.013000000000000001,34.0,25.0
2022070917,0.003,0.4,0.064,0.013000000000000001,35.0,21.0
2022070918,0.003,0.4,0.05,0.017,17.0,15.0
2022070919,0.003,0.3,0.048,0.012,13.0,11.0
2022070920,0.003,0.3,0.05,0.008,15.0,8.0
2022070921,0.003,0.4,0.043,0.01,11.0,8.0
2022070922,0.003,0.3,0.036000000000000004,0.011000000000000001,13.0,12.0
2022070923,0.003,0.4,0.027999999999999997,0.015,15.0,11.0
2022070924,0.004,0.4,0.025,0.016,16.0,12.0
2022071001,0.004,0.4,0.027999999999999997,0.013999999999999999,20.0,10.0
2022071002,0.003,0.3,0.024,0.012,18.0,14.0
2022071003,0.003,0.4,0.02,0.011000000000000001,14.0,
2022071004,0.004,0.4,0.016,0.011000000000000001,17.0,
2022071005,0.003,0.4,0.013000000000000001,0.012,18.0,18.0
2022071006,0.003,0.4,0.011000000000000001,0.013000000000000001,18.0,14.0
2022071007,0.003,0.4,0.013999999999999999,0.013000000000000001,21.0,19.0
2022071008,0.003,0.4,0.016,0.013000000000000001,24.0,16.0
2022071009,0.003,0.4,0.023,0.012,25.0,21.0
2022071010,0.004,0.4,0.032,0.012,26.0,18.0
2022071011,0.005,0.4,0.044000000000000004,0.013000000000000001,26.0,16.0
2022071012,0.005,0.4,0.057999999999999996,0.011000000000000001,28.0,17.0
2022071013,0.004,0.4,0.063,0.012,27.0,20.0
2022071014,0.004,0.4,0.064,0.012,32.0,27.0
2022071015,0.004,0.3,0.049,0.008,29.0,27.0
2022071016,0.004,0.3,0.042,0.006,22.0,12.0
2022071017,0.003,0.3,0.04,0.005,17.0,13.0
2022071018,0.003,0.3,0.039,0.005,13.0,8.0
2022071019,0.003,0.3,0.034,0.004,13.0,9.0
2022071020,0.003,0.3,0.032,0.004,15.0,10.0
2022071021,0.003,0.3,0.033,0.004,11.0,7.0
2022071022,0.003,0.2,0.034,0.004,12.0,6.0
2022071023,0.003,0.2,0.032,0.005,6.0,3.0
2022071024,0.003,0.2,0.027000000000000003,0.008,9.0,2.0
2022071101,0.003,0.2,0.021,0.009000000000000001,11.0,3.0
2022071102,0.003,0.3,0.02,0.009000000000000001,11.0,5.0
2022071103,0.004,0.2,0.019,0.008,10.0,3.0
2022071104,0.003,0.2,0.02,0.006,10.0,10.0
2022071105,0.003,0.3,0.013000000000000001,0.011000000000000001,8.0,8.0
2022071106,0.004,0.3,0.009000000000000001,0.013999999999999999,16.0,13.0
2022071107,0.004,0.3,0.005,0.023,21.0,16.0
2022071108,0.004,0.3,0.006,0.024,24.0,14.0
2022071109,0.004,0.3,0.005,0.024,27.0,17.0
2022071110,0.004,0.3,0.006999999999999999,0.023,27.0,19.0
2022071111,0.004,0.4,0.006,0.027999999999999997,23.0,18.0
2022071112,0.004,0.3,0.01,0.026000000000000002,22.0,19.0
2022071113,0.003,0.3,0.019,0.021,22.0,17.0
2022071114,0.004,0.3,0.025,0.019,13.0,7.0
2022071115,0.004,0.3,0.025,0.018000000000000002,15.0,9.0
2022071116,0.003,0.3,0.025,0.017,17.0,14.0
2022071117,0.003,0.3,0.023,0.021,16.0,11.0
2022071118,0.004,0.3,0.024,0.022000000000000002,20.0,11.0
2022071119,0.003,0.4,0.022000000000000002,0.022000000000000002,21.0,18.0
2022071120,0.003,0.4,0.015,0.026000000000000002,22.0,16.0
2022071121,0.004,0.4,0.013999999999999999,0.019,25.0,14.0
2022071122,0.003,0.3,0.015,0.019,22.0,16.0
2022071123,0.003,0.4,0.01,0.021,19.0,14.0
2022071124,0.003,0.4,0.005,0.024,26.0,25.0
2022071201,0.003,0.3,0.008,0.019,29.0,24.0
2022071202,0.004,0.3,0.019,0.009000000000000001,25.0,10.0
2022071203,0.004,0.3,0.017,0.006999999999999999,26.0,22.0
2022071204,0.004,0.3,0.012,0.01,23.0,15.0
2022071205,0.004,0.3,0.01,0.011000000000000001,26.0,14.0
2022071206,0.004,0.3,0.006999999999999999,0.018000000000000002,26.0,14.0
2022071207,0.004,0.4,0.006999999999999999,0.018000000000000002,26.0,13.0
2022071208,0.004,0.4,0.011000000000000001,0.016,29.0,14.0
2022071209,0.004,0.4,0.013999999999999999,0.015,31.0,11.0
2022071210,0.004,0.3,0.022000000000000002,0.01,20.0,10.0
2022071211,0.004,0.3,0.026000000000000002,0.01,15.0,12.0
2022071212,0.004,0.3,0.035,0.008,16.0,13.0
2022071213,0.004,0.3,0.045,0.01,14.0,11.0
2022071214,0.004,0.3,0.043,0.009000000000000001,21.0,10.0
2022071215,0.004,0.3,0.04,0.008,17.0,9.0
2022071216,0.004,0.3,0.036000000000000004,0.01,15.0,9.0
2022071217,0.004,0.3,0.036000000000000004,0.01,19.0,9.0
2022071218,0.004,0.3,0.033,0.011000000000000001,22.0,9.0
2022071219,0.005,0.3,0.03,0.013000000000000001,15.0,9.0
2022071220,0.005,0.3,0.03,0.012,15.0,10.0
2022071221,0.005,0.2,0.03,0.008,14.0,8.0
2022071222,0.005,0.3,0.027999999999999997,0.009000000000000001,15.0,6.0
2022071223,0.006999999999999999,0.3,0.022000000000000002,0.012,11.0,4.0
2022071224,0.006,0.3,0.023,0.011000000000000001,11.0,7.0
2022071301,0.005,0.3,0.025,0.009000000000000001,13.0,9.0
2022071302,0.005,0.3,0.021,0.012,8.0,6.0
2022071303,0.005,0.3,0.022000000000000002,0.01,13.0,7.0
2022071304,0.004,0.3,0.018000000000000002,0.01,11.0,6.0
2022071305,0.004,0.3,0.019,0.008,12.0,6.0
2022071306,0.004,0.3,0.012,0.013000000000000001,12.0,4.0
2022071307,0.004,0.3,0.008,0.019,14.0,4.0
2022071308,0.004,0.3,0.009000000000000001,0.02,21.0,8.0
2022071309,0.004,0.3,0.008,0.024,21.0,10.0
2022071310,0.005,0.3,0.016,0.021,22.0,9.0
2022071311,0.005,0.3,0.021,0.018000000000000002,20.0,11.0
2022071312,0.004,0.2,0.025,0.011000000000000001,21.0,14.0
2022071313,0.004,0.2,0.026000000000000002,0.01,10.0,8.0
2022071314,0.004,0.2,0.028999999999999998,0.009000000000000001,16.0,8.0
2022071315,0.003,0.2,0.03,0.009000000000000001,13.0,6.0
2022071316,0.004,0.2,0.026000000000000002,0.012,10.0,6.0
2022071317,0.003,0.2,0.017,0.019,16.0,4.0
2022071318,0.003,0.2,0.021,0.013999999999999999,15.0,4.0
2022071319,0.004,0.2,0.015,0.019,16.0,5.0
2022071320,0.003,0.2,0.018000000000000002,0.015,21.0,5.0
2022071321,0.003,0.2,0.019,0.013999999999999999,17.0,5.0
2022071322,0.003,0.2,0.019,0.013000000000000001,16.0,4.0
2022071323,0.003,0.2,0.022000000000000002,0.009000000000000001,17.0,4.0
2022071324,0.003,0.2,0.02,0.01,10.0,6.0
2022071401,0.004,0.2,0.024,0.008,12.0,7.0
2022071402,0.004,0.2,0.025,0.006999999999999999,16.0,11.0
2022071403,0.004,0.2,0.024,0.006999999999999999,18.0,9.0
2022071404,0.004,0.2,0.019,0.011000000000000001,20.0,8.0
2022071405,0.003,0.2,0.016,0.015,21.0,13.0
2022071406,0.003,0.2,0.015,0.017,26.0,12.0
2022071407,0.004,0.3,0.01,0.025,23.0,12.0
2022071408,0.004,0.3,0.01,0.028999999999999998,28.0,13.0
2022071409,0.004,0.3,0.017,0.024,29.0,14.0
2022071410,0.004,0.3,0.02,0.022000000000000002,33.0,16.0
2022071411,0.004,0.3,0.024,0.021,39.0,19.0
2022071412,0.004,0.3,0.036000000000000004,0.017,35.0,18.0
2022071413,0.004,0.4,0.051,0.013,32,20
