dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.019,0.006999999999999999,11.0,9.0
2022063015,,,0.02,0.009000000000000001,8.0,
2022063016,,,0.02,0.01,8.0,8.0
2022063017,,,0.02,0.01,13.0,6.0
2022063018,,,0.017,0.011000000000000001,11.0,6.0
2022063019,,,0.013999999999999999,0.013000000000000001,12.0,6.0
2022063020,,,0.012,0.012,12.0,6.0
2022063021,,,0.009000000000000001,0.012,13.0,10.0
2022063022,,,0.009000000000000001,0.009000000000000001,10.0,8.0
2022063023,,,0.01,0.006999999999999999,10.0,5.0
2022063024,,,0.01,0.008,7.0,4.0
2022070101,,,0.01,0.006999999999999999,9.0,5.0
2022070102,,,0.009000000000000001,0.006999999999999999,8.0,4.0
2022070103,,,0.008,0.006999999999999999,8.0,3.0
2022070104,,,0.006999999999999999,0.008,8.0,5.0
2022070105,,,0.006999999999999999,0.006999999999999999,8.0,6.0
2022070106,,,0.004,0.011000000000000001,12.0,3.0
2022070107,,,0.004,0.012,18.0,5.0
2022070108,,,0.006999999999999999,0.013999999999999999,14.0,7.0
2022070109,,,0.009000000000000001,0.015,19.0,8.0
2022070110,,,0.011000000000000001,0.018000000000000002,14.0,7.0
2022070111,,,0.015,0.02,17.0,8.0
2022070112,,,0.021,0.016,19.0,15.0
2022070113,,,0.027000000000000003,0.013999999999999999,19.0,11.0
2022070114,,,0.023,0.012,20.0,12.0
2022070115,,,0.023,0.013999999999999999,18.0,12.0
2022070116,,,0.024,0.015,19.0,10.0
2022070117,,,0.033,0.013000000000000001,22.0,19.0
2022070118,,,0.028999999999999998,0.01,29.0,21.0
2022070119,,,0.025,0.011000000000000001,27.0,24.0
2022070120,,,0.018000000000000002,0.015,29.0,26.0
2022070121,,,0.012,0.016,24.0,
2022070122,,,0.006,0.02,23.0,23.0
2022070123,,,0.004,0.02,33.0,29.0
2022070124,,,0.005,0.017,32.0,31.0
2022070201,,,0.004,0.015,30.0,
2022070202,,,0.005,0.013000000000000001,30.0,29.0
2022070203,,,0.004,0.013000000000000001,29.0,27.0
2022070204,,,0.004,0.012,31.0,27.0
2022070205,,,0.005,0.011000000000000001,35.0,26.0
2022070206,,,0.004,0.012,29.0,25.0
2022070207,,,0.005,0.013999999999999999,29.0,26.0
2022070208,,,0.006999999999999999,0.016,27.0,23.0
2022070209,,,0.016,0.015,33.0,28.0
2022070210,,,0.04,0.006999999999999999,28.0,25.0
2022070211,,,0.057,0.008,32.0,27.0
2022070212,,,0.052000000000000005,0.008,31.0,25.0
2022070213,,,0.037000000000000005,0.006999999999999999,24.0,22.0
2022070214,,,0.035,0.006999999999999999,13.0,
2022070215,,,0.034,0.006,19.0,11.0
2022070216,,,0.034,0.006,18.0,14.0
2022070217,,,0.033,0.006,17.0,15.0
2022070218,,,0.03,0.008,17.0,13.0
2022070219,,,0.027999999999999997,0.008,13.0,
2022070220,,,0.024,0.008,17.0,14.0
2022070221,,,0.019,0.011000000000000001,16.0,14.0
2022070222,,,0.012,0.012,14.0,13.0
2022070223,,,0.008,0.01,19.0,16.0
2022070224,,,0.008,0.011000000000000001,8.0,5.0
2022070301,,,0.006999999999999999,0.011000000000000001,7.0,4.0
2022070302,,,0.006999999999999999,0.01,9.0,4.0
2022070303,,,0.006999999999999999,0.01,15.0,6.0
2022070304,,,0.008,0.009000000000000001,10.0,9.0
2022070305,,,0.009000000000000001,0.008,15.0,6.0
2022070306,,,0.006999999999999999,0.01,11.0,11.0
2022070307,,,0.008,0.01,11.0,10.0
2022070308,,,0.011000000000000001,0.01,15.0,8.0
2022070309,,,0.015,0.008,14.0,10.0
2022070310,,,0.021,0.006,9.0,9.0
2022070311,,,0.026000000000000002,0.006999999999999999,7.0,
2022070312,,,0.023,0.009000000000000001,13.0,9.0
2022070313,,,0.026000000000000002,0.009000000000000001,13.0,7.0
2022070314,,,0.031,0.009000000000000001,12.0,5.0
2022070315,,,0.034,0.009000000000000001,12.0,5.0
2022070316,,,0.039,0.009000000000000001,17.0,8.0
2022070317,,,0.037000000000000005,0.01,13.0,
2022070318,,,0.038,0.009000000000000001,17.0,12.0
2022070319,,,0.031,0.01,15.0,15.0
2022070320,,,0.026000000000000002,0.019,14.0,6.0
2022070321,,,0.024,0.02,17.0,
2022070322,,,0.02,0.022000000000000002,22.0,16.0
2022070323,,,0.016,0.022000000000000002,19.0,14.0
2022070324,,,0.013000000000000001,0.021,13.0,
2022070401,,,0.009000000000000001,0.024,15.0,12.0
2022070402,,,0.003,0.027999999999999997,17.0,
2022070403,,,0.004,0.025,15.0,12.0
2022070404,,,0.004,0.021,15.0,11.0
2022070405,,,0.003,0.02,18.0,15.0
2022070406,,,0.006,0.017,15.0,14.0
2022070407,,,0.006,0.018000000000000002,16.0,10.0
2022070408,,,0.009000000000000001,0.016,12.0,11.0
2022070409,,,0.013000000000000001,0.011000000000000001,15.0,11.0
2022070410,,,0.015,0.015,10.0,5.0
2022070411,,,0.017,0.008,12.0,5.0
2022070412,,,0.02,0.008,13.0,5.0
2022070413,,,0.023,0.006999999999999999,12.0,10.0
2022070414,,,0.024,0.006999999999999999,12.0,9.0
2022070415,,,,,,
2022070416,,,0.027000000000000003,0.008,,
2022070417,,,0.023,0.008,16.0,7.0
2022070418,,,0.027000000000000003,0.01,15.0,3.0
2022070419,,,0.025,0.01,11.0,10.0
2022070420,,,0.025,0.008,13.0,10.0
2022070421,,,0.03,0.008,9.0,7.0
2022070422,,,0.026000000000000002,0.008,13.0,9.0
2022070423,,,0.022000000000000002,0.009000000000000001,11.0,8.0
2022070424,,,0.021,0.009000000000000001,13.0,9.0
2022070501,,,0.019,0.008,11.0,5.0
2022070502,,,0.017,0.008,11.0,10.0
2022070503,,,0.02,0.005,11.0,10.0
2022070504,,,0.017,0.006,10.0,8.0
2022070505,,,0.016,0.006,10.0,7.0
2022070506,,,0.015,0.006999999999999999,11.0,10.0
2022070507,,,0.013999999999999999,0.01,13.0,12.0
2022070508,,,0.012,0.016,12.0,
2022070509,,,0.022000000000000002,0.013999999999999999,17.0,12.0
2022070510,,,0.047,0.013000000000000001,13.0,
2022070511,,,0.065,0.013999999999999999,26.0,
2022070512,,,0.064,0.012,30.0,
2022070513,,,0.044000000000000004,0.008,28.0,25.0
2022070514,,,0.040999999999999995,0.009000000000000001,14.0,8.0
2022070515,,,0.025,0.011000000000000001,16.0,12.0
2022070516,,,0.024,0.009000000000000001,11.0,9.0
2022070517,,,0.022000000000000002,0.008,10.0,7.0
2022070518,,,0.022000000000000002,0.009000000000000001,7.0,7.0
2022070519,,,0.019,0.012,7.0,7.0
2022070520,,,0.02,0.012,11.0,7.0
2022070521,,,0.018000000000000002,0.01,8.0,5.0
2022070522,,,0.017,0.011000000000000001,9.0,7.0
2022070523,,,0.015,0.011000000000000001,9.0,6.0
2022070524,,,0.013999999999999999,0.01,11.0,5.0
2022070601,,,0.011000000000000001,0.01,9.0,3.0
2022070602,,,0.01,0.01,7.0,3.0
