dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022062115,0.001,0.3,0.031,0.002,10.0,6.0
2022062116,0.001,0.3,0.032,0.002,9.0,7.0
2022062117,0.001,0.3,0.034,0.002,4.0,
2022062118,0.001,0.3,0.033,0.002,3.0,
2022062119,0.001,0.3,0.034,0.002,7.0,5.0
2022062120,0.001,0.3,0.032,0.002,8.0,2.0
2022062121,0.001,0.3,0.034,0.002,6.0,4.0
2022062122,0.001,0.3,0.033,0.002,4.0,
2022062123,0.002,0.3,0.032,0.003,15.0,7.0
2022062124,0.001,0.3,0.034,0.003,10.0,8.0
2022062201,0.001,0.3,0.035,0.002,7.0,5.0
2022062202,0.001,0.3,0.035,0.002,6.0,
2022062203,0.001,0.3,0.036000000000000004,0.003,10.0,9.0
2022062204,0.002,0.3,0.037000000000000005,0.003,8.0,8.0
2022062205,0.001,0.3,0.037000000000000005,0.003,11.0,9.0
2022062206,0.002,0.3,0.038,0.003,8.0,
2022062207,0.001,0.3,0.036000000000000004,0.003,6.0,
2022062208,0.002,0.3,0.034,0.003,6.0,5.0
2022062209,0.002,0.3,0.035,0.003,12.0,6.0
2022062210,0.002,0.3,0.036000000000000004,0.002,11.0,7.0
2022062211,0.001,0.3,0.038,0.002,10.0,8.0
2022062212,0.001,0.4,0.040999999999999995,0.002,16.0,9.0
2022062213,0.001,0.4,0.044000000000000004,0.002,23.0,14.0
2022062214,0.002,0.4,0.045,0.002,23.0,19.0
2022062215,0.001,0.4,0.045,0.002,30.0,17.0
2022062216,0.002,0.4,0.046,0.002,29.0,17.0
2022062217,0.001,0.4,0.049,0.002,22.0,14.0
2022062218,0.0,0.4,0.047,0.002,27.0,17.0
2022062219,0.002,0.4,0.035,0.013000000000000001,30.0,20.0
2022062220,0.001,0.4,0.042,0.004,28.0,21.0
2022062221,0.001,0.4,0.04,0.004,14.0,13.0
2022062222,0.001,0.4,0.037000000000000005,0.006,16.0,15.0
2022062223,0.001,0.3,0.038,0.003,16.0,9.0
2022062224,0.001,0.4,0.031,0.012,2.0,
2022062301,0.001,0.3,0.026000000000000002,0.015,17.0,6.0
2022062302,0.001,0.3,0.035,0.003,13.0,7.0
2022062303,0.002,0.3,0.028999999999999998,0.011000000000000001,13.0,
