dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.003,0.2,0.027999999999999997,0.006999999999999999,10,10.0
2022063015,0.003,0.2,0.027999999999999997,0.006999999999999999,12,9.0
2022063016,0.003,0.2,0.028999999999999998,0.008,15,5.0
2022063017,0.003,0.2,0.027999999999999997,0.01,16,6.0
2022063018,0.003,0.2,0.024,0.012,16,6.0
2022063019,0.003,0.2,0.024,0.01,18,7.0
2022063020,0.003,0.2,0.019,0.009000000000000001,16,8.0
2022063021,0.003,0.2,0.016,0.008,16,8.0
2022063022,0.003,0.2,0.015,0.005,12,6.0
2022063023,0.003,0.2,0.016,0.004,16,4.0
2022063024,0.003,0.1,0.016,0.003,12,4.0
2022070101,0.003,0.1,0.017,0.003,11,9.0
2022070102,0.003,0.1,0.017,0.003,10,9.0
2022070103,0.003,0.1,0.016,0.003,7,6.0
2022070104,0.003,0.1,0.015,0.003,6,4.0
2022070105,0.003,0.1,0.013000000000000001,,9,7.0
2022070106,0.003,0.2,0.008,0.006,11,4.0
2022070107,0.003,0.2,0.008,0.006,11,7.0
2022070108,0.003,0.2,0.011000000000000001,0.006999999999999999,18,5.0
2022070109,0.003,0.2,0.016,0.005,18,4.0
2022070110,0.003,0.2,0.019,0.006999999999999999,11,3.0
2022070111,0.003,0.2,0.024,0.011000000000000001,12,3.0
2022070112,0.004,0.2,0.031,0.017,16,9.0
2022070113,0.004,0.2,0.04,0.013999999999999999,23,14.0
2022070114,0.005,0.2,0.039,0.01,26,13.0
2022070115,0.008,0.2,0.037000000000000005,0.006,25,11.0
2022070116,0.006,0.2,0.044000000000000004,0.012,27,18.0
2022070117,0.006999999999999999,0.2,0.043,0.013000000000000001,30,20.0
2022070118,0.011000000000000001,0.2,0.036000000000000004,0.012,32,23.0
2022070119,0.006999999999999999,0.2,0.031,0.012,30,21.0
2022070120,0.005,0.2,0.025,0.012,29,18.0
2022070121,0.005,0.2,0.021,0.011000000000000001,26,20.0
2022070122,0.005,0.2,0.015,0.013000000000000001,24,19.0
2022070123,0.005,0.2,0.011000000000000001,0.013999999999999999,33,22.0
2022070124,0.005,0.2,0.011000000000000001,0.013000000000000001,33,20.0
2022070201,0.005,0.2,0.012,0.01,37,24.0
2022070202,0.005,0.2,0.012,0.008,39,21.0
2022070203,0.005,0.2,0.009000000000000001,0.009000000000000001,35,23.0
2022070204,0.005,0.2,0.009000000000000001,0.008,25,21.0
2022070205,0.004,0.2,0.009000000000000001,0.008,26,19.0
2022070206,0.004,0.2,0.006999999999999999,0.01,31,20.0
2022070207,0.004,0.2,0.009000000000000001,0.011000000000000001,33,17.0
2022070208,0.004,0.2,0.017,0.011000000000000001,27,17.0
2022070209,0.004,0.2,0.028999999999999998,0.008,30,18.0
2022070210,0.005,0.2,0.047,0.006,34,21.0
2022070211,0.006999999999999999,0.2,0.063,0.008,29,19.0
