dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.003,0.2,0.012,0.017,11.0,5.0
2022063015,0.003,0.2,0.013999999999999999,0.016,21.0,4.0
2022063016,0.003,0.2,0.013000000000000001,0.017,22.0,8.0
2022063017,0.003,0.2,0.012,0.017,19.0,8.0
2022063018,0.003,0.2,0.012,0.016,19.0,4.0
2022063019,0.003,0.2,0.01,0.015,17.0,6.0
2022063020,0.003,0.2,0.003,0.023,18.0,7.0
2022063021,0.003,0.2,0.003,0.021,21.0,11.0
2022063022,0.003,0.2,0.003,0.02,17.0,6.0
2022063023,0.003,0.2,0.008,0.011000000000000001,22.0,7.0
2022063024,0.004,0.2,0.006,0.013999999999999999,7.0,5.0
2022070101,0.004,0.2,0.006999999999999999,0.01,7.0,5.0
2022070102,0.004,0.2,0.006999999999999999,0.01,21.0,5.0
2022070103,0.003,0.2,0.005,0.011000000000000001,13.0,6.0
2022070104,0.004,0.2,0.002,0.017,22.0,6.0
2022070105,0.004,0.2,0.002,0.018000000000000002,19.0,6.0
2022070106,0.004,0.2,0.002,0.017,22.0,10.0
2022070107,0.004,0.3,0.003,0.02,25.0,11.0
2022070108,0.005,0.3,0.003,0.031,26.0,10.0
2022070109,0.004,0.2,0.006999999999999999,0.015,26.0,14.0
2022070110,0.004,0.2,0.008,0.017,19.0,9.0
2022070111,0.004,0.2,0.012,0.019,26.0,11.0
2022070112,0.003,0.2,0.013999999999999999,0.016,25.0,13.0
2022070113,0.003,0.2,0.013999999999999999,0.013999999999999999,21.0,10.0
2022070114,0.003,0.2,0.016,0.016,13.0,7.0
2022070115,0.004,0.2,0.02,0.015,29.0,8.0
2022070116,0.006999999999999999,0.2,0.012,0.016,27.0,14.0
2022070117,0.006999999999999999,0.2,0.011000000000000001,0.018000000000000002,34.0,16.0
2022070118,0.006,0.2,0.008,0.015,38.0,17.0
2022070119,0.004,0.2,0.005,0.017,35.0,16.0
2022070120,0.004,0.2,0.003,0.022000000000000002,29.0,9.0
2022070121,0.004,0.3,0.002,0.023,34.0,15.0
2022070122,0.004,0.3,0.002,0.022000000000000002,41.0,17.0
2022070123,0.004,0.3,0.002,0.021,36.0,17.0
2022070124,0.004,0.3,0.002,0.021,39.0,16.0
2022070201,0.004,0.3,0.002,0.022000000000000002,40.0,16.0
2022070202,0.004,0.3,0.002,0.027999999999999997,30.0,20.0
2022070203,0.004,0.3,,0.025,56.0,39.0
2022070204,0.004,0.3,,0.021,64.0,22.0
2022070205,0.004,0.3,,0.02,30.0,23.0
2022070206,0.004,0.3,,0.022000000000000002,32.0,19.0
2022070207,0.004,0.4,0.003,0.026000000000000002,36.0,27.0
2022070208,0.004,0.3,0.006,0.025,41.0,31.0
2022070209,0.006,0.3,0.006999999999999999,0.032,37.0,23.0
2022070210,0.006,0.3,0.018000000000000002,0.027000000000000003,40.0,27.0
2022070211,0.006,0.2,0.025,0.025,46.0,25.0
2022070212,0.004,0.2,0.022000000000000002,0.026000000000000002,31.0,17.0
2022070213,0.004,0.2,0.012,0.022000000000000002,31.0,13.0
2022070214,0.005,0.2,0.011000000000000001,0.023,16.0,9.0
2022070215,0.005,0.2,0.011000000000000001,0.025,21.0,9.0
2022070216,0.004,0.2,0.012,0.028999999999999998,19.0,8.0
2022070217,0.004,0.2,0.011000000000000001,0.027999999999999997,21.0,11.0
2022070218,0.004,0.2,0.006999999999999999,0.027000000000000003,21.0,14.0
2022070219,0.004,0.2,0.006,0.022000000000000002,17.0,16.0
2022070220,0.003,0.2,0.003,0.022000000000000002,18.0,7.0
2022070221,0.003,0.2,0.002,0.02,16.0,11.0
2022070222,0.004,0.2,0.002,0.022000000000000002,19.0,13.0
2022070223,0.003,0.2,0.002,0.023,21.0,11.0
2022070224,0.003,0.2,0.002,0.024,17.0,11.0
2022070301,0.003,0.2,0.002,0.024,18.0,13.0
2022070302,0.003,0.2,0.005,0.013999999999999999,20.0,11.0
2022070303,0.003,0.2,0.006,0.013999999999999999,11.0,8.0
2022070304,0.003,0.3,0.005,0.015,14.0,8.0
2022070305,0.003,0.3,0.006,0.013999999999999999,18.0,9.0
2022070306,0.003,0.3,0.004,0.018000000000000002,16.0,10.0
2022070307,0.003,0.2,0.006999999999999999,0.017,20.0,9.0
2022070308,0.003,0.2,0.009000000000000001,0.015,13.0,7.0
2022070309,0.003,0.2,0.012,0.013000000000000001,17.0,8.0
2022070310,0.003,0.2,0.013000000000000001,0.013999999999999999,9.0,6.0
2022070311,0.004,0.2,0.011000000000000001,0.017,13.0,5.0
2022070312,0.004,0.2,0.011000000000000001,0.018000000000000002,20.0,9.0
2022070313,0.004,0.2,0.016,0.019,15.0,12.0
2022070314,0.003,0.2,0.019,0.017,17.0,10.0
2022070315,0.003,0.3,0.022000000000000002,0.021,19.0,9.0
2022070316,0.004,0.3,0.023,0.027000000000000003,20.0,13.0
2022070317,0.004,0.3,0.02,0.028999999999999998,19.0,11.0
2022070318,0.004,0.3,0.027999999999999997,0.027000000000000003,22.0,11.0
2022070319,0.003,0.2,0.024,0.025,20.0,13.0
2022070320,0.003,0.3,0.016,0.035,18.0,9.0
2022070321,0.003,0.3,0.013000000000000001,0.039,21.0,11.0
2022070322,0.003,0.3,0.011000000000000001,0.034,24.0,13.0
2022070323,0.004,0.3,0.004,0.039,21.0,14.0
2022070324,0.004,0.2,0.003,0.034,26.0,21.0
2022070401,0.004,0.2,0.002,0.03,19.0,17.0
2022070402,0.004,0.2,0.009000000000000001,0.023,20.0,13.0
2022070403,0.004,0.2,0.003,0.031,15.0,12.0
2022070404,0.005,0.3,0.002,0.034,20.0,13.0
2022070405,0.005,0.3,0.002,0.031,31.0,26.0
2022070406,0.005,0.2,0.002,0.026000000000000002,29.0,18.0
2022070407,0.005,0.3,0.003,0.032,14.0,12.0
2022070408,0.005,0.3,0.004,0.034,27.0,18.0
2022070409,0.005,0.2,0.005,0.03,18.0,9.0
2022070410,0.005,0.3,0.006,0.027000000000000003,38.0,20.0
2022070411,0.005,0.3,0.005,0.02,24.0,16.0
2022070412,0.005,0.3,0.006999999999999999,0.02,29.0,12.0
2022070413,0.005,0.3,0.006999999999999999,0.022000000000000002,29.0,14.0
2022070414,0.004,0.3,0.009000000000000001,0.026000000000000002,27.0,13.0
2022070415,0.004,0.2,0.012,0.025,24.0,17.0
2022070416,0.004,0.3,0.012,0.034,28.0,11.0
2022070417,0.004,0.2,0.012,0.034,25.0,12.0
2022070418,0.005,0.2,0.012,0.034,25.0,12.0
2022070419,0.004,0.2,0.016,0.028999999999999998,29.0,16.0
2022070420,0.004,0.2,0.017,0.03,23.0,8.0
2022070421,0.003,0.2,0.015,0.026000000000000002,24.0,18.0
2022070422,0.003,0.2,0.016,0.021,26.0,12.0
2022070423,0.003,0.2,0.008,0.027999999999999997,20.0,12.0
2022070424,0.003,0.2,0.009000000000000001,0.022000000000000002,23.0,13.0
