dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.002,0.1,0.02,0.013999999999999999,8.0,2.0
2022063015,0.002,0.1,0.021,0.012,17.0,2.0
2022063016,0.002,0.2,0.017,0.017,11.0,5.0
2022063017,0.002,0.1,0.017,0.013999999999999999,21.0,9.0
2022063018,0.002,0.1,0.015,0.015,12.0,5.0
2022063019,0.002,0.1,0.009000000000000001,0.018000000000000002,10.0,5.0
2022063020,0.003,0.1,0.006999999999999999,0.02,10.0,3.0
2022063021,0.003,0.2,0.005,0.026000000000000002,16.0,3.0
2022063022,0.003,0.1,0.009000000000000001,0.013999999999999999,15.0,7.0
2022063023,0.002,0.1,0.01,0.013000000000000001,9.0,5.0
2022063024,0.002,0.1,0.008,0.013999999999999999,8.0,4.0
2022070101,0.003,0.1,0.006,0.017,7.0,4.0
2022070102,0.003,0.1,0.003,0.019,9.0,2.0
2022070103,0.003,0.1,0.004,0.018000000000000002,6.0,3.0
2022070104,0.003,0.1,0.003,0.023,12.0,3.0
2022070105,0.004,0.1,0.003,0.018000000000000002,11.0,3.0
2022070106,0.003,0.1,0.003,0.02,10.0,3.0
2022070107,0.004,0.2,0.003,0.024,9.0,3.0
2022070108,0.003,0.2,0.003,0.024,12.0,7.0
2022070109,0.004,0.2,0.005,0.023,11.0,8.0
2022070110,,0.2,0.001,0.021,10.0,5.0
2022070111,0.015,0.2,0.006999999999999999,0.024,8.0,4.0
2022070112,0.006999999999999999,0.2,0.012,0.016,16.0,5.0
2022070113,0.006999999999999999,0.1,0.013000000000000001,0.016,13.0,7.0
2022070114,0.013000000000000001,0.1,0.017,0.013000000000000001,13.0,8.0
2022070115,0.006,0.1,0.022000000000000002,0.013000000000000001,13.0,11.0
2022070116,0.006,0.1,0.03,0.009000000000000001,16.0,14.0
2022070117,0.006999999999999999,0.1,0.018000000000000002,0.016,14.0,
2022070118,0.005,0.1,0.02,0.01,17.0,17.0
2022070119,0.004,0.1,0.013000000000000001,0.012,22.0,13.0
2022070120,0.004,0.2,0.012,0.018000000000000002,20.0,12.0
2022070121,0.005,0.2,0.004,0.033,31.0,22.0
2022070122,0.004,0.2,0.002,0.031,41.0,30.0
2022070123,0.006,0.3,0.001,0.03,37.0,23.0
2022070124,0.006,0.2,0.001,0.032,41.0,25.0
2022070201,0.006,0.3,0.001,0.026000000000000002,40.0,20.0
2022070202,0.006,0.2,0.001,0.034,34.0,18.0
2022070203,0.006999999999999999,0.2,0.001,0.034,31.0,16.0
2022070204,0.005,0.2,0.001,0.03,39.0,20.0
2022070205,0.006,0.3,,0.037000000000000005,36.0,18.0
2022070206,0.005,0.3,,0.033,38.0,26.0
2022070207,0.006,0.3,0.002,0.027000000000000003,37.0,19.0
2022070208,0.006999999999999999,0.3,0.004,0.032,43.0,26.0
2022070209,0.006999999999999999,0.3,0.013000000000000001,0.034,47.0,26.0
2022070210,0.008,0.3,0.016,0.04,46.0,30.0
2022070211,0.008,0.3,0.017,0.049,46.0,31.0
2022070212,0.006,0.2,0.037000000000000005,0.024,50.0,31.0
2022070213,0.005,0.2,0.052000000000000005,0.028999999999999998,27.0,12.0
2022070214,0.006999999999999999,0.2,0.034,0.026000000000000002,28.0,17.0
2022070215,0.01,0.2,0.034,0.016,28.0,12.0
2022070216,0.008,0.2,0.031,0.016,22.0,12.0
2022070217,0.005,0.2,0.033,0.015,21.0,12.0
2022070218,0.003,0.2,0.036000000000000004,0.011000000000000001,22.0,16.0
2022070219,0.003,0.2,0.031,0.013000000000000001,17.0,12.0
2022070220,0.003,0.2,0.019,0.02,15.0,
2022070221,0.004,0.1,0.006,0.024,17.0,9.0
2022070222,0.004,0.1,0.002,0.023,17.0,11.0
2022070223,0.004,0.1,0.003,0.025,6.0,
2022070224,0.003,0.1,0.004,0.022000000000000002,8.0,4.0
2022070301,0.003,0.2,0.002,0.026000000000000002,11.0,3.0
2022070302,0.003,0.2,0.001,0.026000000000000002,13.0,10.0
2022070303,0.003,0.2,0.001,0.027000000000000003,14.0,10.0
2022070304,0.004,0.2,0.001,0.031,20.0,10.0
2022070305,0.004,0.2,0.001,0.031,29.0,14.0
2022070306,0.003,0.2,0.001,0.027000000000000003,18.0,12.0
2022070307,0.004,0.3,0.003,0.031,19.0,10.0
2022070308,0.006,0.3,0.008,0.03,29.0,16.0
2022070309,0.005,0.2,0.013999999999999999,0.016,33.0,21.0
2022070310,0.005,0.2,0.017,0.015,18.0,9.0
2022070311,0.004,0.2,0.018000000000000002,0.012,16.0,9.0
2022070312,0.004,0.2,0.018000000000000002,0.019,13.0,7.0
2022070313,0.004,0.2,0.027000000000000003,0.01,19.0,10.0
2022070314,0.003,0.2,0.032,0.01,13.0,8.0
2022070315,0.003,0.2,0.034,0.011000000000000001,15.0,7.0
2022070316,0.004,0.2,0.027999999999999997,0.021,15.0,9.0
2022070317,0.004,0.2,0.013999999999999999,0.04,16.0,9.0
2022070318,0.004,0.2,0.017,0.036000000000000004,24.0,11.0
2022070319,0.004,0.2,0.027000000000000003,0.027999999999999997,16.0,11.0
2022070320,0.003,0.2,0.021,0.027999999999999997,15.0,11.0
2022070321,0.003,0.2,0.009000000000000001,0.036000000000000004,19.0,8.0
2022070322,0.004,0.2,0.009000000000000001,0.031,19.0,13.0
2022070323,0.004,0.2,0.008,0.027000000000000003,21.0,10.0
2022070324,0.004,0.2,0.003,0.034,21.0,12.0
2022070401,0.003,0.2,0.006,0.023,18.0,9.0
2022070402,0.004,0.2,0.006,0.024,13.0,
2022070403,0.004,0.2,0.005,0.027999999999999997,14.0,5.0
2022070404,0.004,0.2,0.002,0.032,16.0,9.0
2022070405,0.004,0.2,0.002,0.031,15.0,9.0
2022070406,0.004,0.2,0.003,0.027999999999999997,18.0,2.0
2022070407,0.004,0.3,0.006,0.026000000000000002,19.0,2.0
2022070408,0.004,0.2,0.008,0.024,20.0,10.0
2022070409,0.004,0.2,0.011000000000000001,0.023,17.0,10.0
2022070410,0.005,0.2,0.013999999999999999,0.022000000000000002,16.0,8.0
2022070411,0.004,0.2,0.016,0.016,17.0,7.0
2022070412,0.004,0.2,0.018000000000000002,0.015,6.0,6.0
2022070413,0.004,0.2,0.019,0.013000000000000001,13.0,6.0
2022070414,0.004,0.2,0.02,0.015,15.0,8.0
2022070415,0.003,0.2,0.021,0.017,16.0,12.0
2022070416,0.003,0.2,0.024,0.019,21.0,11.0
2022070417,0.003,0.2,0.026000000000000002,0.017,15.0,8.0
2022070418,0.004,0.2,0.028999999999999998,0.017,13.0,5.0
2022070419,0.003,0.2,0.032,0.013999999999999999,20.0,6.0
2022070420,0.004,0.2,0.032,0.017,13.0,6.0
2022070421,0.004,0.2,0.024,0.02,19.0,10.0
2022070422,0.003,0.2,0.021,0.016,21.0,11.0
2022070423,0.004,0.2,0.016,0.019,13.0,8.0
2022070424,0.004,0.1,0.015,0.017,21.0,6.0
2022070501,0.004,0.2,0.012,0.015,14.0,8.0
