dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.003,0.3,0.013999999999999999,0.017,17.0,6.0
2022063015,0.003,0.2,0.017,0.016,20.0,5.0
2022063016,0.003,0.2,0.017,0.018000000000000002,21.0,4.0
2022063017,0.003,0.2,0.015,0.022000000000000002,16.0,3.0
2022063018,0.003,0.3,0.01,0.03,11.0,6.0
2022063019,0.003,0.3,0.009000000000000001,0.03,16.0,7.0
2022063020,0.003,0.3,0.008,0.02,17.0,8.0
2022063021,0.003,0.2,0.006999999999999999,0.013999999999999999,2.0,
2022063022,0.003,0.2,0.008,0.009000000000000001,8.0,
2022063023,0.003,0.3,0.006999999999999999,0.011000000000000001,9.0,6.0
2022063024,0.003,0.2,0.008,0.009000000000000001,9.0,6.0
2022070101,0.003,0.2,0.01,0.006,3.0,
2022070102,0.003,0.2,0.008,0.009000000000000001,2.0,
2022070103,0.003,0.2,0.008,0.006999999999999999,10.0,4.0
2022070104,0.003,0.2,0.008,0.006,7.0,
2022070105,0.003,0.2,0.006999999999999999,0.008,3.0,
2022070106,0.003,0.2,0.004,0.011000000000000001,2.0,
2022070107,0.004,0.3,0.003,0.019,2.0,
2022070108,0.003,0.3,0.005,0.018000000000000002,19.0,9.0
2022070109,0.004,0.4,0.006,0.024,3.0,
2022070110,0.003,0.3,0.008,0.023,19.0,9.0
2022070111,0.004,0.3,0.013000000000000001,0.026000000000000002,19.0,7.0
2022070112,0.004,0.3,0.018000000000000002,0.032,36.0,10.0
2022070113,0.005,0.3,0.021,0.032,36.0,17.0
2022070114,0.008,0.3,0.019,0.024,27.0,10.0
2022070115,0.008,0.3,0.02,0.026000000000000002,28.0,12.0
2022070116,0.005,0.3,0.021,0.039,29.0,15.0
2022070117,0.009000000000000001,0.4,0.016,0.05,36.0,23.0
2022070118,0.01,0.3,0.016,0.039,32.0,23.0
2022070119,0.006,0.3,0.015,0.032,31.0,27.0
2022070120,0.005,0.2,0.015,0.02,31.0,22.0
2022070121,0.004,0.2,0.013000000000000001,0.017,31.0,22.0
2022070122,0.004,0.2,0.009000000000000001,0.017,29.0,20.0
2022070123,0.004,0.2,0.008,0.016,21.0,18.0
2022070124,0.004,0.3,0.006,0.017,27.0,18.0
2022070201,0.004,0.2,0.004,0.016,31.0,20.0
2022070202,0.004,0.2,0.004,0.013000000000000001,34.0,24.0
2022070203,0.004,0.2,0.005,0.012,26.0,17.0
2022070204,0.004,0.2,0.005,0.011000000000000001,23.0,20.0
2022070205,0.004,0.2,0.004,0.011000000000000001,26.0,18.0
2022070206,0.004,0.2,0.004,0.011000000000000001,31.0,22.0
2022070207,0.005,0.3,0.003,0.025,32.0,17.0
2022070208,0.006,0.3,0.005,0.044000000000000004,36.0,26.0
2022070209,0.005,0.3,0.013000000000000001,0.032,35.0,24.0
2022070210,0.006999999999999999,0.2,0.032,0.02,34.0,22.0
2022070211,0.009000000000000001,0.3,0.047,0.03,33.0,24.0
2022070212,0.006999999999999999,0.3,0.048,0.039,34.0,23.0
2022070213,0.004,0.3,0.037000000000000005,0.031,29.0,22.0
2022070214,0.004,0.3,0.027999999999999997,0.036000000000000004,23.0,15.0
2022070215,0.004,0.3,0.032,0.025,22.0,11.0
2022070216,0.004,0.2,0.035,0.015,23.0,14.0
2022070217,0.004,0.2,0.03,0.02,29.0,14.0
2022070218,0.004,0.3,0.022000000000000002,0.028999999999999998,21.0,13.0
2022070219,0.004,0.3,0.019,0.032,22.0,13.0
2022070220,0.003,0.3,0.015,0.023,25.0,17.0
2022070221,0.004,0.3,0.016,0.02,19.0,11.0
2022070222,0.004,0.2,0.013000000000000001,0.017,23.0,10.0
2022070223,0.004,0.3,0.008,0.013999999999999999,18.0,16.0
2022070224,0.003,0.3,0.006999999999999999,0.013999999999999999,19.0,8.0
2022070301,0.003,0.2,0.006,0.013000000000000001,14.0,14.0
2022070302,0.004,0.3,0.005,0.013000000000000001,14.0,12.0
2022070303,0.004,0.2,0.006999999999999999,0.01,15.0,8.0
2022070304,0.004,0.3,0.006,0.012,16.0,13.0
2022070305,0.004,0.2,0.006999999999999999,0.01,17.0,12.0
2022070306,0.003,0.2,0.006,0.011000000000000001,11.0,9.0
2022070307,0.004,0.3,0.006,0.013999999999999999,2.0,
2022070308,0.005,0.3,0.006,0.034,12.0,10.0
2022070309,0.004,0.2,0.013999999999999999,0.013000000000000001,16.0,7.0
2022070310,0.004,0.2,0.02,0.01,11.0,6.0
2022070311,0.004,0.2,0.027999999999999997,0.012,15.0,7.0
2022070312,0.004,0.3,0.026000000000000002,0.015,9.0,6.0
