dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022061411,,,,,10.0,6.0
2022061412,0.002,0.2,0.036000000000000004,0.006999999999999999,9.0,5.0
2022061413,0.002,0.2,0.038,0.006999999999999999,13.0,3.0
2022061414,0.002,0.2,0.040999999999999995,0.006999999999999999,10.0,4.0
2022061415,0.002,0.2,0.040999999999999995,0.006,7.0,5.0
2022061416,0.002,0.2,0.037000000000000005,0.006999999999999999,7.0,6.0
2022061417,0.002,0.2,0.033,0.008,6.0,5.0
2022061418,0.002,0.2,0.034,0.006999999999999999,2.0,
2022061419,0.002,0.2,0.036000000000000004,0.005,2.0,2.0
2022061420,0.002,0.2,0.035,0.006,7.0,2.0
2022061421,0.002,0.2,0.034,0.005,5.0,2.0
2022061422,0.002,0.2,0.034,0.005,7.0,3.0
2022061423,0.002,0.2,0.035,0.004,6.0,6.0
2022061424,0.002,0.2,0.035,0.004,5.0,
2022061501,0.002,0.2,0.034,0.005,6.0,5.0
2022061502,0.002,0.2,0.033,0.004,6.0,6.0
2022061503,0.002,0.2,0.034,0.004,6.0,4.0
2022061504,0.002,0.2,0.033,0.004,4.0,4.0
2022061505,0.002,0.2,0.031,0.004,6.0,5.0
2022061506,0.002,0.3,0.028999999999999998,0.006,10.0,7.0
2022061507,0.002,0.3,0.025,0.009000000000000001,9.0,8.0
2022061508,0.002,0.4,0.021,0.011000000000000001,10.0,9.0
2022061509,0.002,0.4,0.018000000000000002,0.013000000000000001,12.0,11.0
2022061510,0.002,0.3,0.019,0.012,16.0,9.0
2022061511,0.002,0.2,0.026000000000000002,0.011000000000000001,13.0,6.0
2022061512,0.002,0.2,0.037000000000000005,0.009000000000000001,10.0,9.0
2022061513,0.002,0.2,0.047,0.008,16.0,10.0
2022061514,0.002,0.2,0.059000000000000004,0.006999999999999999,11.0,11.0
2022061515,0.002,0.2,0.063,0.009000000000000001,15.0,10.0
2022061516,0.003,0.2,0.064,0.011000000000000001,16.0,13.0
2022061517,0.002,0.2,0.055999999999999994,0.015,20.0,16.0
2022061518,0.002,0.2,0.051,0.013999999999999999,18.0,10.0
2022061519,0.002,0.2,0.05,0.015,15.0,10.0
2022061520,0.002,0.3,0.055,0.013000000000000001,17.0,13.0
2022061521,0.002,0.2,0.063,0.01,21.0,14.0
2022061522,0.002,0.2,0.069,0.006999999999999999,24.0,16.0
2022061523,0.002,0.2,0.073,0.006,27.0,17.0
2022061524,0.002,0.2,0.075,0.006,30.0,24.0
2022061601,0.002,0.3,0.078,0.005,29.0,24.0
2022061602,0.002,0.3,0.075,0.005,37.0,32.0
2022061603,0.002,0.3,0.076,0.005,38.0,33.0
2022061604,0.002,0.3,0.083,0.005,42.0,28.0
2022061605,0.002,0.3,0.08900000000000001,0.005,44.0,28.0
2022061606,0.002,0.3,0.092,,45.0,35.0
2022061607,0.002,0.3,0.09300000000000001,0.006,45.0,35.0
2022061608,0.002,0.3,0.08800000000000001,0.009000000000000001,42.0,38.0
2022061609,0.002,0.3,0.083,0.011000000000000001,42.0,38.0
2022061610,0.002,0.3,0.083,0.01,39.0,30.0
2022061611,0.002,0.3,0.08199999999999999,0.01,34.0,24.0
2022061612,0.002,0.3,0.08800000000000001,0.008,30.0,29.0
2022061613,0.002,0.3,0.09,0.009000000000000001,34.0,30.0
2022061614,0.002,0.3,0.086,0.01,36.0,30.0
2022061615,0.002,0.3,0.084,0.009000000000000001,29.0,26.0
2022061616,0.002,0.3,0.085,0.012,27.0,22.0
2022061617,0.003,0.4,0.091,0.019,29.0,22.0
2022061618,0.003,0.3,0.085,0.017,38.0,30.0
2022061619,0.003,0.3,0.078,0.016,35.0,27.0
2022061620,0.003,0.3,0.073,0.016,34.0,32.0
2022061621,0.002,0.3,0.061,0.015,34.0,29.0
2022061622,0.002,0.3,0.052000000000000005,0.013000000000000001,34.0,23.0
2022061623,0.002,0.3,0.05,0.011000000000000001,30.0,27.0
2022061624,0.002,0.3,0.054000000000000006,0.009000000000000001,32.0,22.0
2022061701,0.002,0.3,0.05,0.01,29.0,21.0
2022061702,0.003,0.3,0.054000000000000006,0.009000000000000001,29.0,27.0
2022061703,0.003,0.3,0.055999999999999994,0.008,29.0,26.0
2022061704,0.003,0.3,0.049,0.009000000000000001,23.0,
2022061705,0.002,0.3,0.044000000000000004,0.008,26.0,20.0
2022061706,0.002,0.3,0.034,0.013999999999999999,25.0,25.0
2022061707,0.002,0.4,0.022000000000000002,0.027999999999999997,22.0,
2022061708,0.002,0.3,0.047,0.021,27.0,23.0
2022061709,0.002,0.3,0.071,0.008,27.0,22.0
2022061710,0.002,0.3,0.07200000000000001,0.011000000000000001,27.0,23.0
2022061711,0.002,0.3,0.079,0.011000000000000001,27.0,22.0
2022061712,0.002,0.3,0.085,0.011000000000000001,32.0,19.0
2022061713,0.002,0.3,0.09300000000000001,0.011000000000000001,33.0,16.0
2022061714,0.002,0.3,0.08199999999999999,0.015,29.0,18.0
2022061715,0.002,0.2,0.071,0.016,28.0,16.0
2022061716,0.002,0.2,0.068,0.016,26.0,16.0
2022061717,0.002,0.2,0.059000000000000004,0.018000000000000002,20.0,12.0
2022061718,0.002,0.2,0.051,0.02,20.0,13.0
2022061719,0.002,0.3,0.04,0.021,15.0,13.0
2022061720,0.002,0.2,0.045,0.016,14.0,12.0
2022061721,0.002,0.2,0.043,0.009000000000000001,19.0,13.0
2022061722,0.002,0.2,0.039,0.006999999999999999,17.0,11.0
2022061723,0.002,0.2,0.040999999999999995,0.005,15.0,6.0
2022061724,0.002,0.2,0.038,0.006,8.0,
2022061801,0.002,0.2,0.039,0.005,10.0,9.0
2022061802,0.002,0.2,0.040999999999999995,0.003,9.0,
2022061803,0.002,0.2,0.04,0.003,10.0,6.0
2022061804,0.002,0.2,0.036000000000000004,0.005,7.0,5.0
2022061805,0.002,0.2,0.028999999999999998,0.005,6.0,5.0
