dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.002,0.1,0.03,0.006,7.0,6.0
2022063015,0.002,0.1,0.031,0.006,10.0,5.0
2022063016,0.002,0.1,0.028999999999999998,0.006999999999999999,16.0,4.0
2022063017,0.002,0.1,0.026000000000000002,0.006999999999999999,10.0,2.0
2022063018,0.002,0.1,0.027000000000000003,0.006999999999999999,6.0,5.0
2022063019,0.002,0.1,0.026000000000000002,0.008,7.0,5.0
2022063020,0.002,0.2,0.021,0.008,6.0,4.0
2022063021,0.002,0.2,0.016,0.008,6.0,3.0
2022063022,0.002,0.2,0.013000000000000001,0.006999999999999999,18.0,6.0
2022063023,0.002,0.2,0.01,0.008,8.0,5.0
2022063024,0.002,0.2,0.01,0.008,11.0,5.0
2022070101,0.002,0.2,0.01,0.006999999999999999,12.0,6.0
2022070102,0.002,0.2,0.01,0.006,12.0,4.0
2022070103,0.002,0.1,0.012,0.004,16.0,5.0
2022070104,0.002,0.1,0.015,0.004,14.0,5.0
2022070105,0.002,0.1,0.017,0.003,11.0,2.0
2022070106,0.002,0.1,0.016,0.004,7.0,2.0
2022070107,0.002,0.2,0.01,0.009000000000000001,6.0,2.0
2022070108,0.002,0.2,0.013999999999999999,0.006,9.0,4.0
2022070109,0.002,0.1,0.019,0.004,9.0,2.0
2022070110,0.003,0.1,0.022000000000000002,0.005,7.0,4.0
2022070111,0.003,0.2,0.028999999999999998,0.006999999999999999,7.0,3.0
2022070112,0.004,0.2,0.033,0.011000000000000001,13.0,2.0
2022070113,0.004,0.2,0.049,0.017,10.0,8.0
2022070114,0.006,0.2,0.055,0.013999999999999999,18.0,8.0
2022070115,0.012,0.2,0.043,0.013000000000000001,18.0,15.0
2022070116,0.008,0.2,0.034,0.011000000000000001,22.0,15.0
2022070117,0.004,0.2,0.045,0.013000000000000001,18.0,17.0
2022070118,0.006999999999999999,0.2,0.045,0.01,22.0,20.0
2022070119,0.011000000000000001,0.2,0.034,0.01,24.0,17.0
2022070120,0.008,0.2,0.022000000000000002,0.012,21.0,
2022070121,0.006999999999999999,0.2,0.017,0.011000000000000001,26.0,
2022070122,0.006,0.2,0.015,0.01,35.0,26.0
