dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.017,0.006,6.0,6.0
2022063015,,,0.017,0.006999999999999999,14.0,9.0
2022063016,,0.2,0.018000000000000002,0.006999999999999999,12.0,6.0
2022063017,,,0.017,0.006999999999999999,17.0,6.0
2022063018,,,0.015,0.006999999999999999,16.0,4.0
2022063019,,,0.013000000000000001,0.006999999999999999,15.0,3.0
2022063020,,0.3,0.01,0.009000000000000001,14.0,6.0
2022063021,,0.3,0.006999999999999999,0.012,14.0,8.0
2022063022,,0.2,0.005,0.013999999999999999,16.0,7.0
2022063023,,0.2,0.006999999999999999,0.01,15.0,8.0
2022063024,,0.2,0.006,0.011000000000000001,9.0,8.0
2022070101,,0.2,0.006,0.013000000000000001,11.0,7.0
2022070102,,0.2,0.002,0.032,17.0,6.0
2022070103,,0.2,0.002,0.015,21.0,11.0
2022070104,,0.2,0.002,0.013999999999999999,17.0,11.0
2022070105,,0.2,0.002,0.013000000000000001,18.0,12.0
2022070106,,0.3,0.002,0.012,15.0,11.0
2022070107,,0.3,0.003,0.01,19.0,8.0
2022070108,,0.3,0.005,0.01,19.0,10.0
2022070109,,0.3,0.004,0.011000000000000001,22.0,13.0
2022070110,,0.3,0.008,0.01,25.0,15.0
2022070111,,0.3,0.011000000000000001,0.01,19.0,9.0
2022070112,,0.3,0.011000000000000001,0.01,22.0,12.0
2022070113,,0.2,0.012,0.01,16.0,9.0
2022070114,,0.2,0.013999999999999999,0.01,18.0,9.0
2022070115,0.005,0.2,0.022000000000000002,0.011000000000000001,22.0,10.0
2022070116,0.006,0.2,0.015,0.008,22.0,20.0
2022070117,0.006,0.2,0.008,0.009000000000000001,27.0,19.0
2022070118,0.006,0.3,0.01,0.01,29.0,23.0
2022070119,0.005,0.3,0.02,0.011000000000000001,25.0,14.0
2022070120,0.005,0.3,0.02,0.01,21.0,15.0
2022070121,0.005,0.2,0.015,0.015,15.0,14.0
2022070122,0.005,0.3,0.008,0.021,23.0,17.0
2022070123,0.005,0.5,0.009000000000000001,0.022000000000000002,30.0,17.0
2022070124,0.005,0.4,0.013000000000000001,0.023,47.0,27.0
2022070201,0.005,0.4,0.008,0.022000000000000002,40.0,26.0
2022070202,0.005,0.3,0.013999999999999999,0.02,39.0,29.0
2022070203,0.004,0.3,0.002,0.016,37.0,27.0
2022070204,0.005,0.4,0.002,0.017,44.0,31.0
2022070205,0.011000000000000001,0.5,0.002,0.016,46.0,31.0
2022070206,0.013999999999999999,0.3,0.003,0.015,47.0,35.0
2022070207,0.015,0.3,0.002,0.015,38.0,29.0
2022070208,0.024,0.3,0.004,0.017,37.0,31.0
2022070209,0.018000000000000002,0.3,0.006,0.024,34.0,27.0
2022070210,0.009000000000000001,0.3,0.018000000000000002,0.016,47.0,30.0
2022070211,0.006999999999999999,0.2,0.026000000000000002,0.012,33.0,28.0
2022070212,0.006,0.2,0.03,0.015,28.0,22.0
2022070213,0.006,0.2,0.028999999999999998,0.011000000000000001,25.0,18.0
2022070214,0.006,0.2,0.027999999999999997,0.012,23.0,13.0
2022070215,0.005,0.2,0.03,0.01,21.0,16.0
2022070216,0.005,0.2,0.031,0.011000000000000001,27.0,21.0
2022070217,0.005,0.2,0.028999999999999998,0.012,27.0,18.0
2022070218,0.005,0.3,0.021,0.017,23.0,20.0
2022070219,0.005,0.3,0.018000000000000002,0.018000000000000002,22.0,22.0
2022070220,0.005,0.3,0.006999999999999999,0.025,20.0,18.0
2022070221,0.005,0.3,0.001,0.027000000000000003,25.0,17.0
2022070222,0.005,0.3,0.001,0.021,25.0,17.0
2022070223,0.005,0.2,0.002,0.017,14.0,11.0
2022070224,0.004,0.2,0.002,0.016,27.0,
2022070301,0.004,0.2,0.003,0.016,14.0,10.0
2022070302,0.004,0.3,0.001,0.019,10.0,10.0
2022070303,0.004,0.3,0.002,0.018000000000000002,21.0,18.0
2022070304,0.004,0.3,0.002,0.015,21.0,13.0
2022070305,0.004,0.3,0.003,0.013000000000000001,17.0,14.0
2022070306,0.004,0.3,0.003,0.013999999999999999,21.0,20.0
2022070307,0.004,0.2,0.008,0.011000000000000001,17.0,
2022070308,0.004,0.2,0.009000000000000001,0.01,8.0,8.0
2022070309,0.004,0.2,0.011000000000000001,0.009000000000000001,14.0,8.0
2022070310,0.005,0.3,0.012,0.011000000000000001,10.0,
2022070311,0.005,0.3,0.016,0.01,13.0,8.0
2022070312,0.005,0.2,0.021,0.009000000000000001,14.0,6.0
2022070313,0.005,0.3,0.024,0.008,15.0,10.0
2022070314,0.005,0.2,0.03,0.008,14.0,8.0
2022070315,0.005,0.2,0.031,0.006999999999999999,14.0,9.0
2022070316,0.004,0.2,0.031,0.006999999999999999,15.0,10.0
2022070317,0.004,0.2,0.040999999999999995,0.006999999999999999,10.0,
2022070318,0.004,0.2,0.046,0.008,14.0,10.0
2022070319,0.004,0.3,0.038,0.013000000000000001,17.0,10.0
2022070320,0.004,0.3,0.027999999999999997,0.013000000000000001,21.0,16.0
2022070321,0.004,0.3,0.027999999999999997,0.013999999999999999,17.0,11.0
2022070322,0.004,0.2,0.018000000000000002,0.015,24.0,17.0
2022070323,0.004,0.2,0.015,0.013000000000000001,22.0,10.0
2022070324,0.004,0.2,0.012,0.012,17.0,11.0
2022070401,0.005,0.2,0.01,0.013000000000000001,13.0,
2022070402,0.005,0.2,0.016,0.01,17.0,13.0
2022070403,0.005,0.2,0.009000000000000001,0.016,19.0,16.0
2022070404,0.005,0.2,0.009000000000000001,0.016,16.0,12.0
2022070405,0.005,0.2,0.006,0.016,14.0,14.0
2022070406,0.005,0.2,0.008,0.015,16.0,11.0
2022070407,0.005,0.3,0.006,0.02,15.0,12.0
2022070408,0.005,0.3,0.006,0.017,24.0,12.0
2022070409,0.005,0.2,0.01,0.012,20.0,9.0
2022070410,0.006,0.2,0.012,0.013000000000000001,17.0,10.0
2022070411,0.005,0.2,0.012,0.013000000000000001,27.0,8.0
2022070412,0.005,0.2,0.018000000000000002,0.01,22.0,13.0
2022070413,0.005,0.2,0.019,0.009000000000000001,24.0,11.0
2022070414,0.005,0.2,0.019,0.012,18.0,9.0
2022070415,0.005,0.2,0.021,0.011000000000000001,32.0,9.0
2022070416,0.005,0.2,0.018000000000000002,0.012,25.0,12.0
2022070417,0.005,0.2,0.017,0.01,25.0,8.0
2022070418,0.005,0.2,0.02,0.012,18.0,7.0
2022070419,0.005,0.2,0.015,0.016,19.0,13.0
2022070420,0.005,0.2,0.021,0.017,21.0,10.0
2022070421,0.004,0.2,0.024,0.01,26.0,14.0
2022070422,0.005,0.2,0.02,0.01,18.0,13.0
2022070423,0.004,0.2,0.015,0.013000000000000001,19.0,13.0
2022070424,0.004,0.2,0.012,0.013999999999999999,20.0,8.0
2022070501,0.004,0.2,0.009000000000000001,0.013999999999999999,19.0,11.0
2022070502,0.004,0.2,0.006999999999999999,0.011000000000000001,18.0,9.0
2022070503,0.004,0.2,0.008,0.009000000000000001,11.0,8.0
2022070504,0.004,0.3,0.01,0.01,13.0,8.0
2022070505,0.005,0.8,0.006999999999999999,0.012,11.0,7.0
2022070506,0.005,0.2,0.006999999999999999,0.013000000000000001,18.0,15.0
2022070507,0.005,0.3,0.003,0.017,18.0,16.0
2022070508,0.005,0.3,0.004,0.018000000000000002,17.0,11.0
2022070509,0.006,0.3,0.004,0.021,32.0,22.0
2022070510,0.006,0.4,0.019,0.027000000000000003,29.0,16.0
2022070511,0.006999999999999999,0.4,0.027999999999999997,0.027999999999999997,33.0,25.0
2022070512,0.006999999999999999,0.3,0.046,0.022000000000000002,40.0,26.0
2022070513,0.006,0.3,0.033,0.016,39.0,29.0
2022070514,0.005,0.2,0.015,0.016,23.0,17.0
2022070515,0.005,0.2,0.012,0.023,21.0,12.0
2022070516,0.005,0.2,0.009000000000000001,0.021,25.0,10.0
2022070517,0.005,0.2,0.009000000000000001,0.021,19.0,14.0
2022070518,0.005,0.2,0.012,0.021,15.0,12.0
2022070519,0.005,0.2,0.013000000000000001,0.02,10.0,9.0
