dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022061411,0.003,0.1,0.033,0.006999999999999999,10.0,2.0
2022061412,0.003,0.1,0.034,0.006999999999999999,2.0,
2022061413,0.004,0.2,0.032,0.006999999999999999,2.0,
2022061414,,,,,10.0,5.0
2022061415,0.004,0.2,0.034,0.009000000000000001,10.0,7.0
2022061416,0.004,0.2,0.028999999999999998,0.01,35.0,7.0
2022061417,0.003,0.2,0.027000000000000003,0.01,3.0,3.0
2022061418,0.003,0.2,0.026000000000000002,0.01,2.0,2.0
2022061419,0.003,0.2,0.025,0.011000000000000001,2.0,2.0
2022061420,0.003,0.2,0.025,0.01,2.0,2.0
2022061421,0.003,0.2,0.027000000000000003,0.008,2.0,2.0
2022061422,0.003,0.2,0.028999999999999998,0.006999999999999999,2.0,2.0
2022061423,0.003,0.2,0.03,0.006,,2.0
2022061424,0.003,0.2,0.031,0.005,,
2022061501,0.003,0.2,0.033,0.004,,
2022061502,0.003,0.2,0.033,0.004,,
2022061503,0.003,0.2,0.033,0.004,,
2022061504,0.003,0.2,0.027000000000000003,0.006,,
2022061505,0.003,0.2,0.021,0.008,26.0,3.0
2022061506,0.003,0.2,0.02,0.008,2.0,
2022061507,0.003,0.2,0.016,0.01,2.0,2.0
2022061508,0.003,0.2,0.011000000000000001,0.013000000000000001,2.0,2.0
2022061509,0.003,0.2,0.011000000000000001,0.015,3.0,3.0
2022061510,0.004,0.2,0.012,0.015,7.0,6.0
2022061511,0.004,0.2,0.013999999999999999,0.015,16.0,5.0
2022061512,0.004,0.2,0.013999999999999999,0.019,10.0,3.0
2022061513,0.004,0.2,0.037000000000000005,0.012,10.0,6.0
2022061514,0.004,0.2,0.040999999999999995,0.013000000000000001,17.0,7.0
2022061515,0.004,0.2,0.044000000000000004,0.012,11.0,9.0
2022061516,0.004,0.2,0.045,0.013000000000000001,26.0,9.0
2022061517,0.004,0.2,0.046,0.013000000000000001,27.0,8.0
2022061518,0.004,0.2,0.045,0.013000000000000001,15.0,6.0
2022061519,0.004,0.2,0.042,0.013999999999999999,8.0,5.0
2022061520,0.004,0.2,0.044000000000000004,0.013000000000000001,21.0,7.0
2022061521,0.004,0.2,0.046,0.01,20.0,10.0
2022061522,0.004,0.2,0.047,0.01,14.0,5.0
2022061523,0.003,0.2,0.055999999999999994,0.008,26.0,8.0
2022061524,0.004,0.2,0.057999999999999996,0.009000000000000001,16.0,12.0
2022061601,0.004,0.2,0.062,0.008,25.0,18.0
2022061602,0.004,0.2,0.066,0.008,39.0,21.0
2022061603,0.004,0.2,0.073,0.006,30.0,26.0
2022061604,0.004,0.2,0.08199999999999999,0.005,36.0,26.0
2022061605,0.004,0.2,0.077,0.006999999999999999,37.0,28.0
2022061606,0.004,0.2,0.08,0.006999999999999999,44.0,27.0
2022061607,0.004,0.2,0.068,0.013000000000000001,35.0,29.0
2022061608,0.004,0.2,0.085,0.01,41.0,30.0
2022061609,0.004,0.3,0.08800000000000001,0.008,34.0,30.0
2022061610,0.004,0.3,0.083,0.009000000000000001,37.0,31.0
2022061611,0.004,0.3,0.085,0.009000000000000001,39.0,26.0
2022061612,0.004,0.3,0.086,0.011000000000000001,45.0,24.0
2022061613,0.004,0.3,0.08199999999999999,0.013000000000000001,47.0,29.0
2022061614,0.004,0.3,0.084,0.013000000000000001,51.0,31.0
2022061615,0.004,0.3,0.085,0.015,39.0,29.0
2022061616,0.004,0.3,0.07400000000000001,0.015,45.0,25.0
2022061617,0.004,0.3,0.071,0.016,54.0,29.0
2022061618,0.004,0.3,0.071,0.013999999999999999,53.0,30.0
2022061619,0.004,0.3,0.06,0.018000000000000002,53.0,29.0
2022061620,0.004,0.3,0.054000000000000006,0.019,49.0,31.0
2022061621,0.004,0.3,0.05,0.017,42.0,25.0
2022061622,0.004,0.3,0.049,0.013999999999999999,32.0,18.0
2022061623,0.004,0.3,0.025,0.027999999999999997,21.0,17.0
2022061624,0.004,0.2,0.053,0.015,37.0,24.0
2022061701,0.004,0.3,0.049,0.013000000000000001,41.0,22.0
2022061702,0.004,0.3,0.046,0.013000000000000001,44.0,26.0
2022061703,0.004,0.2,0.071,0.006,38.0,22.0
2022061704,0.004,0.2,0.077,0.005,26.0,23.0
2022061705,0.004,0.2,0.073,0.006,42.0,22.0
2022061706,0.004,0.2,0.067,0.008,37.0,29.0
2022061707,0.004,0.2,0.064,0.011000000000000001,41.0,29.0
2022061708,0.004,0.2,0.062,0.013000000000000001,36.0,26.0
2022061709,0.004,0.2,0.062,0.012,31.0,27.0
2022061710,0.004,0.2,0.052000000000000005,0.017,23.0,19.0
2022061711,0.004,0.2,0.046,0.017,36.0,22.0
2022061712,0.004,0.2,0.048,0.015,33.0,14.0
2022061713,0.004,0.2,0.055,0.011000000000000001,28.0,15.0
2022061714,0.004,0.2,0.055999999999999994,0.01,26.0,9.0
2022061715,0.004,0.2,0.05,0.011000000000000001,21.0,9.0
2022061716,0.004,0.2,0.05,0.012,27.0,5.0
2022061717,0.004,0.2,0.044000000000000004,0.012,20.0,8.0
2022061718,0.004,0.2,0.036000000000000004,0.015,14.0,9.0
2022061719,0.004,0.2,0.035,0.013000000000000001,30.0,10.0
2022061720,0.004,0.2,0.027000000000000003,0.015,11.0,10.0
2022061721,0.004,0.2,0.031,0.013000000000000001,13.0,13.0
2022061722,0.004,0.2,0.033,0.01,12.0,8.0
2022061723,0.004,0.2,0.036000000000000004,0.006999999999999999,11.0,6.0
2022061724,0.004,0.2,0.035,0.006,11.0,6.0
2022061801,0.004,0.1,0.038,0.004,10.0,7.0
