dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.021,0.003,17.0,4.0
2022063015,,,0.021,0.004,16.0,6.0
2022063016,,0.2,0.021,0.004,14.0,3.0
2022063017,,,0.02,0.004,13.0,2.0
2022063018,,,0.017,0.005,12.0,
2022063019,,,0.015,0.006,14.0,8.0
2022063020,,,0.008,0.01,16.0,6.0
2022063021,,,0.009000000000000001,0.01,18.0,8.0
2022063022,,0.3,0.004,0.011000000000000001,14.0,6.0
2022063023,,0.3,0.004,0.011000000000000001,19.0,
2022063024,,0.2,0.005,0.01,24.0,5.0
2022070101,,0.2,0.006,0.009000000000000001,17.0,3.0
2022070102,,0.2,0.004,0.009000000000000001,15.0,2.0
2022070103,,0.2,0.004,0.009000000000000001,20.0,2.0
2022070104,,0.2,0.004,0.008,17.0,2.0
2022070105,,0.2,0.005,0.006999999999999999,13.0,4.0
2022070106,,0.2,0.004,0.008,11.0,5.0
2022070107,,0.2,0.005,0.006999999999999999,13.0,4.0
2022070108,,0.2,0.006999999999999999,0.006999999999999999,13.0,4.0
2022070109,,0.2,0.01,0.006,19.0,9.0
2022070110,,0.2,0.013999999999999999,0.005,10.0,8.0
2022070111,,0.2,0.019,0.004,18.0,6.0
2022070112,,0.2,0.018000000000000002,0.004,18.0,5.0
2022070113,,0.2,0.018000000000000002,0.003,19.0,8.0
2022070114,,0.2,0.017,0.005,18.0,9.0
2022070115,0.004,0.2,0.016,0.004,26.0,6.0
2022070116,0.006999999999999999,0.2,0.013999999999999999,0.005,25.0,7.0
2022070117,0.009000000000000001,0.2,0.013000000000000001,0.006,31.0,14.0
2022070118,0.008,0.2,0.011000000000000001,0.006999999999999999,38.0,17.0
2022070119,0.006999999999999999,0.2,0.008,0.01,34.0,14.0
2022070120,0.006999999999999999,0.3,0.006,0.013000000000000001,38.0,16.0
2022070121,0.006,0.4,0.004,0.013999999999999999,32.0,13.0
2022070122,0.006,0.3,0.006,0.011000000000000001,43.0,25.0
2022070123,0.006,0.3,0.009000000000000001,0.008,39.0,22.0
2022070124,0.005,0.2,0.009000000000000001,0.008,34.0,20.0
2022070201,0.005,0.3,0.006,0.009000000000000001,32.0,17.0
2022070202,0.005,0.3,0.006999999999999999,0.009000000000000001,40.0,19.0
2022070203,0.005,0.3,0.006999999999999999,0.006999999999999999,37.0,22.0
2022070204,0.005,0.2,0.006,0.006,35.0,22.0
2022070205,0.005,0.2,0.008,0.006999999999999999,34.0,22.0
2022070206,0.005,0.3,0.009000000000000001,0.008,41.0,20.0
2022070207,0.005,0.3,0.006,0.01,38.0,19.0
2022070208,0.005,0.3,0.012,0.01,37.0,17.0
2022070209,0.008,0.3,0.027000000000000003,0.009000000000000001,37.0,24.0
2022070210,0.011000000000000001,0.2,0.043,0.009000000000000001,46.0,22.0
2022070211,0.008,0.2,0.038,0.009000000000000001,61.0,28.0
2022070212,0.006999999999999999,0.2,0.027999999999999997,0.009000000000000001,46.0,16.0
2022070213,0.008,0.2,0.016,0.006999999999999999,34.0,8.0
2022070214,0.008,0.2,0.021,0.008,30.0,7.0
2022070215,0.008,0.2,0.024,0.009000000000000001,31.0,6.0
2022070216,0.009000000000000001,0.2,0.031,0.01,31.0,8.0
2022070217,0.009000000000000001,0.2,0.027999999999999997,0.011000000000000001,35.0,9.0
2022070218,0.009000000000000001,0.3,0.018000000000000002,0.012,37.0,8.0
2022070219,0.009000000000000001,0.3,0.017,0.012,38.0,9.0
2022070220,0.008,0.3,0.015,0.013000000000000001,39.0,9.0
2022070221,0.008,0.2,0.005,0.012,37.0,13.0
2022070222,0.008,0.2,0.006,0.011000000000000001,31.0,9.0
2022070223,0.006999999999999999,0.2,0.012,0.008,29.0,6.0
2022070224,0.006999999999999999,0.2,0.016,0.006999999999999999,25.0,3.0
2022070301,0.006,0.2,0.013999999999999999,0.009000000000000001,23.0,6.0
2022070302,0.006,0.2,0.017,0.006999999999999999,29.0,6.0
2022070303,0.006,0.2,0.019,0.006,29.0,11.0
2022070304,0.006,0.2,0.016,0.005,29.0,13.0
2022070305,0.006,0.2,0.012,0.006,26.0,7.0
2022070306,0.006,0.2,0.01,0.006999999999999999,24.0,4.0
2022070307,0.006,0.2,0.008,0.008,22.0,3.0
2022070308,0.006,0.2,0.015,0.006999999999999999,22.0,2.0
2022070309,0.006999999999999999,0.2,0.019,0.006,24.0,3.0
2022070310,0.006999999999999999,0.2,0.018000000000000002,0.006,24.0,6.0
2022070311,0.008,0.2,0.018000000000000002,0.006,25.0,5.0
2022070312,0.008,0.2,0.022000000000000002,0.006999999999999999,27.0,6.0
2022070313,0.009000000000000001,0.2,0.027000000000000003,0.008,29.0,5.0
2022070314,0.01,0.2,0.028999999999999998,0.008,29.0,6.0
2022070315,0.01,0.2,0.039,0.006999999999999999,34.0,8.0
2022070316,0.01,0.2,0.049,0.006999999999999999,34.0,6.0
2022070317,0.01,0.2,0.048,0.008,39.0,10.0
2022070318,0.011000000000000001,0.3,0.044000000000000004,0.01,36.0,11.0
2022070319,0.01,0.2,0.047,0.009000000000000001,43.0,14.0
2022070320,0.01,0.2,0.044000000000000004,0.01,37.0,14.0
2022070321,0.009000000000000001,0.2,0.039,0.01,36.0,15.0
2022070322,0.009000000000000001,0.2,0.036000000000000004,0.011000000000000001,36.0,13.0
2022070323,0.009000000000000001,0.2,0.023,0.015,35.0,12.0
2022070324,0.008,0.2,0.019,0.015,36.0,17.0
2022070401,0.008,0.2,0.01,0.018000000000000002,35.0,12.0
2022070402,0.008,0.2,0.01,0.015,34.0,10.0
2022070403,0.008,0.2,0.008,0.015,31.0,9.0
2022070404,0.006999999999999999,0.2,0.009000000000000001,0.011000000000000001,35.0,8.0
2022070405,0.006999999999999999,0.2,0.012,0.008,32.0,8.0
2022070406,0.008,0.2,0.004,0.017,29.0,8.0
2022070407,0.008,0.2,0.006999999999999999,0.013999999999999999,32.0,11.0
2022070408,0.008,0.2,0.013000000000000001,0.009000000000000001,34.0,10.0
2022070409,0.008,0.2,0.016,0.009000000000000001,25.0,5.0
2022070410,0.009000000000000001,0.2,0.018000000000000002,0.006999999999999999,27.0,5.0
2022070411,0.009000000000000001,0.2,0.013999999999999999,0.006,27.0,6.0
2022070412,0.01,0.2,0.017,0.006,32.0,6.0
2022070413,0.01,0.2,0.022000000000000002,0.006,34.0,6.0
2022070414,,,,,,
2022070415,,,,,,
2022070416,,,,,,
2022070417,,,,,,
2022070418,,,,,,
2022070419,,,,,,
2022070420,,,,,,
2022070421,,,,,,
2022070422,,,,,,
2022070423,,,,,,
2022070424,,,,,,
2022070501,,,,,,
2022070502,,,,,,
2022070503,,,,,,
2022070504,,,,,,
2022070505,,,,,,
2022070506,,,,,,
2022070507,,,,,,
2022070508,,,,,,
2022070509,,,,,,
2022070510,,,,,,
2022070511,,,,,,
2022070512,,,,,,
2022070513,,,,,,
2022070514,,,,,,
2022070515,,,,,,
2022070516,0.004,0.2,0.026000000000000002,0.006999999999999999,14.0,6.0
2022070517,0.003,0.2,0.023,0.008,12.0,4.0
2022070518,0.003,0.2,0.022000000000000002,0.008,17.0,3.0
2022070519,0.003,0.2,0.023,0.006999999999999999,18.0,3.0
2022070520,0.003,0.2,0.024,0.006999999999999999,15.0,3.0
2022070521,0.003,0.3,0.019,0.006999999999999999,11.0,7.0
2022070522,0.003,0.3,0.018000000000000002,0.006999999999999999,16.0,7.0
2022070523,0.003,0.2,0.013999999999999999,0.006,14.0,5.0
2022070524,0.003,0.2,0.013999999999999999,0.006,18.0,5.0
2022070601,0.003,0.2,0.013000000000000001,0.006,13.0,4.0
2022070602,0.003,0.2,0.013000000000000001,0.004,16.0,3.0
2022070603,0.003,0.2,0.012,0.004,12.0,3.0
2022070604,0.003,0.2,0.013999999999999999,0.005,11.0,3.0
2022070605,0.003,0.2,0.015,0.005,15.0,3.0
2022070606,0.003,0.2,0.024,0.004,18.0,2.0
2022070607,0.003,0.2,0.018000000000000002,0.006999999999999999,13.0,3.0
2022070608,0.003,0.2,0.013000000000000001,0.009000000000000001,15.0,7.0
2022070609,0.003,0.2,0.02,0.006999999999999999,17.0,7.0
2022070610,0.004,0.2,0.027999999999999997,0.006999999999999999,19.0,12.0
2022070611,0.004,0.2,0.046,0.005,18.0,12.0
2022070612,0.004,0.2,0.057,0.004,21.0,13.0
2022070613,0.004,0.2,0.061,0.004,22.0,15.0
2022070614,0.003,0.2,0.04,0.003,26.0,12.0
2022070615,0.004,0.2,0.039,0.003,24.0,12.0
2022070616,0.003,0.2,0.04,0.004,23.0,14.0
2022070617,0.003,0.2,0.040999999999999995,0.003,17.0,11.0
2022070618,0.003,0.2,0.038,0.003,18.0,9.0
2022070619,0.003,0.2,0.033,0.005,21.0,12.0
2022070620,0.003,0.2,0.03,0.005,23.0,10.0
2022070621,0.003,0.2,0.026000000000000002,0.004,21.0,9.0
2022070622,0.003,0.2,0.024,0.004,19.0,9.0
2022070623,0.003,0.2,0.022000000000000002,0.005,20.0,6.0
2022070624,0.003,0.2,0.017,0.006,23.0,9.0
2022070701,0.003,0.2,0.017,0.006,21.0,8.0
2022070702,0.003,0.2,0.015,0.006,18.0,8.0
2022070703,0.003,0.2,0.013999999999999999,0.006,18.0,6.0
2022070704,0.003,0.2,0.012,0.008,16.0,5.0
2022070705,0.003,0.2,0.011000000000000001,0.008,15.0,4.0
2022070706,0.003,0.2,0.011000000000000001,0.006999999999999999,13.0,4.0
2022070707,0.003,0.2,0.012,0.006,11.0,7.0
2022070708,0.003,0.2,0.013999999999999999,0.006,18.0,4.0
2022070709,0.003,0.2,0.013999999999999999,0.006,15.0,5.0
2022070710,0.003,0.2,0.013000000000000001,0.006,22.0,4.0
2022070711,0.003,0.2,0.017,0.006,25.0,4.0
2022070712,0.003,0.2,0.018000000000000002,,21.0,4.0
2022070713,0.004,0.2,0.025,0.004,20.0,8.0
2022070714,0.003,0.2,0.026000000000000002,0.003,22.0,6.0
2022070715,0.003,0.2,0.026000000000000002,0.004,16.0,5.0
2022070716,0.003,0.2,0.024,0.004,16.0,4.0
2022070717,0.003,0.2,0.025,0.004,16.0,4.0
2022070718,0.003,0.2,0.021,0.005,18.0,6.0
2022070719,0.003,0.2,0.021,0.005,21.0,5.0
2022070720,0.003,0.2,0.021,0.006,16.0,5.0
2022070721,0.003,0.2,0.021,0.006,22.0,5.0
2022070722,0.003,0.2,0.021,0.006,21.0,10.0
2022070723,0.003,0.2,0.021,0.004,24.0,9.0
2022070724,0.003,0.2,,0.004,21.0,8.0
2022070801,0.003,0.2,0.02,0.005,24.0,6.0
2022070802,0.003,0.2,0.02,0.005,30.0,3.0
2022070803,0.003,0.2,0.021,0.004,30.0,8.0
2022070804,0.003,0.2,0.021,0.004,24.0,6.0
2022070805,0.003,0.2,0.02,0.004,24.0,6.0
2022070806,0.003,0.2,0.017,0.006,24.0,8.0
2022070807,0.003,0.2,0.018000000000000002,0.005,29.0,6.0
2022070808,0.003,0.2,0.016,0.006999999999999999,24.0,6.0
2022070809,0.003,0.2,0.015,0.008,21.0,10.0
2022070810,0.003,0.2,0.016,0.009000000000000001,26.0,9.0
2022070811,0.003,0.2,0.019,0.009000000000000001,28.0,8.0
2022070812,0.003,0.2,0.022000000000000002,0.008,28.0,9.0
2022070813,0.003,0.2,0.021,0.009000000000000001,28.0,14.0
2022070814,0.003,0.2,0.031,0.006,26.0,13.0
2022070815,0.003,0.2,0.039,0.006,27.0,11.0
2022070816,0.003,0.2,0.031,0.006,24.0,12.0
2022070817,0.003,0.2,0.027000000000000003,0.006,21.0,10.0
2022070818,0.003,0.2,0.022000000000000002,0.009000000000000001,19.0,7.0
2022070819,0.003,0.3,0.02,0.011000000000000001,23.0,9.0
2022070820,0.003,0.3,0.013000000000000001,0.015,28.0,12.0
2022070821,0.003,0.3,0.018000000000000002,0.013000000000000001,28.0,13.0
2022070822,0.003,0.3,0.021,0.013000000000000001,27.0,15.0
2022070823,0.004,0.3,0.021,0.013999999999999999,32.0,14.0
2022070824,0.003,0.3,0.026000000000000002,0.009000000000000001,30.0,12.0
2022070901,0.003,0.3,0.024,0.008,24.0,12.0
2022070902,0.003,0.3,0.031,0.005,18.0,9.0
2022070903,0.003,0.3,0.038,0.003,24.0,14.0
2022070904,0.003,0.3,0.037000000000000005,0.003,21.0,9.0
2022070905,0.003,0.3,0.035,0.003,24.0,9.0
2022070906,0.003,0.3,0.032,0.005,24.0,12.0
2022070907,0.003,0.3,0.027000000000000003,0.006,26.0,11.0
2022070908,0.003,0.3,0.027999999999999997,0.009000000000000001,21.0,10.0
2022070909,0.003,0.3,0.040999999999999995,0.005,27.0,8.0
2022070910,0.004,0.3,0.052000000000000005,0.006999999999999999,27.0,8.0
2022070911,0.004,0.3,0.054000000000000006,0.006,25.0,12.0
2022070912,0.004,0.3,0.07,0.006999999999999999,26.0,15.0
2022070913,0.004,0.3,0.075,0.008,30.0,20.0
2022070914,0.003,0.3,0.064,0.006999999999999999,30.0,17.0
2022070915,0.003,0.3,0.059000000000000004,0.005,23.0,12.0
2022070916,0.003,0.3,0.055,0.006,12.0,7.0
2022070917,0.003,0.3,0.055,0.006,14.0,6.0
2022070918,0.003,0.3,0.052000000000000005,0.006999999999999999,18.0,6.0
2022070919,0.003,0.3,0.047,0.006999999999999999,19.0,11.0
2022070920,0.003,0.3,0.046,0.006,18.0,8.0
2022070921,0.003,0.3,0.043,0.005,16.0,8.0
2022070922,0.003,0.3,0.037000000000000005,0.006,21.0,9.0
2022070923,0.003,0.3,0.032,0.006999999999999999,21.0,10.0
2022070924,0.004,0.3,0.023,0.008,23.0,11.0
2022071001,0.004,0.3,0.023,0.006999999999999999,19.0,10.0
2022071002,0.004,0.3,0.026000000000000002,0.006,24.0,10.0
2022071003,0.004,0.3,0.024,0.005,24.0,9.0
2022071004,0.004,0.3,0.02,0.005,21.0,8.0
2022071005,0.004,0.2,0.022000000000000002,0.006,18.0,8.0
2022071006,0.004,0.2,0.022000000000000002,0.006,26.0,14.0
2022071007,0.004,0.2,0.025,0.005,20.0,12.0
2022071008,0.003,0.2,0.031,0.004,17.0,8.0
2022071009,0.004,0.3,0.032,0.004,14.0,5.0
2022071010,0.006,0.3,0.035,0.005,22.0,11.0
2022071011,0.005,0.3,0.038,0.005,21.0,15.0
2022071012,0.004,0.3,0.037000000000000005,0.006,26.0,15.0
2022071013,0.004,0.3,0.040999999999999995,0.005,19.0,10.0
2022071014,0.004,0.3,0.038,0.005,21.0,9.0
2022071015,0.003,0.2,0.037000000000000005,0.004,18.0,7.0
2022071016,0.003,0.2,0.036000000000000004,0.005,14.0,5.0
2022071017,0.003,0.2,0.035,0.006,13.0,2.0
2022071018,0.003,0.2,0.033,0.006,19.0,2.0
2022071019,0.003,0.2,0.032,0.005,13.0,2.0
2022071020,0.003,0.2,0.035,0.005,17.0,3.0
2022071021,0.003,0.3,0.032,0.006,16.0,5.0
2022071022,0.003,0.2,0.032,0.005,16.0,5.0
2022071023,0.003,0.2,0.032,0.004,16.0,5.0
2022071024,0.003,0.2,0.032,0.003,17.0,5.0
2022071101,0.003,0.2,0.03,0.003,16.0,4.0
2022071102,0.003,0.2,0.022000000000000002,0.003,13.0,8.0
2022071103,0.003,0.2,0.02,0.003,12.0,6.0
2022071104,0.003,0.2,0.019,0.003,11.0,6.0
2022071105,0.003,0.2,0.018000000000000002,0.004,16.0,5.0
2022071106,0.003,0.2,0.016,0.006,17.0,4.0
2022071107,0.003,0.2,0.023,0.006,17.0,7.0
2022071108,0.003,0.2,0.03,0.004,15.0,5.0
2022071109,0.003,0.2,0.027999999999999997,0.006,12.0,3.0
2022071110,0.003,0.2,0.031,0.005,16.0,4.0
2022071111,0.003,0.2,0.027999999999999997,0.006,17.0,3.0
2022071112,0.003,0.2,0.031,0.006,14.0,5.0
2022071113,0.003,0.2,0.031,0.006,14.0,6.0
2022071114,0.003,0.3,0.028999999999999998,0.009000000000000001,19.0,8.0
2022071115,0.003,0.3,0.028999999999999998,0.008,17.0,7.0
2022071116,0.003,0.2,0.038,0.004,13.0,6.0
2022071117,0.003,0.2,0.04,0.005,18.0,6.0
2022071118,0.003,0.3,0.042,0.005,20.0,6.0
2022071119,0.003,0.3,0.034,0.008,21.0,10.0
2022071120,0.003,0.3,0.032,0.009000000000000001,16.0,10.0
2022071121,0.003,0.3,0.015,0.009000000000000001,28.0,12.0
2022071122,0.003,0.4,0.015,0.009000000000000001,23.0,14.0
2022071123,0.003,0.3,0.015,0.01,22.0,11.0
2022071124,0.003,0.3,0.017,0.008,27.0,10.0
2022071201,0.004,0.2,0.024,0.005,27.0,9.0
2022071202,0.004,0.2,0.019,0.006,22.0,9.0
2022071203,0.005,0.2,0.015,0.008,16.0,5.0
2022071204,0.008,0.3,0.015,0.008,19.0,4.0
2022071205,0.006,0.3,0.016,0.006999999999999999,22.0,6.0
2022071206,0.005,0.3,0.017,0.006999999999999999,22.0,7.0
2022071207,0.004,0.2,0.019,0.008,18.0,6.0
2022071208,0.004,0.2,0.019,0.006999999999999999,23.0,3.0
2022071209,0.004,0.2,0.021,0.008,15.0,3.0
2022071210,0.004,0.2,0.027000000000000003,0.006999999999999999,14.0,4.0
2022071211,0.004,0.2,0.034,0.006,16.0,2.0
2022071212,,,,,,
2022071213,,,,,,
2022071214,0.003,0.2,0.03,0.006,21.0,2.0
2022071215,0.003,0.2,0.027000000000000003,0.006999999999999999,17.0,2.0
2022071216,0.002,0.2,0.027999999999999997,0.006999999999999999,18.0,2.0
2022071217,0.002,0.2,0.027999999999999997,0.006999999999999999,17.0,3.0
2022071218,0.002,0.2,0.027999999999999997,0.006999999999999999,13.0,3.0
2022071219,0.002,0.2,0.027000000000000003,0.006999999999999999,18.0,2.0
2022071220,0.002,0.2,0.027000000000000003,,17.0,3.0
2022071221,0.002,0.2,0.026000000000000002,,18.0,7.0
2022071222,0.003,0.2,0.023,0.008,18.0,5.0
2022071223,0.004,0.2,0.023,0.009000000000000001,19.0,5.0
2022071224,0.005,0.2,0.021,0.009000000000000001,18.0,10.0
2022071301,0.004,0.2,0.026000000000000002,0.006999999999999999,14.0,6.0
2022071302,0.003,0.2,0.026000000000000002,0.005,16.0,2.0
2022071303,0.003,0.2,0.026000000000000002,0.004,13.0,2.0
2022071304,0.003,0.2,0.022000000000000002,0.005,12.0,3.0
2022071305,0.003,0.1,0.025,0.004,13.0,3.0
2022071306,0.003,0.2,0.025,0.005,12.0,2.0
2022071307,0.006999999999999999,0.3,0.021,0.01,13.0,2.0
2022071308,0.006,0.3,0.021,0.01,25.0,6.0
2022071309,0.004,0.2,0.024,0.006999999999999999,19.0,6.0
2022071310,0.003,0.2,0.024,0.006999999999999999,20.0,5.0
