dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,0.027000000000000003,0.004,8.0,5.0
2022063015,,,0.028999999999999998,0.004,8.0,8.0
2022063016,,,0.027000000000000003,0.005,9.0,5.0
2022063017,,,0.025,0.004,6.0,5.0
2022063018,,,0.026000000000000002,0.006,10.0,5.0
2022063019,,,0.021,0.006999999999999999,13.0,4.0
2022063020,,,0.016,0.005,7.0,6.0
2022063021,,,0.013999999999999999,0.003,6.0,
2022063022,,,0.013000000000000001,0.003,6.0,6.0
2022063023,,,0.012,0.004,7.0,4.0
2022063024,,,0.012,0.004,5.0,
2022070101,,,0.01,0.005,3.0,
2022070102,,,0.012,0.003,3.0,2.0
2022070103,,,0.006,0.006,6.0,3.0
2022070104,,,0.005,0.005,6.0,3.0
2022070105,,,0.005,0.004,17.0,4.0
2022070106,,,0.004,0.008,7.0,3.0
2022070107,,,0.005,0.009000000000000001,8.0,3.0
2022070108,,,0.009000000000000001,0.006,14.0,7.0
2022070109,,,0.011000000000000001,0.006999999999999999,9.0,5.0
2022070110,,,0.016,0.006999999999999999,7.0,3.0
2022070111,,,0.021,0.005,6.0,6.0
2022070112,,,0.031,0.008,12.0,5.0
2022070113,,,0.033,0.006999999999999999,10.0,9.0
2022070114,,,0.026000000000000002,0.004,14.0,10.0
2022070115,,,0.031,0.004,16.0,
2022070116,,,0.040999999999999995,0.006,24.0,17.0
2022070117,,,0.043,0.008,27.0,17.0
2022070118,,,0.036000000000000004,0.008,27.0,17.0
2022070119,,,0.027000000000000003,0.01,25.0,23.0
2022070120,,,0.021,0.008,26.0,25.0
2022070121,,,0.008,0.019,33.0,26.0
2022070122,,,0.012,0.012,28.0,21.0
2022070123,,,0.012,0.009000000000000001,29.0,19.0
2022070124,,,0.006999999999999999,0.013000000000000001,20.0,15.0
2022070201,,,0.003,0.015,25.0,20.0
2022070202,,,0.004,0.012,29.0,23.0
2022070203,,,0.003,0.012,27.0,20.0
2022070204,,,0.002,0.011000000000000001,28.0,16.0
2022070205,,,0.003,0.011000000000000001,26.0,22.0
2022070206,,,0.003,0.012,28.0,20.0
2022070207,,,0.004,0.013000000000000001,28.0,21.0
2022070208,,,0.006999999999999999,0.017,28.0,19.0
2022070209,,,0.024,0.011000000000000001,27.0,18.0
2022070210,,,0.04,0.005,21.0,21.0
2022070211,,,0.055999999999999994,0.006,27.0,18.0
2022070212,,,0.07,0.006999999999999999,27.0,21.0
2022070213,,,0.051,0.005,28.0,25.0
2022070214,,,0.042,0.004,19.0,18.0
2022070215,,,0.039,0.004,19.0,13.0
2022070216,,,0.039,0.004,15.0,
2022070217,,,0.04,0.006,16.0,11.0
2022070218,,,0.036000000000000004,0.009000000000000001,17.0,10.0
2022070219,,,0.027000000000000003,0.008,15.0,12.0
2022070220,,,0.02,0.008,23.0,14.0
2022070221,,,0.018000000000000002,0.008,27.0,16.0
2022070222,,,0.013999999999999999,0.011000000000000001,17.0,12.0
2022070223,,,0.015,0.006999999999999999,15.0,12.0
2022070224,,,0.01,0.01,14.0,11.0
2022070301,,,0.005,0.013000000000000001,16.0,10.0
2022070302,,,0.008,0.011000000000000001,13.0,10.0
2022070303,,,0.006,0.011000000000000001,16.0,13.0
2022070304,,,0.006,0.012,10.0,10.0
2022070305,,,0.009000000000000001,0.01,15.0,11.0
2022070306,,,0.01,0.008,15.0,11.0
2022070307,,,0.006999999999999999,0.011000000000000001,10.0,7.0
2022070308,,,0.013999999999999999,0.008,14.0,13.0
2022070309,,,0.019,0.004,9.0,7.0
2022070310,,,0.023,0.004,6.0,4.0
2022070311,,,0.032,0.004,5.0,4.0
2022070312,,,0.035,0.003,6.0,6.0
2022070313,,,0.042,0.004,5.0,5.0
2022070314,,,0.048,0.005,6.0,5.0
2022070315,,,0.048,0.006999999999999999,8.0,7.0
2022070316,,,0.053,0.009000000000000001,9.0,9.0
2022070317,,,0.046,0.006,16.0,11.0
2022070318,,,0.047,0.006,19.0,12.0
2022070319,,,0.044000000000000004,0.006,16.0,11.0
2022070320,,,0.036000000000000004,0.006,11.0,9.0
2022070321,,,0.025,0.012,13.0,10.0
2022070322,,,0.02,0.02,9.0,
2022070323,,,0.016,0.025,17.0,10.0
2022070324,,,0.011000000000000001,0.025,18.0,12.0
2022070401,,,0.006,0.024,19.0,15.0
2022070402,,,0.006,0.02,13.0,
2022070403,,,0.006999999999999999,0.015,14.0,12.0
2022070404,,,0.006,0.013000000000000001,18.0,10.0
2022070405,,,0.004,0.013999999999999999,13.0,11.0
2022070406,,,0.003,0.015,11.0,9.0
2022070407,,,0.004,0.016,11.0,9.0
2022070408,,,0.01,0.013999999999999999,16.0,9.0
2022070409,,,0.015,0.01,10.0,8.0
2022070410,,,0.019,0.006,6.0,5.0
2022070411,,,0.022000000000000002,0.006999999999999999,4.0,
2022070412,,,0.027999999999999997,0.005,6.0,5.0
2022070413,,,0.031,0.004,6.0,5.0
2022070414,,,0.032,0.004,9.0,5.0
2022070415,,,0.032,0.003,11.0,7.0
2022070416,,,0.031,0.003,11.0,7.0
2022070417,,,,,7.0,5.0
2022070418,,,,,8.0,8.0
2022070419,,,0.026000000000000002,0.006999999999999999,9.0,5.0
2022070420,,,0.027000000000000003,0.006999999999999999,12.0,6.0
2022070421,,,0.033,0.006999999999999999,7.0,6.0
2022070422,,,0.028999999999999998,0.006999999999999999,11.0,10.0
2022070423,,,0.025,0.008,13.0,7.0
2022070424,,,0.021,0.008,16.0,10.0
2022070501,,,0.022000000000000002,0.005,12.0,10.0
2022070502,,,0.016,0.006999999999999999,11.0,7.0
2022070503,,,0.013000000000000001,0.006999999999999999,12.0,8.0
2022070504,,,0.012,0.006999999999999999,9.0,
2022070505,,,0.008,0.012,9.0,6.0
2022070506,,,0.009000000000000001,0.013000000000000001,8.0,7.0
2022070507,,,0.006999999999999999,0.016,8.0,8.0
2022070508,,,0.008,0.019,12.0,
2022070509,,,0.018000000000000002,0.021,12.0,10.0
2022070510,,,0.043,0.02,21.0,15.0
2022070511,,,0.065,0.016,26.0,20.0
2022070512,,,0.075,0.013000000000000001,26.0,26.0
2022070513,,,0.055999999999999994,0.009000000000000001,27.0,24.0
2022070514,,,0.057,0.006999999999999999,17.0,15.0
2022070515,,,0.040999999999999995,0.008,15.0,
2022070516,,,0.03,0.006,11.0,10.0
2022070517,,,0.025,0.01,8.0,6.0
2022070518,,,0.026000000000000002,0.006999999999999999,4.0,
2022070519,,,0.024,0.008,4.0,4.0
2022070520,,,0.023,0.009000000000000001,5.0,4.0
2022070521,,,0.024,0.006999999999999999,6.0,
2022070522,,,0.015,0.008,4.0,
