dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063012,0.002,0.3,0.013000000000000001,0.013000000000000001,18.0,8.0
2022063013,0.002,0.3,0.013999999999999999,0.013999999999999999,15.0,8.0
2022063014,0.002,0.3,0.013000000000000001,0.017,16.0,7.0
2022063015,0.002,0.2,0.011000000000000001,0.022000000000000002,19.0,5.0
2022063016,0.002,0.2,0.013999999999999999,0.021,20.0,5.0
2022063017,0.002,0.3,0.013000000000000001,0.02,23.0,10.0
2022063018,0.002,0.3,0.01,0.02,24.0,6.0
2022063019,0.002,0.3,0.008,0.019,23.0,7.0
2022063020,0.002,0.3,0.004,0.023,19.0,9.0
2022063021,0.002,0.3,0.003,0.023,22.0,5.0
2022063022,0.003,0.4,0.004,0.023,17.0,6.0
2022063023,0.002,0.2,0.012,0.005,34.0,8.0
2022063024,0.002,0.2,0.012,0.005,3.0,
2022070101,0.002,0.2,0.012,0.003,3.0,2.0
2022070102,0.002,0.2,0.01,0.006,6.0,2.0
2022070103,0.003,0.3,0.004,0.013000000000000001,11.0,2.0
2022070104,0.003,0.3,0.002,0.018000000000000002,11.0,6.0
2022070105,0.004,0.3,0.003,0.022000000000000002,8.0,6.0
2022070106,0.004,0.3,0.002,0.027000000000000003,19.0,5.0
2022070107,0.004,0.4,0.003,0.025,27.0,13.0
2022070108,0.004,0.3,0.004,0.026000000000000002,28.0,9.0
2022070109,0.003,0.3,0.006,0.019,27.0,10.0
2022070110,0.003,0.3,0.009000000000000001,0.021,17.0,
2022070111,0.003,0.3,0.015,0.021,22.0,11.0
2022070112,0.003,0.3,0.018000000000000002,0.016,22.0,18.0
2022070113,0.003,0.3,0.018000000000000002,0.015,16.0,10.0
2022070114,0.003,0.3,0.016,0.017,14.0,6.0
2022070115,0.003,0.3,0.021,0.021,20.0,4.0
2022070116,0.005,0.3,0.016,0.018000000000000002,26.0,19.0
2022070117,0.006,0.3,0.012,0.025,20.0,18.0
2022070118,0.005,0.3,0.006999999999999999,0.02,37.0,22.0
2022070119,0.004,0.3,0.005,0.021,33.0,13.0
2022070120,0.004,0.3,0.006,0.023,30.0,14.0
2022070121,0.004,0.4,0.004,0.024,28.0,19.0
2022070122,0.003,0.3,0.005,0.019,32.0,15.0
2022070123,0.004,0.3,0.006999999999999999,0.017,27.0,18.0
2022070124,0.004,0.3,0.006,0.016,35.0,17.0
2022070201,0.003,0.3,0.006,0.015,32.0,20.0
2022070202,0.004,0.3,0.005,0.018000000000000002,27.0,18.0
2022070203,0.004,0.3,0.003,0.025,32.0,21.0
2022070204,0.004,0.2,0.006999999999999999,0.013000000000000001,35.0,
2022070205,0.004,0.2,0.01,0.01,27.0,17.0
2022070206,0.004,0.4,0.005,0.019,25.0,20.0
2022070207,0.004,0.4,0.003,0.032,35.0,16.0
2022070208,0.004,0.3,0.006999999999999999,0.026000000000000002,51.0,24.0
2022070209,0.006,0.3,0.006999999999999999,0.038,40.0,21.0
2022070210,0.005,0.3,0.017,0.032,51.0,28.0
2022070211,0.005,0.3,0.026000000000000002,0.027999999999999997,49.0,24.0
2022070212,0.004,0.3,0.023,0.033,40.0,22.0
2022070213,0.004,0.3,0.011000000000000001,0.03,36.0,13.0
2022070214,0.004,0.3,0.015,0.027000000000000003,25.0,8.0
2022070215,0.004,0.3,0.013000000000000001,0.028999999999999998,25.0,6.0
2022070216,0.004,0.3,0.015,0.031,27.0,13.0
2022070217,0.004,0.3,0.01,0.033,30.0,11.0
2022070218,0.004,0.3,0.006,0.037000000000000005,28.0,17.0
2022070219,0.003,0.3,0.005,0.03,23.0,15.0
2022070220,0.004,0.3,0.003,0.03,21.0,8.0
2022070221,0.004,0.3,0.002,0.03,20.0,5.0
2022070222,0.004,0.3,0.002,0.026000000000000002,20.0,8.0
2022070223,0.004,0.3,0.002,0.025,28.0,21.0
2022070224,0.004,0.3,0.002,0.025,27.0,19.0
2022070301,0.003,0.3,0.003,0.018000000000000002,19.0,9.0
2022070302,0.003,0.2,0.013000000000000001,0.009000000000000001,17.0,7.0
2022070303,0.003,0.2,0.018000000000000002,0.006,13.0,8.0
2022070304,0.003,0.3,0.012,0.008,18.0,6.0
2022070305,0.003,0.3,0.011000000000000001,0.009000000000000001,10.0,5.0
2022070306,0.003,0.3,0.01,0.009000000000000001,12.0,8.0
2022070307,0.003,0.3,0.01,0.015,11.0,5.0
2022070308,0.003,0.3,0.013000000000000001,0.011000000000000001,12.0,4.0
2022070309,0.003,0.3,0.013999999999999999,0.01,13.0,7.0
2022070310,0.003,0.2,0.015,0.012,11.0,4.0
2022070311,0.004,0.3,0.009000000000000001,0.021,,5.0
2022070312,0.004,0.3,0.009000000000000001,0.023,21.0,6.0
2022070313,0.004,0.3,0.01,0.027000000000000003,15.0,8.0
2022070314,0.004,0.3,0.013999999999999999,0.028999999999999998,18.0,7.0
2022070315,0.004,0.3,0.015,0.035,18.0,12.0
2022070316,0.004,0.3,0.018000000000000002,0.033,19.0,17.0
2022070317,0.004,0.3,0.021,0.03,21.0,10.0
2022070318,0.003,0.3,0.042,0.012,19.0,11.0
2022070319,0.003,0.3,0.03,0.017,19.0,8.0
2022070320,0.003,0.3,0.024,0.025,19.0,5.0
2022070321,0.003,0.3,0.02,0.031,19.0,8.0
2022070322,0.003,0.3,0.016,0.027999999999999997,25.0,17.0
2022070323,0.004,0.3,0.004,0.039,16.0,12.0
2022070324,0.004,0.3,0.003,0.034,22.0,19.0
2022070401,0.004,0.3,0.006,0.025,20.0,17.0
2022070402,0.004,0.2,0.012,0.018000000000000002,19.0,8.0
2022070403,0.005,0.3,0.002,0.035,20.0,11.0
2022070404,0.005,0.3,0.002,0.036000000000000004,27.0,15.0
2022070405,0.005,0.3,0.002,0.040999999999999995,27.0,19.0
2022070406,0.004,0.2,0.004,0.025,23.0,
2022070407,0.004,0.3,0.004,0.03,13.0,12.0
2022070408,0.005,0.3,0.004,0.031,20.0,10.0
2022070409,0.006999999999999999,0.3,0.006,0.035,26.0,20.0
2022070410,0.005,0.3,0.008,0.026000000000000002,27.0,12.0
2022070411,0.005,0.3,0.006,0.024,23.0,10.0
2022070412,0.005,0.3,0.009000000000000001,0.018000000000000002,29.0,13.0
2022070413,0.004,0.3,0.013000000000000001,0.016,23.0,11.0
2022070414,0.004,0.3,0.013000000000000001,0.019,14.0,8.0
2022070415,,,,,21.0,16.0
2022070416,,,,,27.0,6.0
2022070417,0.004,0.3,0.015,0.032,28.0,13.0
2022070418,0.004,0.3,0.015,0.031,30.0,7.0
2022070419,0.004,0.3,0.013000000000000001,0.034,30.0,15.0
2022070420,0.004,0.3,0.024,0.023,21.0,7.0
2022070421,0.003,0.3,0.019,0.023,26.0,9.0
2022070422,0.003,0.3,0.019,0.019,21.0,11.0
2022070423,0.003,0.3,0.013999999999999999,0.023,16.0,11.0
2022070424,0.003,0.3,0.013999999999999999,0.016,19.0,8.0
2022070501,0.003,0.3,0.009000000000000001,0.016,16.0,9.0
2022070502,0.003,0.2,0.01,0.012,11.0,7.0
2022070503,0.003,0.2,0.013999999999999999,0.009000000000000001,15.0,6.0
2022070504,0.003,0.2,0.02,0.005,8.0,5.0
2022070505,0.003,0.2,0.017,0.006999999999999999,17.0,4.0
2022070506,0.003,0.3,0.011000000000000001,0.013999999999999999,6.0,3.0
2022070507,0.004,0.3,0.004,0.027999999999999997,10.0,4.0
2022070508,0.005,0.3,0.009000000000000001,0.022000000000000002,24.0,14.0
2022070509,0.008,0.4,0.005,0.040999999999999995,16.0,8.0
2022070510,0.006999999999999999,0.4,0.016,0.032,39.0,24.0
2022070511,0.005,0.3,0.013000000000000001,0.027999999999999997,35.0,8.0
