dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,,,,,5.0,
2022063015,,,,,5.0,
2022063016,0.002,0.1,0.023,0.006999999999999999,67.0,
2022063017,0.002,0.1,0.019,0.006999999999999999,2.0,
2022063018,0.002,0.1,0.02,0.005,2.0,
2022063019,0.002,0.1,0.015,0.009000000000000001,5.0,2.0
2022063020,0.002,0.1,0.013000000000000001,0.01,7.0,2.0
2022063021,0.002,0.1,0.008,0.017,5.0,2.0
2022063022,0.002,0.1,0.004,0.019,4.0,2.0
2022063023,0.002,0.1,0.002,0.02,3.0,3.0
2022063024,0.002,0.1,0.002,0.019,7.0,3.0
2022070101,0.002,0.1,0.002,0.017,9.0,2.0
2022070102,0.002,0.1,0.002,0.016,5.0,2.0
2022070103,0.002,0.1,0.003,0.013999999999999999,3.0,2.0
2022070104,0.002,0.1,0.003,0.013000000000000001,2.0,2.0
2022070105,0.002,0.2,0.002,0.013999999999999999,2.0,2.0
2022070106,0.002,0.1,0.002,0.015,3.0,2.0
2022070107,0.002,0.1,0.004,0.012,2.0,
2022070108,0.002,0.1,0.003,0.012,2.0,
2022070109,0.003,0.1,0.004,0.012,2.0,
2022070110,0.003,0.1,0.005,0.01,4.0,3.0
2022070111,0.003,0.1,0.006,0.01,4.0,2.0
2022070112,0.003,0.1,0.006,0.012,5.0,2.0
2022070113,0.003,0.1,0.009000000000000001,0.013000000000000001,8.0,2.0
2022070114,0.003,0.2,0.011000000000000001,0.018000000000000002,8.0,4.0
2022070115,0.003,0.2,0.008,0.019,8.0,4.0
2022070116,0.003,0.2,0.009000000000000001,0.021,10.0,3.0
2022070117,0.003,0.2,0.006,0.017,15.0,7.0
2022070118,0.004,0.2,0.006999999999999999,0.018000000000000002,13.0,8.0
2022070119,0.004,0.1,0.006,0.012,25.0,17.0
2022070120,0.003,0.1,0.003,0.012,19.0,9.0
2022070121,0.003,0.1,0.002,0.015,15.0,7.0
2022070122,0.004,0.2,0.002,0.021,11.0,4.0
2022070123,0.004,0.2,0.003,0.021,17.0,5.0
2022070124,0.004,0.2,0.005,0.02,22.0,6.0
2022070201,0.004,0.2,0.011000000000000001,0.018000000000000002,24.0,10.0
2022070202,0.003,0.2,0.01,0.018000000000000002,22.0,7.0
2022070203,0.004,0.2,0.002,0.027000000000000003,16.0,12.0
2022070204,0.004,0.3,0.002,0.025,23.0,10.0
2022070205,0.004,0.3,0.002,0.023,32.0,13.0
2022070206,0.004,0.3,0.002,0.021,47.0,15.0
2022070207,0.004,0.3,0.003,0.021,34.0,15.0
2022070208,0.004,0.2,0.01,0.019,38.0,12.0
2022070209,0.005,0.2,0.034,0.011000000000000001,30.0,15.0
2022070210,0.006999999999999999,0.2,0.057999999999999996,0.017,38.0,21.0
2022070211,0.006,0.3,0.102,0.015,39.0,20.0
2022070212,0.004,0.2,0.062,0.016,38.0,22.0
2022070213,0.003,0.2,0.042,0.012,24.0,15.0
2022070214,0.003,0.2,0.019,0.009000000000000001,13.0,8.0
2022070215,0.003,0.2,0.027999999999999997,0.01,17.0,4.0
2022070216,0.003,0.2,0.03,0.008,10.0,3.0
2022070217,0.003,0.2,0.026000000000000002,0.008,14.0,4.0
2022070218,0.003,0.2,0.017,0.011000000000000001,15.0,4.0
2022070219,0.003,0.2,0.013000000000000001,0.012,8.0,5.0
2022070220,0.003,0.1,0.004,0.015,7.0,4.0
2022070221,0.003,0.1,0.002,0.019,4.0,2.0
2022070222,0.003,0.2,0.003,0.022000000000000002,12.0,2.0
2022070223,0.003,0.1,0.013000000000000001,0.012,9.0,3.0
2022070224,0.003,0.1,0.022000000000000002,0.006999999999999999,7.0,2.0
2022070301,0.003,0.2,0.022000000000000002,0.009000000000000001,8.0,2.0
2022070302,0.003,0.2,0.004,0.026000000000000002,8.0,2.0
2022070303,0.003,0.2,0.003,0.026000000000000002,12.0,2.0
2022070304,0.003,0.2,0.002,0.026000000000000002,15.0,5.0
2022070305,0.003,0.2,0.004,0.021,22.0,4.0
2022070306,0.003,0.2,0.012,0.011000000000000001,8.0,3.0
2022070307,0.003,0.2,0.013999999999999999,0.009000000000000001,8.0,2.0
2022070308,0.003,0.2,0.013999999999999999,0.009000000000000001,5.0,2.0
2022070309,0.003,0.2,0.016,0.009000000000000001,5.0,2.0
2022070310,0.004,0.2,0.013999999999999999,0.017,5.0,2.0
2022070311,0.003,0.2,0.018000000000000002,0.009000000000000001,7.0,5.0
2022070312,0.003,0.2,0.021,0.008,5.0,4.0
2022070313,0.003,0.2,0.03,0.006999999999999999,6.0,4.0
2022070314,0.003,0.2,0.037000000000000005,0.005,8.0,4.0
2022070315,0.003,0.2,0.039,0.005,10.0,2.0
2022070316,0.003,0.2,0.035,0.009000000000000001,7.0,2.0
2022070317,0.003,0.2,0.028999999999999998,0.013999999999999999,10.0,2.0
2022070318,0.003,0.2,0.027999999999999997,0.018000000000000002,15.0,4.0
2022070319,0.003,0.2,0.033,0.017,15.0,5.0
2022070320,0.003,0.2,0.031,0.02,14.0,8.0
2022070321,0.003,0.2,0.023,0.023,18.0,6.0
2022070322,0.003,0.2,0.021,0.023,17.0,3.0
2022070323,0.003,0.2,0.018000000000000002,0.016,14.0,5.0
2022070324,0.003,0.2,0.011000000000000001,0.021,13.0,7.0
2022070401,0.003,0.2,0.012,0.019,12.0,7.0
2022070402,0.003,0.2,0.009000000000000001,0.024,15.0,6.0
2022070403,0.003,0.2,0.023,0.006999999999999999,14.0,8.0
2022070404,0.003,0.2,0.019,0.01,10.0,5.0
2022070405,0.003,0.2,0.006999999999999999,0.021,12.0,4.0
2022070406,0.003,0.2,0.013999999999999999,0.015,15.0,5.0
2022070407,0.003,0.2,0.013000000000000001,0.01,12.0,6.0
2022070408,0.003,0.2,0.016,0.003,9.0,2.0
2022070409,0.003,0.2,0.013000000000000001,0.008,5.0,2.0
2022070410,0.003,0.2,0.019,0.006,12.0,5.0
2022070411,0.003,0.2,0.012,0.006,8.0,7.0
2022070412,0.003,0.2,0.017,0.005,13.0,6.0
2022070413,0.003,0.2,0.021,0.005,13.0,3.0
2022070414,0.003,0.2,0.021,0.006,10.0,3.0
2022070415,0.003,0.2,0.022000000000000002,0.008,17.0,2.0
2022070416,0.003,0.2,0.031,0.008,16.0,4.0
2022070417,0.003,0.2,0.034,0.006,13.0,4.0
2022070418,0.003,0.2,0.037000000000000005,0.004,15.0,2.0
2022070419,0.003,0.2,0.035,0.006999999999999999,12.0,2.0
2022070420,0.003,0.2,0.031,0.011000000000000001,15.0,3.0
2022070421,0.003,0.2,0.034,0.006,13.0,2.0
2022070422,0.003,0.2,0.027999999999999997,0.009000000000000001,17.0,3.0
2022070423,0.003,0.2,0.027000000000000003,0.008,17.0,3.0
2022070424,0.003,0.2,0.023,0.009000000000000001,12.0,2.0
2022070501,0.003,0.2,0.019,0.008,13.0,3.0
2022070502,0.003,0.2,0.017,0.006,10.0,2.0
2022070503,0.003,0.2,0.015,0.005,13.0,2.0
2022070504,0.003,0.2,0.013000000000000001,0.006,9.0,2.0
2022070505,0.003,0.2,0.012,0.008,9.0,2.0
2022070506,0.003,0.2,0.017,0.005,9.0,2.0
2022070507,0.003,0.2,0.017,0.006999999999999999,8.0,2.0
2022070508,0.004,0.2,0.018000000000000002,0.01,12.0,3.0
2022070509,0.003,0.2,0.017,0.011000000000000001,18.0,5.0
2022070510,0.003,0.2,0.025,0.006999999999999999,12.0,3.0
2022070511,0.003,0.2,0.025,0.006999999999999999,8.0,2.0
2022070512,0.003,0.2,0.025,0.006999999999999999,4.0,2.0
2022070513,0.003,0.2,0.025,0.006999999999999999,4.0,2.0
2022070514,,,,,4.0,2.0
2022070515,0.003,0.2,0.03,0.005,2.0,2.0
2022070516,0.003,0.2,0.025,0.012,4.0,2.0
2022070517,0.003,0.2,0.03,0.01,5.0,
2022070518,0.003,0.2,0.026000000000000002,0.013999999999999999,8.0,
2022070519,0.003,0.2,0.02,0.015,5.0,
2022070520,0.003,0.2,0.015,0.019,7.0,
2022070521,0.003,0.2,0.02,0.016,8.0,
2022070522,0.003,0.2,0.026000000000000002,0.006999999999999999,5.0,
2022070523,0.003,0.2,0.021,0.01,10.0,
2022070524,0.003,0.2,0.025,0.005,7.0,
2022070601,0.002,0.1,0.027999999999999997,0.003,2.0,
2022070602,0.003,0.2,0.015,0.012,5.0,
2022070603,0.003,0.2,0.019,0.006999999999999999,7.0,
2022070604,0.003,0.2,0.019,0.005,7.0,
2022070605,0.003,0.2,0.012,0.01,5.0,
2022070606,0.003,0.2,0.013999999999999999,0.009000000000000001,5.0,
2022070607,0.003,0.2,0.01,0.013000000000000001,10.0,
2022070608,0.003,0.2,0.013999999999999999,0.012,10.0,
2022070609,0.003,0.2,0.013000000000000001,0.013999999999999999,5.0,
2022070610,0.003,0.2,0.027999999999999997,0.01,7.0,
2022070611,0.003,0.2,0.036000000000000004,0.012,7.0,6.0
2022070612,0.003,0.2,0.034,0.006999999999999999,12.0,7.0
2022070613,0.003,0.2,0.027000000000000003,0.006999999999999999,15.0,6.0
2022070614,0.003,0.2,0.03,0.006999999999999999,8.0,3.0
2022070615,0.003,0.2,0.038,0.003,9.0,2.0
2022070616,0.002,0.2,0.036000000000000004,0.004,10.0,2.0
2022070617,0.002,0.2,0.031,0.004,8.0,2.0
2022070618,0.002,0.2,0.032,0.005,9.0,5.0
2022070619,0.002,0.2,0.025,0.004,12.0,5.0
2022070620,0.002,0.2,0.019,0.008,13.0,2.0
2022070621,0.002,0.2,0.019,0.009000000000000001,8.0,2.0
2022070622,0.003,0.2,0.011000000000000001,0.015,14.0,2.0
2022070623,0.002,0.2,0.009000000000000001,0.017,17.0,2.0
2022070624,0.002,0.2,0.011000000000000001,0.011000000000000001,17.0,2.0
2022070701,0.002,0.2,0.008,0.011000000000000001,10.0,2.0
2022070702,0.002,0.2,0.009000000000000001,0.013000000000000001,17.0,
2022070703,0.003,0.2,0.004,0.019,10.0,
2022070704,0.003,0.2,0.004,0.018000000000000002,5.0,
2022070705,0.002,0.2,0.005,0.013999999999999999,2.0,
2022070706,0.002,0.2,0.006999999999999999,0.013000000000000001,7.0,
2022070707,0.002,0.2,0.008,0.011000000000000001,5.0,
2022070708,0.002,0.2,0.006999999999999999,0.013000000000000001,8.0,
2022070709,0.002,0.2,0.01,0.01,12.0,
2022070710,0.002,0.2,0.013000000000000001,0.009000000000000001,7.0,
