dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022063014,0.002,0.2,0.018000000000000002,0.006,23.0,10.0
2022063015,0.002,0.2,0.019,0.006999999999999999,33.0,14.0
2022063016,0.001,0.2,0.02,0.006999999999999999,30.0,11.0
2022063017,0.001,0.2,0.018000000000000002,0.006999999999999999,30.0,15.0
2022063018,0.001,0.2,0.015,0.006999999999999999,29.0,15.0
2022063019,0.001,0.2,0.013999999999999999,0.008,19.0,10.0
2022063020,0.001,0.2,0.011000000000000001,0.01,19.0,9.0
2022063021,0.001,0.2,0.004,0.016,20.0,7.0
2022063022,0.001,0.2,0.004,0.015,28.0,14.0
2022063023,0.001,0.2,0.006999999999999999,0.011000000000000001,20.0,9.0
2022063024,0.001,0.2,0.006999999999999999,0.01,11.0,6.0
2022070101,0.001,0.2,0.004,0.013000000000000001,17.0,6.0
2022070102,0.001,0.2,0.005,0.011000000000000001,10.0,7.0
2022070103,0.001,0.2,0.006,0.009000000000000001,14.0,5.0
2022070104,0.001,0.2,0.006,0.01,21.0,5.0
2022070105,0.001,0.2,0.004,0.012,18.0,8.0
2022070106,0.001,0.2,0.003,0.011000000000000001,18.0,10.0
2022070107,0.001,0.3,0.003,0.01,34.0,9.0
2022070108,0.002,0.2,0.005,0.011000000000000001,42.0,18.0
2022070109,0.002,0.2,0.008,0.01,34.0,21.0
2022070110,0.002,0.2,0.012,0.011000000000000001,35.0,12.0
2022070111,0.002,0.2,0.013000000000000001,0.013999999999999999,33.0,12.0
2022070112,0.003,0.2,0.018000000000000002,0.009000000000000001,38.0,18.0
2022070113,0.002,0.2,0.019,0.006999999999999999,27.0,12.0
2022070114,0.003,0.2,0.026000000000000002,0.008,19.0,10.0
2022070115,0.004,0.2,0.036000000000000004,0.009000000000000001,27.0,13.0
2022070116,0.005,0.2,0.036000000000000004,0.012,38.0,20.0
2022070117,0.003,0.2,0.032,0.011000000000000001,39.0,24.0
2022070118,0.004,0.2,0.023,0.012,40.0,27.0
2022070119,0.003,0.2,0.017,0.011000000000000001,34.0,27.0
2022070120,0.002,0.2,0.013999999999999999,0.013000000000000001,32.0,24.0
2022070121,0.002,0.2,0.013999999999999999,0.012,26.0,19.0
2022070122,0.001,0.2,0.011000000000000001,0.008,31.0,23.0
2022070123,0.001,0.2,0.009000000000000001,0.009000000000000001,29.0,26.0
2022070124,0.002,0.2,0.009000000000000001,0.008,26.0,20.0
2022070201,0.002,0.2,0.008,0.009000000000000001,30.0,15.0
2022070202,0.002,0.2,0.006999999999999999,0.01,35.0,17.0
2022070203,0.002,0.2,0.006999999999999999,0.011000000000000001,26.0,23.0
2022070204,0.001,0.2,0.006,0.012,30.0,20.0
2022070205,0.001,0.2,0.004,0.013999999999999999,32.0,22.0
2022070206,0.001,0.2,0.003,0.013999999999999999,31.0,20.0
2022070207,0.002,0.3,0.003,0.013000000000000001,37.0,24.0
2022070208,0.002,0.3,0.006,0.016,52.0,26.0
2022070209,0.002,0.2,0.013999999999999999,0.018000000000000002,38.0,23.0
2022070210,0.002,0.2,0.024,0.013999999999999999,40.0,29.0
2022070211,0.002,0.2,0.034,0.006,40.0,25.0
2022070212,0.002,0.2,0.035,0.01,26.0,17.0
2022070213,0.002,0.2,0.034,0.011000000000000001,27.0,19.0
2022070214,0.002,0.2,0.032,0.009000000000000001,21.0,16.0
2022070215,0.002,0.2,0.032,0.009000000000000001,21.0,13.0
2022070216,0.002,0.2,0.033,0.008,29.0,18.0
2022070217,0.001,0.2,0.026000000000000002,0.006999999999999999,22.0,17.0
2022070218,0.001,0.2,0.021,0.01,21.0,15.0
2022070219,0.001,0.2,0.023,0.009000000000000001,20.0,6.0
