dataTime,busanUlsanHighway,Hwangnyeong,Gaegeum,Suyeong,Guseo,Gamjeon,Oryun,Namsan,Nakdong,Munhyeon,Uam,Hoedong,Buwon,Jinyang,Mangmi,Hakjang,Jurye,Bukbugeumsok,Gadeok,Songjeong,Jangan,Daejeo,Myeongnye,Geumsa,Beomnaegol,Wolgwang,Myeongji,Daedong
2022071112,636,11059,4044,4221,4170,1424,4555,4704,999,4031,1478,5120,0,756,590,586,888,446,0,1144,741,289,272,1420,630,692,627,642
2022071113,582,13646,4616,4646,4779,1501,4328,4724,1063,4120,1688,5322,0,859,654,733,1004,443,0,1178,801,263,321,1472,622,711,551,654
2022071114,608,14452,3843,4472,5349,1699,4840,5234,1207,4400,1578,5114,0,847,662,778,1114,424,0,1352,792,268,337,1472,654,711,600,639
2022071115,581,14752,4283,4749,4494,1638,5038,5448,1106,4445,1980,5258,0,853,666,849,1132,454,0,1396,816,304,312,1548,645,692,616,632
2022071116,507,14724,3955,4901,6348,1553,5890,6188,1036,4525,2015,5584,0,719,629,684,1120,477,0,1256,932,434,331,1328,577,787,590,727
2022071117,480,14925,3078,5096,8403,1732,4860,6542,1013,4519,2273,5354,0,754,704,706,1208,530,0,1310,1351,662,472,1288,497,1141,646,612
2022071118,486,14984,4124,5200,8532,920,171,6200,1069,4510,2089,5192,0,803,695,754,593,564,0,236,1092,585,486,1252,516,1007,132,85
2022071119,253,12217,3215,3905,4860,612,0,4700,1051,3280,1067,3630,0,842,650,671,495,434,0,88,783,234,276,1064,425,525,57,20
2022071120,188,11103,3593,3380,3546,636,0,3518,1105,2999,726,3194,0,948,552,634,684,301,0,980,559,143,129,932,505,405,628,214
2022071121,154,10857,2972,3309,2715,557,0,2822,825,2635,672,2802,0,785,555,509,420,282,0,794,316,85,71,716,423,326,591,139
2022071122,116,8727,1256,2525,2187,477,0,2084,601,1933,488,2252,0,617,378,414,340,229,0,800,146,53,24,676,367,180,533,103
2022071123,61,5458,534,1666,1350,362,0,1422,340,1257,281,1290,0,420,275,287,251,140,0,340,107,32,18,460,233,104,204,46
2022071200,37,3063,411,868,555,207,0,666,249,777,221,858,0,310,182,175,200,118,0,148,56,18,22,408,162,68,146,26
2022071201,21,2672,328,712,474,205,0,610,165,537,187,568,0,203,114,159,128,88,0,134,24,15,10,332,150,47,89,31
2022071202,18,2137,292,544,327,186,0,396,176,405,199,408,0,161,68,134,89,64,0,96,28,16,11,316,110,42,55,31
2022071203,20,1677,537,572,330,326,0,346,169,452,203,368,0,141,69,109,61,82,0,132,29,11,5,572,95,40,42,36
2022071204,50,2374,1043,978,531,673,0,870,195,813,322,608,0,226,87,177,110,128,0,198,80,35,34,536,106,73,52,135
2022071205,300,5962,2764,2435,1329,1424,0,2272,432,2115,566,1316,0,445,157,340,180,298,0,340,317,122,226,996,269,205,150,379
2022071206,833,10988,3780,4788,2658,1822,0,4992,971,4343,933,3376,0,735,307,437,161,509,0,896,762,293,446,1484,710,541,301,952
2022071207,1662,13171,4217,5655,4425,1931,0,7278,1410,5356,2004,5690,0,923,613,720,281,714,0,1158,1495,416,516,1708,607,1092,626,1157
2022071208,1203,13176,4286,5352,7098,1778,4440,7906,1240,5037,2365,5230,0,732,665,945,1070,750,0,1036,1417,440,433,1620,978,1155,726,1315
2022071209,832,13782,4992,5284,5748,1629,11904,5830,1151,4825,1983,5466,0,898,665,807,1023,472,0,1266,896,394,297,1468,824,714,641,1015
2022071210,812,13214,4435,5064,4695,1812,5029,5598,1129,4611,1911,4702,0,885,587,776,1019,407,0,1184,709,304,274,1504,740,551,577,770
2022071211,868,13351,4338,4459,4608,1775,4919,5366,1147,4415,1714,4764,0,893,630,743,1017,457,0,1152,829,326,324,1632,696,701,696,784
2022071212,767,12329,3455,4725,4026,1665,4422,4858,1171,3526,1602,4962,0,941,621,642,1002,449,0,1050,744,303,297,1604,685,655,812,775
2022071213,674,14081,4443,4428,5025,1708,5159,5466,1296,4298,1697,5420,0,934,630,736,1026,413,0,1164,853,312,339,1756,734,722,741,691
2022071214,632,13969,4882,4302,5340,1701,5510,5682,1074,4499,1849,5256,0,829,656,800,1141,415,0,1264,847,321,326,1640,686,745,732,754
2022071215,596,13322,4702,4435,5028,1688,5482,5772,1142,4524,1999,5500,0,823,670,794,1157,418,0,1304,966,353,345,1516,658,742,702,700
2022071216,564,15151,4344,4011,6276,1760,6280,6402,1153,4629,2016,6176,0,768,594,788,1209,507,0,1320,1018,469,356,1552,621,876,788,669
2022071217,526,14608,3486,4157,8970,1268,6438,6762,983,4376,2116,6258,0,619,670,596,955,526,0,70,1385,821,438,1396,470,1091,39,49
2022071218,294,12773,3754,4618,8220,1732,5278,6986,785,4381,2008,3714,0,713,464,752,518,403,0,76,938,508,350,816,463,839,37,27
2022071219,38,10865,3604,3797,5268,1434,2770,4752,248,3679,1150,1078,0,868,180,683,520,88,0,208,190,47,53,228,410,115,146,78
2022071220,223,12331,3297,3590,3972,1369,3286,3722,1092,3237,829,3922,0,1002,630,642,918,384,0,802,581,159,166,984,502,420,657,212
2022071221,149,11353,3184,3112,3240,1274,2825,3070,925,2911,616,2974,0,803,604,565,795,303,0,538,456,97,107,972,434,349,310,191
2022071222,123,9401,2651,2542,2313,1233,1923,2548,656,2133,492,2282,0,641,415,496,721,251,0,408,236,56,55,676,372,175,278,118
2022071223,87,6276,1729,1778,1503,826,1277,1610,325,1416,333,1454,0,469,251,313,520,168,0,246,144,23,34,496,234,109,161,76
2022071300,4,2607,1001,749,897,587,542,788,34,884,185,228,0,310,36,240,361,18,0,38,12,2,2,60,173,14,26,8
2022071301,31,3028,877,747,465,445,551,532,193,547,195,570,0,215,137,164,244,92,0,130,30,22,17,416,112,59,85,31
2022071302,20,2184,751,534,372,446,438,500,155,439,155,450,0,179,66,159,163,81,0,90,26,13,14,348,107,42,69,34
2022071303,20,1877,813,558,282,460,410,334,175,446,202,366,0,146,80,102,161,71,0,132,49,11,13,552,95,30,52,38
2022071304,45,2562,1040,958,546,679,797,896,190,818,331,548,0,208,81,183,188,120,0,190,96,40,40,616,101,84,65,118
