DC10_LMCS_CA,M0_3_TE,VS,TD,WS,RNUM,HM,STN_NM,TM,TS,LCS_CH,M0_05_TE,STN_ID,ICSR_QCFLG,PV,SS_QCFLG,DC10_TCA,WD,M0_1_TE,PS,CLFM_ABBR_CD,M0_2_TE,PA,TA,SS,ICSR,RN,DMST_MTPH_NO,RN_QCFLG
6,26.5,5000,19.4,2.2,1,78,부산,2022-07-13 00:00,24.6,11.0,24.6,159,9,22.5,9,10,50,25.8,1009.4,ScAs,25.9,1001.5,23.5,,,,,
4,26.4,5000,19.3,2.8,2,80,부산,2022-07-13 01:00,23.9,19.0,24.2,159,9,22.4,9,6,50,25.6,1008.0,,25.7,1000.1,23.0,,,,,
1,26.4,5000,19.0,1.5,3,79,부산,2022-07-13 02:00,23.7,16.0,23.9,159,9,22.0,9,4,50,25.3,1007.7,,25.6,999.8,22.9,,,,,
0,26.3,5000,19.1,1.5,4,82,부산,2022-07-13 03:00,23.5,,23.7,159,9,22.1,9,6,50,25.1,1007.7,Ci,25.5,999.7,22.4,,,,,
0,26.2,5000,19.2,1.8,5,82,부산,2022-07-13 04:00,23.8,,23.6,159,9,22.2,9,9,20,24.9,1007.8,Ci,25.3,999.9,22.5,,,,,
0,26.1,5000,19.5,1.2,6,83,부산,2022-07-13 05:00,24.0,,23.7,159,9,22.7,9,7,50,24.8,1007.4,Ci,25.2,999.5,22.6,,,,,
0,26.1,5000,19.7,2.0,7,83,부산,2022-07-13 06:00,24.3,,23.8,159,,22.9,,9,50,24.7,1007.5,Ci,25.1,999.6,22.8,0.0,0.02,,,
0,26.0,4334,20.0,1.5,8,83,부산,2022-07-13 07:00,24.9,,24.0,159,,23.4,,9,50,24.7,1007.9,Ci,25.0,1000.0,23.1,0.0,0.15,,,
4,25.9,4981,20.3,1.8,9,82,부산,2022-07-13 08:00,26.3,12.0,24.6,159,,23.8,,10,50,24.8,1007.9,ScAs,24.9,1000.0,23.6,0.0,0.33,,,
2,25.9,5000,21.0,0.5,10,81,부산,2022-07-13 09:00,28.6,12.0,25.5,159,,24.9,,10,50,25.0,1008.1,ScAs,24.9,1000.2,24.5,0.0,0.66,,,
9,25.8,5000,21.7,2.2,11,81,부산,2022-07-13 10:00,31.3,38.0,26.6,159,,26.0,,9,70,25.3,1008.0,Ac,24.9,1000.1,25.3,0.0,0.98,,,
1,25.7,5000,22.3,2.1,12,81,부산,2022-07-13 11:00,32.6,8.0,27.8,159,,26.9,,9,90,25.8,1007.8,ScAc,25.0,999.9,25.9,0.0,1.42,,,
1,25.7,5000,22.7,2.6,13,83,부산,2022-07-13 12:00,32.4,8.0,28.1,159,,27.6,,9,110,26.2,1007.4,ScAc,25.1,999.5,25.9,0.0,1.18,,,
2,25.7,5000,22.4,2.2,14,79,부산,2022-07-13 13:00,34.6,8.0,28.6,159,,27.1,,9,110,26.6,1006.7,ScAc,25.3,998.8,26.4,0.0,1.31,,,
2,25.8,5000,22.4,3.5,15,82,부산,2022-07-13 14:00,33.0,7.0,29.3,159,,27.1,,9,110,27.0,1006.2,ScAc,25.5,998.3,25.8,0.0,1.67,,,
4,25.8,5000,22.6,2.3,16,84,부산,2022-07-13 15:00,32.4,6.0,29.0,159,,27.4,,10,90,27.2,1005.7,ScAs,25.7,997.8,25.6,0.0,1.26,,,
2,25.9,5000,22.2,2.2,17,84,부산,2022-07-13 16:00,29.0,7.0,27.9,159,,26.8,,10,90,27.2,1005.7,ScAs,25.8,997.8,25.2,0.0,0.55,0.0,01,
3,25.9,5000,22.1,2.6,18,84,부산,2022-07-13 17:00,28.7,10.0,27.3,159,,26.6,,10,110,27.0,1004.4,ScAs,25.9,996.5,25.0,0.0,0.41,,,9
2,26.0,5000,22.0,1.8,19,85,부산,2022-07-13 18:00,27.5,8.0,26.8,159,,26.4,,10,70,26.8,1004.1,ScAs,25.9,996.3,24.8,0.0,0.32,,,9
5,26.1,5000,22.1,2.2,20,87,부산,2022-07-13 19:00,26.5,4.0,26.2,159,,26.6,,10,110,26.5,1004.1,,25.9,996.3,24.5,0.0,0.08,,,9
3,26.0,5000,22.4,0.8,21,89,부산,2022-07-13 20:00,26.3,8.0,25.8,159,,27.1,,10,90,26.3,1003.7,,25.8,995.9,24.4,0.0,0.01,,,9
7,26.0,5000,22.6,1.9,22,89,부산,2022-07-13 21:00,26.0,7.0,25.6,159,9,27.4,9,10,180,26.1,1003.3,ScAs,25.7,995.5,24.6,,,,,9
9,26.1,5000,22.4,2.6,23,87,부산,2022-07-13 22:00,26.1,6.0,25.5,159,9,27.1,9,10,200,25.9,1003.0,,25.6,995.2,24.8,,,,,9
6,26.0,5000,23.2,3.3,24,90,부산,2022-07-13 23:00,26.2,5.0,25.4,159,9,28.4,9,6,230,25.8,1003.0,,25.5,995.1,25.0,,,,,9
