dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071221,,,,,,,,,100,73
2022071222,,,,,,,,,100,73
2022071223,,,,,,,,,100,73
2022071224,,,,,,,,,100,73
2022071301,,,,,,,,,100,73
2022071302,,,,,,,,,100,73
2022071303,,,,,,,,,100,73
2022071304,,,,,,,,,100,73
2022071305,,,,,,,,,100,73
2022071306,,,,,,,,,100,73
2022071307,,,,,,,,,100,73
2022071308,,,,,,,,,100,73
2022071309,,,,,,,,,100,73
2022071310,,,,,,,,,100,73
2022071311,,,,,,,,,100,73
2022071312,,,,,,,,,100,73
2022071313,,,,,,,,,100,73
2022071314,,,,,,,,,100,73
2022071315,,,,,,,,,100,73
2022071316,,,,,,,,,100,73
2022071317,,,,,,,,,100,73
