dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022071221,-2.7,-1.4,62,3.2,0,80,0,23.8,98,73
2022071222,-2,-2,45,3,0,77,0,23.7,98,73
2022071223,-1.7,-1.6,47,2.5,0,76,0,23.4,98,73
2022071224,-1.6,-1.4,48,2.3,0,81,0,22.9,98,73
2022071301,-1.2,-1.1,47,1.8,0,80,0,22.7,98,73
2022071302,-0.6,-1.5,23,1.7,0,83,0,22.4,98,73
2022071303,-1,-1.5,34,1.9,0,82,0,22.6,98,73
2022071304,-1,-1.1,42,1.6,0,83,0,22.6,98,73
2022071305,-1.2,-1.3,43,1.9,0,83,0,22.9,98,73
2022071306,-0.5,-1.3,24,1.5,0,85,0,23.2,98,73
2022071307,-1.3,-0.8,58,1.7,0,81,0,23.9,98,73
2022071308,-1.7,-0.1,83,1.8,0,81,0,24.5,98,73
2022071309,-1.2,0,85,1.3,0,80,0,25.7,98,73
2022071310,-2.1,0.6,104,2.3,0,80,0,26.2,98,73
2022071311,-2.1,0.1,93,2.2,0,82,0,25.9,98,73
2022071312,-2.3,1,114,2.6,0,81,0,26.5,98,73
2022071313,-2.3,0.5,102,2.4,0,82,0,26.1,98,73
2022071314,-1.6,0.2,98,1.7,0,86,0,25.3,98,73
2022071315,-1.3,0.7,118,1.6,0,84,0,25.1,98,73
2022071316,-1.9,0.5,105,2.1,0,85,0,25,98,73
2022071317,-1.1,-0.3,72,1.3,0,84,0,24.8,98,73
