DC10_LMCS_CA,TD,VS,M0_3_TE,RN_QCFLG,HM,TM,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,DMST_MTPH_NO,PS,M0_1_TE,PA,SS,ICSR,RN
8,21.9,869,23.8,9,97,2022-06-25 00:00,23.6,159,22.7,9,Sc,23.2,22.5,3.7,1,부산,3.0,9,26.3,8,200,19,1003.1,23.3,995.2,,,
6,21.8,884,23.8,,98,2022-06-25 01:00,23.5,159,22.7,9,,23.1,22.2,5.6,2,부산,2.0,9,26.1,6,230,19,1003.0,23.2,995.1,,,
7,21.6,895,23.7,,95,2022-06-25 02:00,23.4,159,22.7,9,,23.1,22.5,3.7,3,부산,3.0,9,25.8,7,250,19,1003.0,23.1,995.1,,,
8,21.6,854,23.8,,95,2022-06-25 03:00,23.7,159,22.7,9,Sc,23.0,22.5,3.2,4,부산,4.0,9,25.8,8,230,19,1003.6,23.0,995.7,,,
6,21.4,796,23.7,,94,2022-06-25 04:00,23.4,159,22.6,9,Sc,23.0,22.5,1.8,5,부산,3.0,9,25.5,6,230,19,1004.1,23.0,996.2,,,
6,21.0,516,23.6,,98,2022-06-25 05:00,23.2,159,22.4,9,Sc,22.9,21.4,3.5,6,부산,3.0,9,24.9,6,200,19,1005.1,22.9,997.1,,,
0,21.2,491,23.7,,98,2022-06-25 06:00,23.5,159,22.5,,Ci,22.9,21.6,2.8,7,부산,,,25.2,4,270,19,1005.3,22.9,997.3,0.0,0.04,
2,21.3,694,23.6,,94,2022-06-25 07:00,25.1,159,22.7,,ScCi,22.8,22.4,5.5,8,부산,2.0,,25.3,8,230,19,1006.2,22.8,998.3,0.3,0.53,
6,22.2,816,23.5,,93,2022-06-25 08:00,28.0,159,23.7,,ScCi,22.8,23.5,4.7,9,부산,2.0,,26.8,8,230,19,1006.3,23.0,998.4,0.3,1.05,
8,22.1,759,23.5,,93,2022-06-25 09:00,28.5,159,25.0,,Sc,22.8,23.4,5.1,10,부산,2.0,,26.6,8,200,19,1007.0,23.3,999.1,0.2,1.43,
8,22.6,915,23.4,,87,2022-06-25 10:00,32.1,159,25.8,,Sc,22.9,25.0,4.0,11,부산,3.0,,27.4,8,250,19,1006.6,23.7,998.7,0.0,1.34,
9,22.3,1052,23.5,,80,2022-06-25 11:00,34.1,159,27.5,,Sc,23.1,26.1,5.8,12,부산,6.0,,26.9,9,230,19,1006.1,24.3,998.2,0.2,2.18,
9,22.9,742,23.5,,89,2022-06-25 12:00,33.0,159,27.0,,Sc,23.3,24.9,4.2,13,부산,2.0,,27.9,9,230,19,1006.1,24.8,998.2,0.1,1.63,
9,23.5,1168,23.5,,88,2022-06-25 13:00,35.0,159,28.9,,Sc,23.5,25.7,4.5,14,부산,3.0,,28.9,9,200,19,1006.0,25.3,998.1,0.2,2.38,
9,22.6,1687,23.6,,85,2022-06-25 14:00,35.6,159,30.4,,Sc,23.8,25.4,6.6,15,부산,4.0,,27.4,9,180,,1006.3,26.0,998.4,0.7,2.78,
8,22.1,3468,23.7,,84,2022-06-25 15:00,31.9,159,28.2,,Sc,24.1,25.0,6.9,16,부산,2.0,,26.6,8,200,,1006.9,26.3,999.0,0.1,1.55,
6,21.8,3907,23.8,,88,2022-06-25 16:00,28.5,159,26.8,,ScCi,24.2,24.0,6.7,17,부산,7.0,,26.1,8,230,,1007.6,26.1,999.7,0.0,0.96,
9,21.2,3381,23.9,,90,2022-06-25 17:00,26.2,159,25.4,,Sc,24.3,23.0,4.7,18,부산,3.0,,25.2,9,200,,1007.9,25.7,1000.0,0.0,0.19,
7,21.5,2966,24.0,,91,2022-06-25 18:00,26.5,159,24.9,,ScCi,24.3,23.1,3.4,19,부산,3.0,,25.6,9,200,,1007.9,25.2,1000.0,0.0,0.17,
6,22.1,1909,24.0,,95,2022-06-25 19:00,25.7,159,24.7,,,24.1,23.0,4.5,20,부산,2.0,,26.6,7,200,,1008.5,24.9,1000.6,0.0,0.31,
8,22.8,1547,24.1,,98,2022-06-25 20:00,25.2,159,24.3,,,24.1,23.2,8.2,21,부산,,,27.7,8,230,,1009.4,24.7,1001.5,0.0,0.01,
8,22.1,548,24.1,,100,2022-06-25 21:00,24.5,159,23.9,9,ScAs,24.0,22.2,7.2,22,부산,1.0,9,26.6,10,230,190201,1009.8,24.4,1001.8,,,0.9
7,22.3,1568,24.1,,100,2022-06-25 22:00,24.3,159,23.6,9,Sc,23.9,22.4,9.1,23,부산,1.0,9,26.9,7,230,1901,1009.6,24.2,1001.6,,,0.0
8,22.5,2667,24.1,9,98,2022-06-25 23:00,24.4,159,23.5,9,,23.8,22.9,6.4,24,부산,2.0,9,27.2,8,230,,1009.1,24.0,1001.2,,,
