DC10_LMCS_CA,TD,VS,M0_3_TE,HM,TM,RN,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,DMST_MTPH_NO,PS,M0_1_TE,PA,SS,ICSR,RN_QCFLG
8,23.8,1759,23.8,100,2022-06-28 00:00,0.0,25.1,159,23.8,9,Sc,23.3,23.9,8.4,1,부산,1,9,29.5,8,230,01,1010.2,23.7,1002.3,,,
5,24.1,1988,23.7,100,2022-06-28 01:00,,25.3,159,23.9,9,,23.3,24.2,8.6,2,부산,1,9,30.0,5,230,,1009.6,23.7,1001.7,,,
7,24.3,2264,23.7,99,2022-06-28 02:00,,25.5,159,24.0,9,,23.3,24.5,11.7,3,부산,1,9,30.4,7,230,,1009.2,23.7,1001.3,,,
7,24.1,1263,23.7,100,2022-06-28 03:00,,25.5,159,24.1,9,Sc,23.3,24.2,11.7,4,부산,1,9,30.0,7,230,,1008.9,23.8,1001.0,,,
9,23.7,310,23.7,100,2022-06-28 04:00,,25.4,159,24.1,9,Sc,23.3,23.8,10.7,5,부산,1,9,29.3,9,230,19,1009.0,23.8,1001.1,,,
10,24.2,1752,23.7,100,2022-06-28 05:00,0.0,25.4,159,24.1,9,St,23.3,24.3,12.0,6,부산,1,9,30.2,10,230,1902,1009.0,23.8,1001.1,,,
10,23.4,316,23.7,100,2022-06-28 06:00,0.0,25.4,159,24.0,,St,23.3,23.5,11.5,7,부산,1,,28.8,10,230,1902,1008.8,23.8,1000.9,0.0,0.02,
10,23.3,844,23.7,100,2022-06-28 07:00,0.0,25.4,159,24.0,,St,23.3,23.4,9.5,8,부산,2,,28.6,10,230,1902,1008.6,23.8,1000.7,0.0,0.08,
9,23.5,723,23.6,100,2022-06-28 08:00,0.9,25.6,159,24.1,,StNs,23.2,23.6,11.6,9,부산,2,,28.9,10,230,190201,1008.8,23.8,1000.9,0.0,0.23,
10,23.8,1511,23.6,100,2022-06-28 09:00,1.2,26.8,159,24.5,,St,23.2,23.9,12.2,10,부산,2,,29.5,10,230,1901,1008.5,23.8,1000.6,0.0,0.58,
10,23.6,783,23.6,100,2022-06-28 10:00,0.1,26.9,159,24.6,,St,23.3,23.7,10.9,11,부산,2,,29.1,10,230,1901,1008.6,23.9,1000.7,0.0,0.64,
10,23.7,840,23.6,100,2022-06-28 11:00,0.0,27.0,159,24.7,,St,23.3,23.8,11.1,12,부산,2,,29.3,10,230,1901,1008.8,24.0,1000.9,0.0,0.58,
9,23.5,540,23.6,100,2022-06-28 12:00,0.7,26.5,159,24.7,,StNs,23.3,23.6,9.4,13,부산,1,,28.9,10,230,1901,1008.8,24.1,1000.9,0.0,0.57,
9,23.6,522,23.6,100,2022-06-28 13:00,4.2,26.2,159,24.6,,StNs,23.4,23.7,10.1,14,부산,2,,29.1,10,230,1901,1008.6,24.1,1000.7,0.0,0.44,
10,23.3,830,23.6,100,2022-06-28 14:00,1.6,26.3,159,24.5,,St,23.4,23.4,8.6,15,부산,3,,28.6,10,230,1901,1008.1,24.1,1000.2,0.0,0.41,
9,23.5,1100,23.7,100,2022-06-28 15:00,0.7,26.5,159,24.6,,StNs,23.4,23.6,8.6,16,부산,2,,28.9,10,230,1901,1007.7,24.1,999.8,0.0,0.47,
9,23.6,591,23.7,100,2022-06-28 16:00,1.6,26.1,159,24.4,,StNs,23.4,23.7,8.9,17,부산,1,,29.1,10,230,1901,1007.4,24.1,999.5,0.0,0.29,
8,23.8,1232,23.7,100,2022-06-28 17:00,0.4,26.2,159,24.4,,StNs,23.4,23.9,11.0,18,부산,3,,29.5,10,230,1901,1007.4,24.1,999.5,0.0,0.33,
9,23.5,1412,23.7,100,2022-06-28 18:00,2.5,25.7,159,24.4,,StNs,23.4,23.6,10.8,19,부산,2,,28.9,10,230,1901,1007.4,24.1,999.5,0.0,0.35,
8,23.4,1159,23.7,100,2022-06-28 19:00,0.4,25.3,159,24.1,,StNs,23.4,23.5,10.3,20,부산,2,,28.8,10,230,01,1007.8,24.0,999.9,0.0,0.06,
8,23.4,1335,23.7,100,2022-06-28 20:00,1.0,25.1,159,24.0,,StNs,23.4,23.5,9.4,21,부산,1,,28.8,10,230,01,1007.9,23.9,1000.0,0.0,0.01,
7,23.3,1121,23.7,100,2022-06-28 21:00,0.4,25.1,159,23.9,9,ScAs,23.4,23.4,6.5,22,부산,1,9,28.6,10,200,1901,1008.1,23.8,1000.2,,,
9,23.3,1756,23.7,99,2022-06-28 22:00,,25.0,159,23.8,9,,23.3,23.5,8.4,23,부산,1,9,28.6,9,230,,1008.6,23.8,1000.7,,,9
8,23.4,2030,23.7,98,2022-06-28 23:00,,25.0,159,23.8,9,,23.3,23.8,8.5,24,부산,2,9,28.8,8,230,,1008.7,23.7,1000.8,,,9
