DC10_LMCS_CA,TD,VS,M0_3_TE,RN_QCFLG,HM,TM,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,PS,M0_1_TE,PA,DMST_MTPH_NO,RN,SS,ICSR
8,23.4,2468,23.7,9,96,2022-06-29 00:00,25.1,159,23.8,9,Sc,23.3,24.1,9.5,1,부산,2.0,9,28.8,8,230,1008.4,23.7,1000.5,,,,
9,23.5,1919,23.6,,99,2022-06-29 01:00,25.1,159,23.8,9,,23.2,23.7,7.3,2,부산,1.0,9,28.9,9,230,1007.9,23.7,1000.0,,,,
9,23.3,1110,23.6,,100,2022-06-29 02:00,25.1,159,23.8,9,,23.2,23.4,7.4,3,부산,,9,28.6,9,230,1007.5,23.6,999.6,,,,
10,23.1,1018,23.6,,100,2022-06-29 03:00,24.9,159,23.7,9,St,23.2,23.2,8.2,4,부산,1.0,9,28.3,10,230,1007.3,23.6,999.4,19,,,
9,23.3,1092,23.6,,100,2022-06-29 04:00,24.9,159,23.7,9,ScAs,23.2,23.4,8.5,5,부산,1.0,9,28.6,10,230,1007.3,23.6,999.4,01,0.3,,
9,23.3,1065,23.6,,100,2022-06-29 05:00,25.0,159,23.7,9,ScAs,23.1,23.4,9.9,6,부산,1.0,9,28.6,10,200,1007.2,23.6,999.3,1901,1.1,,
9,23.4,43,23.6,,100,2022-06-29 06:00,25.1,159,23.6,,StNs,23.1,23.5,12.4,7,부산,2.0,,28.8,10,230,1007.4,23.5,999.5,191601,14.6,0.0,0.02
10,23.8,1818,23.6,,100,2022-06-29 07:00,25.7,159,23.9,,St,23.1,23.9,13.2,8,부산,1.0,,29.5,10,230,1007.7,23.5,999.8,191601,0.6,0.0,0.18
10,23.8,1745,23.6,,100,2022-06-29 08:00,26.2,159,24.1,,St,23.1,23.9,10.6,9,부산,1.0,,29.5,10,230,1007.8,23.6,999.9,01,0.5,0.0,0.36
10,23.8,1730,23.5,,99,2022-06-29 09:00,26.9,159,24.4,,St,23.1,24.0,11.7,10,부산,1.0,,29.5,10,230,1008.0,23.7,1000.1,01,0.0,0.0,0.53
10,24.2,2237,23.5,9,98,2022-06-29 10:00,28.4,159,25.0,,St,23.1,24.6,11.6,11,부산,1.0,,30.2,10,230,1008.2,23.8,1000.3,,,0.0,0.96
9,23.9,2076,23.5,,97,2022-06-29 11:00,27.9,159,25.0,,ScAs,23.2,24.5,11.1,12,부산,2.0,,29.7,10,230,1008.8,24.1,1000.9,01,0.0,0.0,0.95
8,24.2,1474,23.5,,98,2022-06-29 12:00,28.3,159,25.3,,ScAs,23.3,24.6,11.8,13,부산,2.0,,30.2,10,230,1008.6,24.2,1000.7,01,0.0,0.0,1.09
8,24.2,1639,23.6,,98,2022-06-29 13:00,27.7,159,25.6,,ScAs,23.3,24.6,13.3,14,부산,2.0,,30.2,10,230,1008.6,24.4,1000.7,01,0.0,0.0,1.19
9,24.2,1563,23.6,,98,2022-06-29 14:00,27.4,159,25.4,,StNs,23.4,24.6,12.4,15,부산,2.0,,30.2,10,230,1008.3,24.5,1000.4,01,0.0,0.0,1.0
8,24.0,1623,23.6,,97,2022-06-29 15:00,27.5,159,25.3,,StNs,23.5,24.6,11.7,16,부산,1.0,,29.8,10,230,1008.5,24.5,1000.6,01,0.0,0.0,0.7
7,23.9,2192,23.6,,96,2022-06-29 16:00,27.0,159,25.0,,ScAs,23.5,24.6,12.1,17,부산,2.0,,29.7,10,230,1008.4,24.5,1000.5,01,0.2,0.0,0.55
7,24.1,1769,23.7,9,96,2022-06-29 17:00,26.5,159,24.9,,ScAs,23.5,24.8,12.7,18,부산,2.0,,30.0,10,230,1008.7,24.4,1000.8,,,0.0,0.44
8,24.1,1307,23.7,,99,2022-06-29 18:00,26.1,159,24.7,,StNs,23.5,24.3,10.2,19,부산,2.0,,30.0,10,230,1008.7,24.4,1000.8,01,0.0,0.0,0.17
8,23.9,1556,23.7,,100,2022-06-29 19:00,25.8,159,24.5,,ScCi,23.5,24.0,9.7,20,부산,3.0,,29.7,9,230,1009.0,24.3,1001.1,1901,1.3,0.0,0.13
7,23.8,1663,23.7,9,99,2022-06-29 20:00,25.6,159,24.3,,,23.5,24.0,9.9,21,부산,1.0,,29.5,7,230,1009.4,24.2,1001.5,,,0.0,0.03
10,24.0,1904,23.7,,99,2022-06-29 21:00,25.6,159,24.3,9,St,23.5,24.2,8.0,22,부산,3.0,9,29.8,10,230,1010.1,24.1,1002.2,01,0.0,,
10,23.9,1666,23.7,,100,2022-06-29 22:00,25.4,159,24.2,9,St,23.4,24.0,9.3,23,부산,3.0,9,29.7,10,230,1010.8,24.0,1002.9,01,0.0,,
9,23.7,1900,23.7,,99,2022-06-29 23:00,25.3,159,24.1,9,Sc,23.4,23.9,8.4,24,부산,4.0,9,29.3,9,230,1010.9,24.0,1003.0,1901,0.0,,
