DC10_LMCS_CA,TD,VS,M0_3_TE,RN_QCFLG,HM,TM,TS,STN_ID,M0_05_TE,ICSR_QCFLG,CLFM_ABBR_CD,M0_2_TE,TA,WS,RNUM,STN_NM,LCS_CH,SS_QCFLG,PV,DC10_TCA,WD,PS,M0_1_TE,PA,RN,DMST_MTPH_NO,SS,ICSR
9,23.8,2240,23.7,9,99,2022-06-30 00:00,25.3,159,24.0,9,Sc,23.4,24.0,9.4,1,부산,3.0,9,29.5,9,230,1011.1,23.9,1003.2,,,,
6,24.1,2943,23.7,,98,2022-06-30 01:00,25.4,159,24.1,9,,23.4,24.5,10.6,2,부산,1.0,9,30.0,6,230,1011.3,23.9,1003.4,,,,
4,24.2,2880,23.7,,99,2022-06-30 02:00,25.5,159,24.1,9,,23.3,24.4,9.8,3,부산,1.0,9,30.2,4,230,1011.1,23.9,1003.2,,,,
9,24.1,2888,23.7,,99,2022-06-30 03:00,25.5,159,24.1,9,Sc,23.3,24.3,9.3,4,부산,2.0,9,30.0,9,230,1011.0,23.8,1003.1,,,,
9,23.6,2780,23.7,,99,2022-06-30 04:00,25.3,159,24.0,9,Sc,23.3,23.8,5.3,5,부산,3.0,9,29.1,9,200,1010.9,23.8,1003.0,0.0,01,,
10,23.3,2529,23.7,9,99,2022-06-30 05:00,25.0,159,23.9,9,St,23.3,23.5,5.0,6,부산,3.0,9,28.6,10,200,1011.2,23.8,1003.3,,,,
8,23.4,1959,23.7,9,100,2022-06-30 06:00,25.4,159,23.9,,Sc,23.3,23.5,6.0,7,부산,4.0,,28.8,8,200,1011.3,23.7,1003.4,,,0.0,0.04
10,23.4,1779,23.6,9,100,2022-06-30 07:00,26.5,159,24.3,,St,23.2,23.5,5.0,8,부산,2.0,,28.8,10,200,1011.6,23.8,1003.7,,,0.1,0.45
10,23.8,3780,23.6,9,98,2022-06-30 08:00,28.3,159,24.6,,St,23.2,24.2,6.0,9,부산,1.0,,29.5,10,200,1011.9,23.9,1004.0,,,0.1,0.55
8,24.1,5000,23.6,9,93,2022-06-30 09:00,31.5,159,26.2,,Sc,23.3,25.4,6.2,10,부산,3.0,,30.0,8,230,1012.5,24.1,1004.6,,,0.5,1.86
7,24.1,5000,23.6,9,90,2022-06-30 10:00,37.2,159,27.6,,Sc,23.4,25.9,7.3,11,부산,3.0,,30.0,7,200,1012.3,24.7,1004.4,,,0.9,3.21
6,24.4,5000,23.6,9,90,2022-06-30 11:00,34.9,159,28.7,,Sc,23.6,26.2,8.0,12,부산,4.0,,30.6,6,200,1012.8,25.3,1004.9,,,0.8,3.39
7,24.9,5000,23.7,9,89,2022-06-30 12:00,38.9,159,30.8,,Sc,23.8,26.9,6.9,13,부산,3.0,,31.5,7,200,1013.0,26.1,1005.1,,,0.7,3.49
6,24.6,5000,23.7,9,84,2022-06-30 13:00,38.4,159,31.8,,Sc,24.1,27.6,5.6,14,부산,3.0,,30.9,6,200,1012.9,26.9,1005.0,,,0.7,3.17
3,24.7,5000,23.9,9,83,2022-06-30 14:00,38.5,159,33.5,,Sc,24.5,27.9,5.9,15,부산,5.0,,31.1,3,180,1012.5,27.7,1004.7,,,1.0,3.56
2,24.5,5000,24.0,9,83,2022-06-30 15:00,35.4,159,33.5,,Sc,24.9,27.7,5.0,16,부산,6.0,,30.7,2,180,1012.7,28.4,1004.8,,,1.0,3.24
2,24.8,5000,24.1,9,86,2022-06-30 16:00,32.8,159,32.5,,Sc,25.3,27.4,4.6,17,부산,6.0,,31.3,2,180,1012.5,28.8,1004.6,,,0.9,2.55
1,23.9,5000,24.3,9,80,2022-06-30 17:00,30.6,159,31.0,,Sc,25.6,27.7,4.1,18,부산,5.0,,29.7,1,200,1012.4,28.8,1004.5,,,1.0,2.12
1,23.7,5000,24.5,9,84,2022-06-30 18:00,28.4,159,28.3,,Sc,25.7,26.7,4.3,19,부산,6.0,,29.3,1,200,1012.5,28.2,1004.6,,,0.7,1.04
0,23.6,5000,24.6,9,86,2022-06-30 19:00,27.7,159,27.2,,,25.6,26.2,3.8,20,부산,,,29.1,0,200,1012.5,27.4,1004.6,,,0.8,0.48
0,23.5,5000,24.7,9,94,2022-06-30 20:00,26.3,159,26.2,,,25.5,24.6,3.8,21,부산,,,28.9,1,200,1012.9,26.8,1005.0,,,0.0,0.03
1,23.7,3590,24.8,9,93,2022-06-30 21:00,26.0,159,25.6,9,Sc,25.3,25.0,4.8,22,부산,6.0,9,29.3,1,250,1013.8,26.3,1005.8,,,,
2,24.0,4958,24.8,9,95,2022-06-30 22:00,25.8,159,25.3,9,,25.1,24.9,4.1,23,부산,3.0,9,29.8,3,250,1014.4,25.9,1006.4,,,,
0,23.5,5000,24.8,9,93,2022-06-30 23:00,25.6,159,25.0,9,,25.0,24.8,4.3,24,부산,,9,28.9,4,250,1014.8,25.6,1006.9,,,,
