dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022010819,0.002,0.6,0.009,0.046,25,18
2022010820,0.003,0.7,0.008,0.050,39,24
2022010821,0.003,0.4,0.026,0.026,40,28
2022010822,0.003,0.4,0.027,0.022,32,21
2022010823,0.003,0.4,0.031,0.017,24,18
2022010824,0.003,0.4,0.034,0.014,25,19
2022010901,0.003,0.4,0.036,0.013,33,22
2022010902,0.003,0.4,0.038,0.011,33,28
2022010903,0.002,0.4,0.041,0.009,40,25
2022010904,0.002,0.4,0.047,0.007,39,28
2022010905,0.002,0.4,0.048,0.006,43,35
2022010906,0.002,0.4,0.051,0.006,48,35
2022010907,0.002,0.5,0.052,0.007,52,44
2022010908,0.002,0.4,0.052,0.008,55,46
2022010909,0.003,0.5,0.042,0.017,65,44
2022010910,0.003,0.5,0.031,0.027,68,53
2022010911,0.003,0.5,0.048,0.012,68,56
2022010912,0.003,0.5,0.047,0.013,72,57
2022010913,0.002,0.5,0.048,0.013,75,62
2022010914,0.002,0.5,0.051,0.012,90,67
2022010915,0.002,0.6,0.052,0.012,82,66
2022010916,0.002,0.5,0.054,0.012,76,66
2022010917,0.002,0.5,0.051,0.015,72,66
2022010918,0.002,0.6,0.035,0.028,82,66
2022010919,0.002,0.7,0.026,0.034,79,65
2022010920,0.002,0.7,0.019,0.040,82,70
2022010921,0.002,0.6,0.024,0.034,81,62
2022010922,0.003,0.7,0.012,0.047,81,66
2022010923,0.003,0.7,0.006,0.056,84,66
2022010924,0.002,0.7,0.006,0.054,89,73
2022011001,0.002,0.6,0.029,0.027,86,74
2022011002,0.002,0.6,0.032,0.022,82,74
2022011003,0.002,0.5,0.037,0.016,86,71
2022011004,0.002,0.6,0.029,0.022,82,68
2022011005,0.002,0.6,0.031,0.021,82,67
2022011006,0.002,0.7,0.025,0.025,77,64
2022011007,0.002,0.7,0.010,0.041,84,73
2022011008,0.002,0.7,0.007,0.048,84,68
2022011009,0.002,0.6,0.011,0.044,88,69
2022011010,0.002,0.6,0.012,0.046,86,73
2022011011,0.003,0.7,0.007,0.055,94,73
2022011012,0.003,0.6,0.017,0.047,115,80
2022011013,0.003,0.6,0.026,0.038,105,79
2022011014,0.003,0.6,0.027,0.043,88,64
2022011015,0.003,0.6,0.032,0.040,99,74
2022011016,0.004,0.5,0.046,0.026,88,71
2022011017,0.003,0.5,0.043,0.032,70,53
2022011018,0.003,0.6,0.013,0.063,66,55
2022011019,0.003,0.7,0.007,0.065,78,67
2022011020,0.002,0.7,0.013,0.055,88,69
2022011021,0.003,0.6,0.015,0.050,80,67
2022011022,0.002,0.6,0.015,0.047,71,57
2022011023,0.002,0.6,0.020,0.042,65,55
2022011024,0.003,0.6,0.043,0.022,67,58
2022011101,0.003,0.6,0.033,0.026,82,68
2022011102,0.003,0.5,0.030,0.020,79,71
2022011103,0.002,0.5,0.032,0.017,73,61
2022011104,0.002,0.5,0.029,0.017,68,57
2022011105,0.002,0.5,0.027,0.018,62,56
2022011106,0.002,0.6,0.024,0.021,71,60
2022011107,0.002,0.6,0.024,0.023,75,61
2022011108,0.002,0.5,0.013,0.035,58,49
2022011109,0.002,0.5,0.010,0.038,53,42
2022011110,0.002,0.5,0.022,0.023,55,39
2022011111,0.002,0.4,0.032,0.015,43,28
2022011112,0.002,0.4,0.034,0.011,51,21
2022011113,0.002,0.3,0.036,0.011,40,21
2022011114,0.002,0.3,0.038,0.010,38,13
2022011115,0.002,0.3,0.038,0.010,33,8
2022011116,0.002,0.3,0.037,0.011,24,6
2022011117,0.002,0.3,0.034,0.015,26,6
2022011118,0.002,0.3,0.028,0.020,18,8
2022011119,0.002,0.3,0.024,0.023,18,8
2022011120,0.002,0.3,0.020,0.025,19,9
2022011121,0.002,0.3,0.019,0.024,20,8
2022011122,0.002,0.3,0.025,0.018,15,10
2022011123,0.002,0.3,0.033,0.009,17,9
2022011124,0.002,0.3,0.035,0.007,14,7
2022011201,0.002,0.3,0.035,0.008,18,8
2022011202,0.002,0.3,0.034,0.007,14,6
2022011203,0.002,0.3,0.035,0.007,14,8
2022011204,0.002,0.3,0.033,0.007,16,10
2022011205,0.002,0.3,0.032,0.008,14,13
2022011206,0.002,0.3,0.033,0.007,13,12
2022011207,0.002,0.4,0.023,0.017,17,13
2022011208,0.002,0.3,0.018,0.024,20,17
2022011209,0.002,0.3,0.019,0.022,23,12
2022011210,0.002,0.3,0.028,0.014,27,15
2022011211,0.002,0.3,0.031,0.013,27,12
2022011212,0.002,0.3,0.031,0.015,22,13
2022011213,,,,,24,11
2022011214,,,,,15,8
2022011215,0.002,0.3,0.034,0.014,17,10
2022011216,0.002,0.3,0.035,0.014,16,10
2022011217,0.002,0.4,0.030,0.019,15,8
2022011218,0.002,0.3,0.026,0.023,20,10
2022011219,0.002,0.3,0.026,0.022,21,13
2022011220,0.002,0.4,0.021,0.027,24,12
2022011221,0.002,0.4,0.015,0.032,21,13
2022011222,0.002,0.4,0.015,0.030,28,13
2022011223,0.002,0.3,0.026,0.016,23,13
2022011224,0.002,0.3,0.028,0.013,21,13
2022011301,0.002,0.3,0.035,0.008,23,15
2022011302,0.002,0.3,0.036,0.006,19,11
2022011303,0.002,0.3,0.036,0.006,17,10
2022011304,0.002,0.3,0.034,0.008,15,9
2022011305,0.002,0.3,0.031,0.010,13,10
2022011306,0.002,0.4,0.029,0.013,19,10
2022011307,0.003,0.3,0.025,0.016,19,10
2022011308,0.003,0.4,0.018,0.024,16,11
2022011309,0.003,0.4,0.028,0.015,26,14
2022011310,0.003,0.4,0.023,0.022,26,17
2022011311,0.003,0.4,0.026,0.018,34,20
2022011312,0.003,0.4,0.029,0.015,38,26
2022011313,0.003,0.4,0.031,0.012,42,25
2022011314,0.002,0.4,0.031,0.012,30,20
2022011315,0.002,0.4,0.032,0.012,31,12
2022011316,0.002,0.4,0.030,0.013,27,10
2022011317,0.002,0.4,0.028,0.016,28,8
2022011318,0.002,0.4,0.024,0.019,24,13
2022011319,0.002,0.4,0.020,0.024,27,12
2022011320,0.002,0.4,0.020,0.022,24,15
2022011321,0.002,0.4,0.025,0.016,24,13
2022011322,0.002,0.3,0.025,0.017,18,9
2022011323,0.002,0.3,0.025,0.015,16,8
2022011324,0.002,0.3,0.028,0.012,14,9
2022011401,0.002,0.3,0.028,0.011,15,8
2022011402,0.002,0.3,0.028,0.010,15,8
