dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022010819,,,0.009,0.041,25,19
2022010820,,,0.004,0.048,30,21
2022010821,,,0.004,0.047,35,27
2022010822,,,0.003,0.044,35,21
2022010823,,,0.002,0.043,35,22
2022010824,,,0.006,0.037,32,24
2022010901,,,0.020,0.021,30,26
2022010902,,,0.020,0.024,32,23
2022010903,,,0.040,0.009,36,31
2022010904,,,0.045,0.006,50,47
2022010905,,,0.044,0.007,56,52
2022010906,,,0.042,0.009,63,55
2022010907,,,0.033,0.018,60,51
2022010908,,,0.008,0.044,62,56
2022010909,,,0.006,0.047,66,55
2022010910,,,0.013,0.041,64,59
2022010911,,,0.023,0.030,67,64
2022010912,,,0.032,0.019,72,60
2022010913,,,0.037,0.016,66,59
2022010914,,,0.040,0.015,63,57
2022010915,,,0.040,0.016,60,58
2022010916,,,0.039,0.020,64,56
2022010917,,,0.037,0.021,68,61
2022010918,,,0.028,0.029,65,59
2022010919,,,0.020,0.035,69,61
2022010920,,,0.011,0.042,69,60
2022010921,,,0.006,0.048,70,61
2022010922,,,0.005,0.046,72,64
2022010923,,,0.004,0.046,74,68
2022010924,,,0.006,0.042,77,68
2022011001,,,0.008,0.034,71,65
2022011002,,,0.010,0.029,71,68
2022011003,,,0.011,0.028,72,69
2022011004,,,0.009,0.029,73,69
2022011005,,,0.006,0.033,70,62
2022011006,,,0.005,0.038,65,
2022011007,,,0.003,0.052,75,67
2022011008,,,0.003,0.060,77,68
2022011009,,,0.003,0.078,79,66
2022011010,,,0.004,0.070,94,72
2022011011,,,0.007,0.058,88,70
2022011012,,,0.012,0.053,77,68
2022011013,,,0.014,0.061,69,61
2022011014,,,0.032,0.036,73,67
2022011015,,,0.038,0.030,61,50
2022011016,,,0.035,0.036,57,45
2022011017,,,0.033,0.040,62,55
2022011018,,,0.033,0.040,68,59
2022011019,,,0.026,0.048,60,54
2022011020,,,0.016,0.059,75,65
2022011021,,,0.018,0.056,84,74
2022011022,,,0.023,0.043,72,69
2022011023,,,0.027,0.038,71,62
2022011024,,,0.035,0.028,66,61
2022011101,,,0.033,0.026,66,58
2022011102,,,0.025,0.028,78,68
2022011103,,,0.028,0.022,81,73
2022011104,,,0.029,0.018,70,65
2022011105,,,0.031,0.016,69,61
2022011106,,,0.030,0.016,49,45
2022011107,,,0.024,0.021,43,38
2022011108,,,0.024,0.021,45,43
2022011109,,,0.026,0.018,43,34
2022011110,,,0.028,0.014,37,30
2022011111,,,0.030,0.012,38,32
2022011112,,,,,37,
2022011113,,,0.034,0.006,39,
2022011114,,,0.035,0.005,33,18
2022011115,,,0.033,0.005,29,15
2022011116,,,0.033,0.006,26,13
2022011117,,,0.030,0.008,18,14
2022011118,,,0.028,0.009,23,12
2022011119,,,0.030,0.008,16,14
2022011120,,,0.031,0.007,18,10
2022011121,,,0.029,0.007,11,
2022011122,,,0.029,0.007,15,12
2022011123,,,0.030,0.005,16,11
2022011124,,,0.030,0.005,16,14
2022011201,,,0.030,0.005,14,
2022011202,,,0.031,0.004,9,
2022011203,,,0.031,0.004,12,11
2022011204,,,0.030,0.004,13,10
2022011205,,,0.030,0.004,13,8
2022011206,,,0.029,0.005,11,
2022011207,,,0.027,0.008,13,
2022011208,,,0.029,0.007,9,
2022011209,,,0.029,0.007,12,12
2022011210,,,0.030,0.006,8,
2022011211,,,0.031,0.006,11,9
2022011212,,,0.031,0.006,9,7
2022011213,,,0.032,0.006,11,6
2022011214,,,0.032,0.007,11,7
2022011215,,,0.030,0.009,8,
2022011216,,,0.032,0.008,14,10
2022011217,,,0.030,0.010,15,12
2022011218,,,0.028,0.013,19,12
2022011219,,,0.017,0.025,20,10
2022011220,,,0.020,0.021,19,16
2022011221,,,0.027,0.012,18,13
2022011222,,,0.028,0.010,17,11
2022011223,,,0.029,0.008,17,10
2022011224,,,0.029,0.007,17,13
2022011301,,,0.028,0.007,16,16
2022011302,,,0.030,0.005,18,18
2022011303,,,0.031,0.004,15,
2022011304,,,0.030,0.006,18,11
2022011305,,,0.028,0.007,14,13
2022011306,,,0.026,0.009,12,
2022011307,,,0.019,0.016,21,18
2022011308,,,0.012,0.024,22,22
2022011309,,,0.013,0.024,29,23
2022011310,,,0.021,0.015,33,26
2022011311,,,0.028,0.009,33,31
2022011312,,,0.029,0.007,43,33
2022011313,,,0.030,0.006,32,26
2022011314,,,0.030,0.007,26,19
2022011315,,,0.030,0.006,23,15
2022011316,,,0.029,0.007,19,11
2022011317,,,0.028,0.008,16,14
2022011318,,,0.027,0.009,22,11
2022011319,,,0.025,0.011,25,11
2022011320,,,0.024,0.012,18,13
2022011321,,,0.028,0.009,19,13
2022011322,,,0.029,0.006,16,11
2022011323,,,0.028,0.007,13,12
2022011324,,,0.028,0.006,15,10
2022011401,,,0.028,0.005,10,9
2022011402,,,0.028,0.004,17,8
2022011403,,,0.028,0.004,13,6
2022011404,,,0.029,0.003,11,
2022011405,,,0.029,0.004,13,
2022011406,,,0.025,0.007,16,12
2022011407,,,0.022,0.011,13,
2022011408,,,0.022,0.013,12,
2022011409,,,0.025,0.013,11,11
2022011410,,,0.024,0.015,10,10
2022011411,,,0.026,0.014,15,8
2022011412,,,0.028,0.013,13,12
2022011413,,,0.030,0.011,14,10
2022011414,,,0.030,0.012,14,8
2022011415,,,0.030,0.013,10,7
2022011416,,,0.029,0.013,14,10
2022011417,,,0.025,0.019,18,8
2022011418,,,0.014,0.033,14,14
2022011419,,,0.006,0.047,23,10
2022011420,,,0.002,0.056,33,14
2022011421,,,0.002,0.051,32,18
2022011422,,,0.002,0.048,36,22
2022011423,,,0.002,0.044,35,22
2022011424,,,0.002,0.043,34,22
2022011501,,,0.002,0.038,28,17
2022011502,,,,0.038,30,21
2022011503,,,,0.036,27,22
2022011504,,,,0.036,28,20
2022011505,,,,0.036,23,20
2022011506,,,,0.037,25,22
2022011507,,,,0.046,25,21
2022011508,,,,0.054,37,24
2022011509,,,0.003,0.055,41,25
2022011510,,,0.004,0.058,45,27
2022011511,,,0.009,0.047,56,44
2022011512,,,0.022,0.021,46,32
2022011513,,,0.022,0.023,26,12
2022011514,,,0.029,0.018,23,22
2022011515,,,0.030,0.017,21,14
2022011516,,,0.031,0.017,28,15
2022011517,,,0.029,0.017,21,20
2022011518,,,0.020,0.028,23,17
2022011519,,,0.007,0.043,23,14
2022011520,,,0.003,0.054,30,22
2022011521,,,0.002,0.052,36,27
2022011522,,,0.002,0.046,39,22
2022011523,,,0.002,0.041,36,21
