dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022010819,0.003,0.5,0.003,0.047,30,20
2022010820,0.002,0.5,0.003,0.045,45,32
2022010821,0.002,0.5,0.006,0.040,42,25
2022010822,0.002,0.4,0.014,0.030,37,30
2022010823,0.002,0.4,0.023,0.019,29,26
2022010824,0.002,0.4,0.026,0.015,31,24
2022010901,0.002,0.4,0.027,0.014,30,25
2022010902,0.002,0.4,0.029,0.012,33,33
2022010903,0.002,0.4,0.031,0.011,31,
2022010904,0.002,0.4,0.035,0.010,36,33
2022010905,0.002,0.4,0.038,0.008,39,31
2022010906,0.002,0.4,0.041,0.008,41,35
2022010907,0.002,0.4,0.040,0.010,51,40
2022010908,0.002,0.4,0.037,0.014,53,49
2022010909,0.002,0.5,0.021,0.027,61,46
2022010910,0.003,0.5,0.026,0.022,61,50
2022010911,0.003,0.5,0.037,0.016,69,58
2022010912,0.003,0.5,0.037,0.015,69,53
2022010913,0.003,0.5,0.041,0.011,83,63
2022010914,0.003,0.5,0.044,0.010,78,66
2022010915,0.002,0.5,0.045,0.010,71,65
2022010916,0.002,0.5,0.046,0.010,69,64
2022010917,0.002,0.5,0.042,0.015,73,59
2022010918,0.002,0.6,0.023,0.033,74,63
2022010919,0.002,0.7,0.011,0.044,82,70
2022010920,0.002,0.8,0.003,0.052,92,70
2022010921,0.002,0.8,0.002,0.051,95,75
2022010922,0.002,0.6,0.003,0.048,93,75
2022010923,0.002,0.6,0.002,0.048,94,74
2022010924,0.002,0.7,0.003,0.045,86,76
2022011001,0.002,0.5,0.021,0.025,82,77
2022011002,0.002,0.5,0.022,0.022,87,72
2022011003,0.002,0.5,0.027,0.017,81,71
2022011004,0.002,0.5,0.027,0.016,85,70
2022011005,0.002,0.5,0.027,0.017,76,65
2022011006,0.002,0.5,0.018,0.023,80,70
2022011007,0.002,0.5,0.008,0.035,86,70
2022011008,0.002,0.6,0.004,0.038,83,68
2022011009,0.002,0.6,0.008,0.037,88,69
2022011010,0.002,0.5,0.009,0.038,105,75
2022011011,0.003,0.6,0.011,0.035,99,71
2022011012,0.003,0.6,0.014,0.036,109,78
2022011013,0.003,0.5,0.024,0.029,102,82
2022011014,0.004,0.5,0.024,0.035,84,68
2022011015,0.003,0.5,0.038,0.020,100,79
2022011016,0.003,0.5,0.035,0.025,67,57
2022011017,0.003,0.5,0.039,0.024,69,57
2022011018,0.003,0.5,0.015,0.047,73,63
2022011019,0.003,0.6,0.012,0.049,85,62
2022011020,0.002,0.6,0.012,0.047,87,69
2022011021,0.002,0.5,0.012,0.045,80,67
2022011022,0.002,0.5,0.016,0.039,68,58
2022011023,0.002,0.5,0.018,0.036,69,59
2022011024,0.002,0.5,0.031,0.023,76,66
2022011101,0.003,0.6,0.022,0.028,77,68
2022011102,0.003,0.5,0.023,0.020,75,69
2022011103,0.004,0.5,0.023,0.018,66,61
2022011104,0.005,0.5,0.022,0.018,71,57
2022011105,0.003,0.6,0.020,0.018,78,64
2022011106,0.003,0.5,0.021,0.018,77,63
2022011107,0.004,0.6,0.011,0.029,73,60
2022011108,0.003,0.5,0.009,0.031,78,56
2022011109,0.002,0.5,0.010,0.032,57,40
2022011110,0.002,0.4,0.018,0.020,55,43
2022011111,0.003,0.4,0.025,0.015,69,33
2022011112,0.004,0.4,0.026,0.014,73,28
2022011113,0.004,0.3,0.029,0.012,94,27
2022011114,0.004,0.3,0.030,0.013,130,17
2022011115,0.003,0.3,0.029,0.014,75,15
2022011116,0.002,0.3,0.027,0.015,57,13
2022011117,0.004,0.4,0.026,0.018,46,14
2022011118,0.003,0.3,0.024,0.019,44,16
2022011119,0.002,0.3,0.023,0.019,30,15
2022011120,0.002,0.3,0.022,0.019,22,10
2022011121,0.002,0.3,0.024,0.015,24,14
2022011122,0.003,0.3,0.025,0.014,26,11
2022011123,0.003,0.3,0.028,0.011,37,22
2022011124,0.003,0.3,0.025,0.013,44,19
2022011201,0.002,0.3,0.028,0.009,44,23
2022011202,0.002,0.3,0.027,0.010,27,14
2022011203,0.002,0.3,0.027,0.009,27,22
2022011204,0.003,0.3,0.026,0.009,29,16
2022011205,0.002,0.3,0.026,0.009,42,25
2022011206,0.002,0.3,0.025,0.010,38,18
2022011207,0.001,0.3,0.019,0.016,32,20
2022011208,0.003,0.5,0.013,0.022,32,22
2022011209,0.003,0.4,0.014,0.021,52,24
2022011210,0.002,0.3,0.019,0.018,81,28
2022011211,0.003,0.3,0.023,0.015,65,23
2022011212,0.003,0.3,0.025,0.014,47,18
2022011213,0.003,0.3,0.027,0.013,35,17
2022011214,0.004,0.5,0.027,0.015,22,15
2022011215,0.005,0.3,0.027,0.017,27,17
2022011216,0.004,0.3,0.027,0.016,36,14
2022011217,0.004,0.3,0.023,0.020,39,14
2022011218,0.002,0.3,0.017,0.026,41,17
2022011219,0.002,0.4,0.013,0.030,41,20
2022011220,0.002,0.3,0.016,0.025,39,19
2022011221,0.002,0.3,0.018,0.023,25,17
2022011222,0.003,0.4,0.021,0.019,30,18
2022011223,0.002,0.3,0.019,0.019,47,25
2022011224,0.002,0.3,0.024,0.013,49,33
2022011301,0.002,0.3,0.028,0.010,33,26
2022011302,0.002,0.3,0.030,0.009,27,20
2022011303,0.003,0.4,0.028,0.010,31,18
2022011304,0.002,0.3,0.027,0.010,29,22
2022011305,0.002,0.3,0.027,0.010,24,16
2022011306,0.002,0.3,0.025,0.013,26,19
2022011307,0.002,0.4,0.016,0.022,27,17
2022011308,0.003,0.4,0.006,0.032,38,25
2022011309,0.004,0.4,0.008,0.031,36,21
2022011310,0.004,0.4,0.009,0.030,42,24
2022011311,0.004,0.4,0.019,0.020,60,30
2022011312,0.005,0.4,0.023,0.016,73,27
2022011313,0.005,0.4,0.026,0.012,56,30
2022011314,0.004,0.3,0.025,0.014,57,24
2022011315,0.005,0.3,0.024,0.015,46,25
2022011316,,,,,58,19
2022011317,0.004,0.3,0.020,0.017,85,52
2022011318,0.003,0.4,0.018,0.020,42,21
2022011319,0.002,0.3,0.021,0.017,31,17
2022011320,0.003,0.3,0.019,0.017,28,14
2022011321,0.002,0.3,0.020,0.016,28,13
2022011322,0.003,0.3,0.025,0.011,25,18
2022011323,0.002,0.3,0.025,0.011,28,14
2022011324,0.002,0.3,0.026,0.010,25,12
2022011401,0.002,0.3,0.025,0.009,20,13
2022011402,0.002,0.3,0.026,0.008,18,10
2022011403,0.002,0.3,0.025,0.008,17,11
2022011404,0.002,0.3,0.023,0.009,20,16
2022011405,0.002,0.3,0.023,0.009,31,17
2022011406,0.002,0.4,0.019,0.013,28,17
2022011407,0.002,0.4,0.010,0.023,35,22
2022011408,0.002,0.4,0.009,0.026,29,18
2022011409,0.003,0.4,0.009,0.027,30,16
2022011410,0.003,0.4,0.016,0.022,43,21
2022011411,0.004,0.4,0.019,0.018,48,23
2022011412,0.004,0.4,0.022,0.017,55,21
2022011413,0.004,0.3,0.027,0.013,47,22
2022011414,0.004,0.4,0.026,0.014,47,16
2022011415,0.006,0.4,0.024,0.018,50,19
2022011416,0.005,0.4,0.022,0.021,41,23
2022011417,0.005,0.4,0.018,0.026,40,17
2022011418,0.003,0.4,0.009,0.035,38,21
2022011419,0.003,0.5,0.003,0.044,37,21
