dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022010819,0.002,0.5,0.023,0.026,37,30
2022010820,0.002,0.4,0.015,0.031,29,21
2022010821,0.002,0.4,0.012,0.028,25,23
2022010822,0.002,0.5,0.008,0.030,27,23
2022010823,0.002,0.5,0.009,0.028,28,20
2022010824,0.002,0.4,0.013,0.023,27,25
2022010901,0.002,0.5,0.008,0.027,22,22
2022010902,0.002,0.5,0.011,0.025,25,18
2022010903,0.002,0.5,0.017,0.021,27,22
2022010904,0.002,0.5,0.025,0.014,29,27
2022010905,0.002,0.5,0.025,0.015,39,36
2022010906,0.002,0.7,0.010,0.030,50,40
2022010907,0.002,0.7,0.007,0.030,51,39
2022010908,0.002,0.6,0.007,0.030,52,43
2022010909,0.002,0.6,0.014,0.023,54,44
2022010910,0.002,0.6,0.019,0.023,60,49
2022010911,0.003,0.6,0.032,0.018,64,55
2022010912,0.003,0.5,0.040,0.014,69,57
2022010913,0.003,0.6,0.036,0.020,64,50
2022010914,0.003,0.5,0.041,0.016,67,54
2022010915,0.003,0.5,0.044,0.015,67,55
2022010916,0.003,0.5,0.039,0.021,66,58
2022010917,0.003,0.6,0.033,0.027,68,63
2022010918,0.003,0.6,0.026,0.030,71,63
2022010919,0.002,0.6,0.012,0.040,75,55
2022010920,0.002,0.6,0.024,0.024,69,55
2022010921,0.002,0.6,0.023,0.022,63,53
2022010922,0.002,0.6,0.017,0.026,69,59
2022010923,0.002,0.6,0.020,0.022,68,63
2022010924,0.002,0.6,0.012,0.026,72,61
2022011001,0.002,0.6,0.012,0.024,69,67
2022011002,0.002,0.6,0.015,0.020,65,60
2022011003,0.002,0.6,0.014,0.021,70,62
2022011004,0.002,0.6,0.014,0.020,67,60
2022011005,0.002,0.6,0.012,0.021,67,58
2022011006,0.002,0.6,0.008,0.023,64,58
2022011007,0.002,0.6,0.006,0.026,64,61
2022011008,0.002,0.6,0.003,0.030,65,57
2022011009,0.003,0.6,0.003,0.032,65,60
2022011010,0.003,0.6,0.004,0.035,74,59
2022011011,0.003,0.6,0.011,0.034,95,62
2022011012,0.003,0.5,0.019,0.030,82,60
2022011013,0.003,0.6,0.021,0.035,74,52
2022011014,0.003,0.5,0.028,0.032,69,52
2022011015,0.003,0.5,0.036,0.026,69,44
2022011016,0.003,0.5,0.034,0.030,57,46
2022011017,,,,,64,46
2022011018,0.003,0.5,0.021,0.041,79,56
2022011019,0.002,0.7,0.008,0.053,69,52
2022011020,0.002,0.7,0.002,0.053,87,78
2022011021,0.002,0.6,0.007,0.038,75,58
2022011022,0.002,0.6,0.005,0.036,62,54
2022011023,0.002,0.6,0.005,0.034,67,55
2022011024,0.002,0.6,0.018,0.029,65,59
2022011101,0.002,0.6,0.030,0.019,66,58
2022011102,0.002,0.6,0.022,0.022,75,66
2022011103,0.002,0.5,0.021,0.020,71,67
2022011104,0.002,0.5,0.030,0.012,71,62
2022011105,0.002,0.5,0.031,0.012,65,59
2022011106,0.002,0.5,0.029,0.014,55,47
2022011107,0.002,0.5,0.024,0.017,39,38
2022011108,0.002,0.5,0.026,0.017,45,36
2022011109,0.002,0.5,0.025,0.017,39,36
2022011110,0.002,0.5,0.026,0.015,35,29
2022011111,0.002,0.4,0.033,0.009,42,32
2022011112,0.002,0.4,0.031,0.008,45,28
2022011113,0.002,0.3,0.036,0.008,38,28
2022011114,0.002,0.3,0.037,0.008,25,13
2022011115,0.002,0.3,0.036,0.008,24,11
2022011116,0.002,0.3,0.035,0.009,26,12
2022011117,0.002,0.3,0.032,0.010,15,10
2022011118,0.002,0.3,0.027,0.015,20,10
2022011119,0.002,0.3,0.030,0.013,8,8
2022011120,0.002,0.3,0.033,0.009,7,6
2022011121,0.002,0.3,0.035,0.007,12,5
2022011122,0.002,0.3,0.032,0.008,11,7
2022011123,0.002,0.3,0.033,0.006,12,8
2022011124,0.002,0.3,0.034,0.006,12,8
2022011201,0.002,0.3,0.035,0.005,8,6
2022011202,0.002,0.3,0.035,0.005,10,6
2022011203,0.002,0.3,0.035,0.004,7,6
2022011204,0.002,0.3,0.035,0.005,7,4
2022011205,0.002,0.3,0.035,0.005,10,6
2022011206,0.002,0.3,0.030,0.010,10,7
2022011207,0.002,0.3,0.023,0.017,8,6
2022011208,0.005,0.3,0.010,0.031,10,7
2022011209,0.002,0.3,0.015,0.026,15,9
2022011210,0.002,0.3,0.029,0.012,18,7
2022011211,0.002,0.3,0.031,0.011,10,6
2022011212,0.002,0.3,0.033,0.009,7,4
2022011213,0.002,0.3,0.033,0.008,7,2
2022011214,0.002,0.3,0.036,0.006,10,2
2022011215,0.002,0.3,0.035,0.008,10,6
2022011216,0.002,0.3,0.035,0.009,8,8
2022011217,0.002,0.3,0.031,0.014,14,10
2022011218,0.002,0.3,0.024,0.021,10,8
2022011219,0.002,0.3,0.024,0.020,8,
2022011220,0.002,0.4,0.025,0.018,13,9
2022011221,0.002,0.3,0.029,0.013,12,12
2022011222,0.002,0.3,0.028,0.013,14,8
2022011223,0.002,0.3,0.032,0.009,14,9
2022011224,0.002,0.3,0.031,0.009,15,9
2022011301,0.002,0.3,0.033,0.006,13,
2022011302,0.002,0.3,0.034,0.004,22,13
2022011303,0.002,0.3,0.035,0.004,19,10
2022011304,0.002,0.3,0.036,0.003,14,10
2022011305,0.002,0.3,0.035,0.004,16,10
2022011306,0.002,0.4,0.031,0.007,13,9
2022011307,0.003,0.4,0.028,0.009,23,16
2022011308,0.003,0.5,0.016,0.021,27,22
2022011309,0.003,0.4,0.021,0.018,37,27
2022011310,0.003,0.4,0.026,0.014,36,29
2022011311,0.003,0.4,0.030,0.010,38,27
2022011312,0.003,0.4,0.031,0.008,37,28
2022011313,0.003,0.4,0.033,0.007,32,22
2022011314,0.002,0.3,0.032,0.007,25,15
2022011315,0.002,0.3,0.032,0.007,20,11
2022011316,0.002,0.3,0.031,0.008,19,9
2022011317,0.002,0.3,0.031,0.009,20,8
2022011318,0.002,0.3,0.031,0.010,16,8
2022011319,0.002,0.3,0.030,0.010,15,9
2022011320,0.002,0.3,0.031,0.008,14,11
2022011321,0.002,0.3,0.031,0.008,10,10
2022011322,0.002,0.3,0.031,0.007,15,8
2022011323,0.002,0.3,0.032,0.006,10,9
2022011324,0.002,0.3,0.033,0.004,12,7
2022011401,0.002,0.3,0.033,0.004,14,5
2022011402,0.002,0.3,0.029,0.007,13,4
2022011403,0.002,0.3,0.031,0.004,11,5
2022011404,0.002,0.3,0.030,0.005,11,3
2022011405,0.002,0.3,0.027,0.008,11,5
2022011406,0.002,0.4,0.015,0.020,10,7
