dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,0.003,0.8,0.002,0.078,94,73
2022011021,0.003,0.8,0.002,0.074,95,77
2022011022,0.003,0.7,0.004,0.066,97,72
2022011023,0.003,0.7,0.011,0.054,88,64
2022011024,0.003,0.6,0.028,0.033,88,71
2022011101,0.003,0.6,0.019,0.037,92,72
2022011102,0.003,0.6,0.020,0.028,89,80
2022011103,0.003,0.5,0.020,0.025,81,66
2022011104,0.002,0.5,0.023,0.019,76,63
2022011105,0.002,0.5,0.021,0.024,66,55
2022011106,0.002,0.5,0.019,0.026,71,55
2022011107,0.002,0.5,0.009,0.041,68,50
2022011108,0.002,0.6,0.004,0.047,65,56
2022011109,0.002,0.6,0.009,0.040,57,46
2022011110,0.002,0.5,0.021,0.024,58,42
2022011111,0.002,0.4,0.026,0.020,55,32
2022011112,0.002,0.4,0.028,0.015,46,26
2022011113,0.002,0.3,0.032,0.015,52,27
2022011114,0.002,0.3,0.033,0.015,38,10
2022011115,0.002,0.3,0.030,0.017,30,9
2022011116,0.002,0.3,0.029,0.019,25,10
2022011117,0.002,0.3,0.029,0.019,25,7
2022011118,0.002,0.3,0.024,0.024,21,10
2022011119,0.002,0.4,0.018,0.030,19,11
2022011120,0.001,0.3,0.022,0.024,18,11
2022011121,0.001,0.3,0.025,0.018,18,14
2022011122,0.001,0.3,0.023,0.019,18,8
2022011123,0.001,0.3,0.025,0.016,18,5
2022011124,0.001,0.3,0.030,0.011,20,13
2022011201,0.001,0.3,0.031,0.009,12,9
2022011202,0.001,0.3,0.032,0.008,15,8
2022011203,0.001,0.3,0.032,0.007,15,7
2022011204,0.001,0.3,0.030,0.010,14,8
2022011205,0.001,0.3,0.026,0.012,17,11
2022011206,0.001,0.3,0.021,0.019,20,12
2022011207,0.001,0.3,0.011,0.033,18,15
2022011208,0.001,0.4,0.008,0.038,22,14
2022011209,0.001,0.4,0.011,0.036,19,13
2022011210,0.001,0.4,0.016,0.029,27,16
2022011211,0.001,0.4,0.020,0.026,41,26
2022011212,0.002,0.4,0.024,0.022,24,14
2022011213,0.002,0.3,0.028,0.017,25,12
2022011214,,,,,23,13
2022011215,,,,,23,14
2022011216,0.002,0.3,0.027,0.022,18,11
2022011217,0.001,0.3,0.023,0.027,18,9
2022011218,0.001,0.4,0.012,0.040,19,12
2022011219,0.001,0.4,0.008,0.044,26,15
2022011220,0.002,0.5,0.004,0.052,27,17
2022011221,0.002,0.5,0.004,0.049,34,20
2022011222,0.002,0.4,0.009,0.038,34,20
2022011223,0.001,0.4,0.018,0.025,26,15
2022011224,0.001,0.4,0.021,0.019,23,17
2022011301,0.001,0.3,0.025,0.014,27,14
2022011302,0.001,0.3,0.030,0.010,24,13
2022011303,0.001,0.3,0.029,0.011,16,10
2022011304,0.001,0.3,0.030,0.010,14,10
2022011305,0.001,0.3,0.025,0.015,12,8
2022011306,0.002,0.3,0.013,0.028,15,10
2022011307,0.002,0.4,0.004,0.042,21,11
2022011308,0.002,0.4,0.004,0.045,24,11
2022011309,0.002,0.5,0.006,0.045,27,12
2022011310,0.002,0.5,0.013,0.034,38,22
2022011311,0.002,0.5,0.017,0.029,46,34
2022011312,0.002,0.5,0.023,0.021,42,24
2022011313,0.002,0.4,0.028,0.015,46,27
2022011314,0.002,0.4,0.027,0.017,42,20
2022011315,0.002,0.3,0.026,0.017,29,10
2022011316,0.002,0.3,0.027,0.016,30,12
2022011317,0.002,0.3,0.027,0.015,31,16
2022011318,0.001,0.4,0.021,0.023,28,12
2022011319,0.001,0.4,0.016,0.029,25,15
2022011320,0.001,0.4,0.017,0.026,21,15
2022011321,0.001,0.4,0.017,0.025,21,11
2022011322,0.001,0.4,0.016,0.027,24,7
2022011323,0.001,0.3,0.020,0.020,21,9
2022011324,0.001,0.3,0.022,0.017,16,8
2022011401,0.001,0.3,0.023,0.014,20,7
2022011402,0.001,0.3,0.025,0.011,15,9
2022011403,0.001,0.3,0.026,0.009,15,7
2022011404,0.001,0.3,0.022,0.012,15,8
2022011405,0.001,0.3,0.020,0.015,15,7
2022011406,0.001,0.4,0.013,0.024,16,9
2022011407,0.001,0.4,0.009,0.030,19,11
2022011408,0.001,0.4,0.009,0.031,27,14
2022011409,0.001,0.4,0.007,0.038,20,10
2022011410,0.001,0.4,0.010,0.036,34,12
2022011411,0.002,0.4,0.019,0.025,38,15
2022011412,0.002,0.4,0.024,0.020,26,12
2022011413,0.002,0.4,0.025,0.021,27,9
2022011414,0.002,0.4,0.028,0.018,23,11
2022011415,0.002,0.4,0.024,0.025,22,12
2022011416,0.002,0.4,0.019,0.032,22,12
2022011417,0.002,0.4,0.015,0.039,24,12
2022011418,0.002,0.5,0.007,0.049,26,16
2022011419,0.003,0.6,0.002,0.062,31,16
2022011420,0.002,0.7,0.002,0.064,41,24
2022011421,0.002,0.7,0.002,0.066,35,24
2022011422,0.003,0.8,0.001,0.067,41,24
2022011423,0.004,0.7,0.001,0.065,42,20
2022011424,0.003,0.7,0.001,0.059,49,27
2022011501,0.002,0.7,0.001,0.055,42,19
2022011502,0.002,0.6,0.001,0.051,35,22
2022011503,0.002,0.5,0.001,0.045,43,23
2022011504,0.002,0.5,,0.045,34,20
2022011505,0.002,0.5,,0.042,30,19
2022011506,0.002,0.5,,0.046,35,20
2022011507,0.002,0.5,,0.048,27,21
2022011508,0.003,0.6,,0.056,37,22
2022011509,0.003,0.6,0.002,0.053,44,23
2022011510,0.004,0.6,0.003,0.054,57,31
2022011511,0.004,0.6,0.006,0.048,56,34
2022011512,0.005,0.6,0.010,0.043,53,35
2022011513,0.006,0.6,0.018,0.033,53,32
2022011514,0.004,0.5,0.025,0.026,35,20
2022011515,0.003,0.4,0.028,0.025,33,21
2022011516,0.003,0.4,0.026,0.028,23,13
2022011517,0.002,0.4,0.021,0.034,28,17
2022011518,0.003,0.5,0.007,0.053,24,9
2022011519,0.003,0.7,0.002,0.064,30,19
2022011520,0.003,0.8,0.001,0.068,38,24
2022011521,0.003,0.8,0.001,0.066,49,27
2022011522,0.003,0.8,0.001,0.064,48,30
2022011523,0.002,0.7,0.001,0.058,44,25
2022011524,0.002,0.7,0.001,0.054,40,22
2022011601,0.002,0.7,0.002,0.054,33,17
2022011602,0.002,0.6,0.002,0.052,41,26
2022011603,0.002,0.6,0.001,0.050,34,24
2022011604,0.002,0.5,0.001,0.047,36,22
2022011605,0.002,0.5,0.001,0.046,36,27
2022011606,0.002,0.5,0.002,0.045,38,33
2022011607,0.002,0.6,0.001,0.047,41,30
2022011608,0.003,0.6,0.001,0.050,39,30
2022011609,0.003,0.6,0.003,0.050,45,31
2022011610,0.003,0.5,0.015,0.035,48,31
2022011611,0.004,0.5,0.022,0.026,42,28
2022011612,0.003,0.5,0.030,0.018,56,39
2022011613,0.003,0.5,0.034,0.016,65,45
2022011614,0.003,0.4,0.037,0.013,68,42
2022011615,0.002,0.4,0.037,0.013,53,32
2022011616,0.002,0.4,0.036,0.016,35,21
2022011617,0.003,0.4,0.033,0.020,36,22
2022011618,0.002,0.4,0.024,0.028,39,25
2022011619,0.002,0.4,0.016,0.034,33,15
2022011620,0.002,0.4,0.017,0.030,33,18
2022011621,0.002,0.4,0.021,0.024,27,12
2022011622,0.002,0.4,0.020,0.024,24,19
2022011623,0.002,0.3,0.026,0.015,25,13
2022011624,0.001,0.3,0.027,0.012,21,9
2022011701,0.001,0.3,0.028,0.010,22,12
2022011702,0.001,0.3,0.027,0.011,20,17
2022011703,0.001,0.3,0.027,0.010,22,5
2022011704,0.001,0.3,0.028,0.009,16,6
2022011705,0.001,0.3,0.024,0.014,17,7
2022011706,0.002,0.3,0.013,0.029,13,7
2022011707,0.002,0.3,0.004,0.043,17,9
2022011708,0.002,0.4,0.004,0.047,26,10
2022011709,0.002,0.4,0.006,0.043,24,9
2022011710,0.002,0.4,0.012,0.035,20,10
2022011711,0.002,0.4,0.018,0.029,25,11
2022011712,0.002,0.3,0.027,0.019,22,10
2022011713,0.002,0.3,0.031,0.015,19,9
2022011714,,,,,21,12
2022011715,,,,,17,8
2022011716,0.002,0.3,0.027,0.023,19,9
2022011717,0.002,0.3,0.022,0.029,22,14
2022011718,0.002,0.3,0.022,0.029,26,12
2022011719,0.002,0.4,0.009,0.044,30,13
2022011720,0.002,0.4,0.013,0.037,38,20
2022011721,0.002,0.4,0.015,0.033,34,24
2022011722,0.002,0.4,0.010,0.038,40,28
2022011723,0.002,0.4,0.017,0.027,37,27
2022011724,0.002,0.4,0.025,0.017,29,25
2022011801,0.002,0.3,0.032,0.010,32,22
2022011802,0.002,0.3,0.030,0.012,24,24
2022011803,0.001,0.3,0.033,0.009,17,17
2022011804,0.001,0.3,0.032,0.012,15,14
2022011805,0.001,0.3,0.033,0.010,11,8
2022011806,0.001,0.3,0.020,0.025,10,5
2022011807,0.002,0.3,0.011,0.036,10,6
2022011808,0.002,0.4,0.010,0.037,11,5
2022011809,0.002,0.4,0.008,0.041,19,8
2022011810,0.002,0.4,0.016,0.031,30,17
2022011811,0.002,0.4,0.024,0.022,23,11
2022011812,0.002,0.4,0.025,0.022,25,11
2022011813,0.002,0.4,0.028,0.020,28,13
2022011814,0.002,0.4,0.028,0.021,22,11
2022011815,0.002,0.4,0.026,0.024,19,10
2022011816,0.002,0.4,0.024,0.029,21,8
2022011817,0.002,0.4,0.021,0.033,21,15
2022011818,0.002,0.4,0.012,0.044,26,15
2022011819,0.002,0.5,0.005,0.055,23,13
2022011820,0.002,0.6,0.003,0.062,19,15
2022011821,0.002,0.6,0.002,0.064,29,9
2022011822,0.004,0.6,0.001,0.061,32,19
2022011823,0.008,0.5,0.001,0.058,38,27
2022011824,0.003,0.5,0.001,0.054,40,26
2022011901,0.002,0.4,0.002,0.045,33,21
2022011902,0.002,0.5,0.001,0.046,29,15
2022011903,0.002,0.5,0.001,0.044,32,17
2022011904,0.002,0.4,0.005,0.034,28,18
2022011905,0.002,0.4,0.003,0.036,25,16
2022011906,0.002,0.4,0.002,0.042,24,19
2022011907,0.002,0.4,0.002,0.042,32,21
2022011908,0.002,0.5,0.001,0.052,34,17
2022011909,0.003,0.6,0.002,0.057,39,22
2022011910,0.002,0.5,0.006,0.046,50,26
2022011911,0.002,0.5,0.012,0.038,48,28
2022011912,0.002,0.5,0.018,0.032,52,27
2022011913,0.002,0.5,0.023,0.027,56,35
2022011914,0.002,0.4,0.029,0.025,55,36
2022011915,0.003,0.4,0.027,0.028,55,37
2022011916,0.003,0.5,0.023,0.033,49,34
2022011917,0.003,0.5,0.017,0.041,59,33
2022011918,0.003,0.5,0.013,0.046,55,37
2022011919,0.003,0.6,0.002,0.062,54,29
2022011920,0.003,0.6,0.002,0.060,47,33
2022011921,0.004,0.6,0.006,0.050,50,31
2022011922,0.003,0.5,0.016,0.036,50,28
2022011923,0.002,0.4,0.032,0.018,43,28
2022011924,0.002,0.4,0.034,0.015,31,27
2022012001,0.002,0.4,0.040,0.010,38,32
2022012002,0.002,0.4,0.038,0.010,46,45
2022012003,0.002,0.4,0.033,0.011,47,38
2022012004,0.002,0.4,0.031,0.011,42,36
2022012005,0.001,0.4,0.028,0.013,32,25
2022012006,0.001,0.4,0.022,0.020,28,19
2022012007,0.001,0.4,0.010,0.035,27,25
2022012008,0.001,0.5,0.005,0.044,31,29
2022012009,0.002,0.5,0.007,0.041,43,29
2022012010,0.001,0.5,0.012,0.034,51,36
2022012011,0.002,0.5,0.017,0.030,48,34
2022012012,0.002,0.5,0.020,0.029,51,32
2022012013,0.002,0.4,0.026,0.023,48,30
2022012014,0.002,0.3,0.032,0.018,35,24
2022012015,0.002,0.3,0.036,0.014,19,11
2022012016,0.002,0.3,0.033,0.017,17,11
2022012017,0.002,0.3,0.030,0.020,17,9
2022012018,0.002,0.4,0.016,0.038,19,11
2022012019,0.002,0.5,0.011,0.045,18,11
2022012020,0.003,0.5,0.007,0.047,17,9
2022012021,0.002,0.4,0.021,0.025,23,14
2022012022,0.002,0.4,0.014,0.035,16,14
2022012023,0.002,0.6,0.002,0.054,18,14
2022012024,0.002,0.5,0.001,0.053,24,16
2022012101,0.001,0.5,0.001,0.049,27,14
2022012102,0.001,0.5,0.001,0.045,20,18
2022012103,0.001,0.5,0.002,0.043,36,21
2022012104,0.001,0.5,0.001,0.041,25,9
2022012105,0.001,0.5,0.002,0.040,34,20
2022012106,0.002,0.5,0.001,0.045,28,13
2022012107,0.002,0.5,0.001,0.053,31,19
2022012108,0.002,0.6,0.001,0.064,35,22
2022012109,0.002,0.7,0.002,0.063,43,29
2022012110,0.002,0.6,0.005,0.053,51,26
2022012111,0.002,0.5,0.008,0.049,46,30
2022012112,0.002,0.5,0.012,0.044,49,32
2022012113,0.002,0.4,0.018,0.037,43,24
2022012114,0.003,0.4,0.029,0.023,32,19
2022012115,0.003,0.3,0.035,0.016,23,8
2022012116,0.003,0.3,0.036,0.017,17,6
2022012117,0.003,0.4,0.030,0.026,17,7
2022012118,0.003,0.5,0.008,0.054,19,10
2022012119,0.003,0.6,0.002,0.071,34,20
2022012120,0.003,0.8,0.002,0.071,37,21
2022012121,0.003,0.8,0.002,0.073,36,23
2022012122,0.003,0.7,0.001,0.068,39,23
2022012123,0.002,0.8,0.001,0.067,35,17
2022012124,0.002,0.8,0.001,0.069,29,20
2022012201,0.002,0.7,0.001,0.063,30,20
2022012202,0.002,0.6,0.001,0.058,26,22
2022012203,0.002,0.5,0.001,0.052,27,14
2022012204,0.002,0.5,,0.050,24,18
2022012205,0.002,0.5,,0.046,36,23
2022012206,0.002,0.5,,0.048,36,22
2022012207,0.002,0.6,,0.068,37,28
2022012208,0.003,0.8,,0.074,44,25
2022012209,0.002,0.6,0.002,0.058,40,28
2022012210,0.003,0.7,0.003,0.064,45,29
2022012211,0.003,0.5,0.011,0.046,49,31
2022012212,0.004,0.5,0.016,0.045,30,14
2022012213,0.004,0.3,0.041,0.011,49,30
2022012214,0.004,0.3,0.041,0.011,11,2
2022012215,0.004,0.3,0.039,0.014,15,3
2022012216,0.004,0.3,0.041,0.011,12,4
2022012217,0.003,0.3,0.037,0.016,9,5
2022012218,0.003,0.4,0.025,0.028,12,6
2022012219,0.003,0.6,0.005,0.053,17,9
2022012220,0.003,0.7,0.001,0.059,23,12
2022012221,0.003,0.7,0.001,0.060,29,15
2022012222,0.003,0.8,0.001,0.059,33,14
2022012223,0.003,0.8,0.001,0.058,27,14
2022012224,0.003,0.8,0.001,0.062,24,14
2022012301,0.002,0.7,0.001,0.058,27,13
2022012302,0.002,0.7,,0.055,32,20
2022012303,0.002,0.6,,0.053,25,18
2022012304,0.002,0.5,,0.047,21,15
2022012305,0.002,0.5,,0.047,25,19
2022012306,0.002,0.5,,0.048,25,13
2022012307,0.002,0.6,,0.052,30,19
2022012308,0.003,0.6,,0.058,29,20
2022012309,0.003,0.7,0.002,0.059,30,19
2022012310,0.003,0.6,0.003,0.051,34,25
2022012311,0.003,0.5,0.008,0.043,43,27
2022012312,0.003,0.5,0.014,0.039,45,32
2022012313,0.004,0.4,0.030,0.022,51,31
2022012314,0.005,0.3,0.039,0.013,27,15
2022012315,0.007,0.4,0.041,0.016,24,14
2022012316,0.006,0.4,0.038,0.019,30,17
2022012317,0.005,0.4,0.036,0.021,31,22
2022012318,0.005,0.4,0.035,0.020,24,17
2022012319,0.004,0.4,0.032,0.020,30,15
2022012320,0.005,0.4,0.031,0.021,29,17
2022012321,0.003,0.4,0.034,0.016,33,24
2022012322,0.003,0.3,0.039,0.010,31,19
2022012323,0.003,0.3,0.041,0.008,27,13
2022012324,0.003,0.4,0.043,0.006,28,18
2022012401,0.003,0.4,0.043,0.005,33,17
2022012402,0.003,0.4,0.043,0.005,25,17
2022012403,0.002,0.4,0.043,0.006,25,17
2022012404,0.002,0.4,0.041,0.006,22,12
2022012405,0.002,0.3,0.039,0.007,17,12
2022012406,0.002,0.3,0.034,0.013,11,8
2022012407,0.002,0.3,0.033,0.015,10,8
2022012408,0.002,0.3,0.027,0.023,19,8
2022012409,0.002,0.3,0.031,0.019,20,10
2022012410,0.002,0.3,0.034,0.016,25,11
2022012411,0.002,0.3,0.033,0.018,30,10
2022012412,0.002,0.3,0.034,0.017,22,10
2022012413,0.002,0.3,0.033,0.019,23,7
2022012414,0.002,0.3,0.036,0.015,23,9
2022012415,0.002,0.3,0.036,0.015,22,8
2022012416,0.002,0.3,0.033,0.016,24,6
2022012417,0.002,0.3,0.030,0.020,22,7
2022012418,,,,,,
2022012419,0.002,0.3,0.029,0.020,,
2022012420,0.002,0.3,0.031,0.018,20,10
2022012421,0.002,0.3,0.031,0.017,18,12
2022012422,0.002,0.3,0.030,0.017,16,12
2022012423,0.002,0.3,0.024,0.024,16,8
2022012424,0.002,0.4,0.010,0.037,14,9
2022012501,0.002,0.3,0.014,0.031,20,11
2022012502,0.002,0.3,0.018,0.026,23,12
2022012503,0.002,0.3,0.011,0.032,20,11
2022012504,0.002,0.3,0.007,0.037,21,16
2022012505,0.002,0.3,0.007,0.036,26,17
2022012506,0.002,0.4,0.003,0.045,30,15
2022012507,0.003,0.4,0.002,0.054,26,16
2022012508,0.003,0.5,0.002,0.059,34,18
2022012509,0.002,0.6,0.003,0.058,37,26
2022012510,0.003,0.6,0.003,0.061,40,22
2022012511,0.003,0.5,0.005,0.059,48,27
2022012512,0.003,0.5,0.009,0.050,45,27
2022012513,0.003,0.4,0.013,0.045,46,24
2022012514,0.003,0.4,0.014,0.043,44,23
2022012515,0.003,0.4,0.014,0.043,34,18
2022012516,0.003,0.4,0.013,0.044,37,15
2022012517,0.003,0.4,0.007,0.052,38,21
2022012518,0.003,0.4,0.007,0.053,46,22
2022012519,0.003,0.4,0.010,0.048,38,24
2022012520,0.003,0.5,0.015,0.041,37,21
2022012521,0.003,0.5,0.012,0.044,35,22
2022012522,0.004,0.5,0.011,0.042,37,25
2022012523,0.004,0.6,0.009,0.042,40,28
2022012524,0.003,0.6,0.009,0.040,41,30
2022012601,0.003,0.6,0.015,0.031,43,30
2022012602,0.003,0.5,0.023,0.022,43,31
2022012603,0.002,0.5,0.030,0.017,41,32
2022012604,0.002,0.5,0.030,0.016,41,31
2022012605,0.002,0.5,0.024,0.021,46,38
2022012606,0.002,0.5,0.014,0.030,47,40
2022012607,0.002,0.5,0.011,0.036,43,35
2022012608,0.002,0.6,0.004,0.052,45,42
2022012609,0.002,0.6,0.010,0.049,53,37
2022012610,0.002,0.6,0.016,0.041,56,40
2022012611,0.002,0.5,0.027,0.027,67,51
2022012612,0.003,0.6,0.029,0.028,57,44
2022012613,0.003,0.6,0.033,0.029,66,44
2022012614,0.003,0.5,0.040,0.025,59,41
2022012615,0.003,0.5,0.041,0.026,60,41
2022012616,0.003,0.5,0.041,0.028,59,42
2022012617,0.003,0.6,0.035,0.036,58,42
2022012618,0.003,0.6,0.024,0.048,63,43
2022012619,0.003,0.7,0.012,0.059,62,49
2022012620,0.003,0.7,0.003,0.073,59,49
2022012621,0.003,0.8,0.002,0.075,71,54
2022012622,0.004,0.7,0.002,0.073,72,50
2022012623,0.003,0.7,0.004,0.059,86,61
2022012624,0.002,0.6,0.015,0.041,74,52
2022012701,0.002,0.6,0.012,0.043,74,59
2022012702,0.002,0.6,0.022,0.031,74,58
2022012703,0.002,0.6,0.021,0.031,75,60
2022012704,0.002,0.6,0.024,0.027,74,67
2022012705,0.002,0.6,0.022,0.027,77,65
2022012706,0.002,0.7,0.014,0.037,80,65
2022012707,0.002,0.7,0.005,0.049,80,68
2022012708,0.003,0.8,0.003,0.056,92,71
2022012709,0.003,0.9,0.003,0.064,93,76
2022012710,0.003,0.8,0.008,0.055,106,79
2022012711,0.003,0.7,0.014,0.047,94,74
2022012712,0.003,0.6,0.020,0.041,88,68
2022012713,0.003,0.6,0.029,0.033,81,57
2022012714,0.003,0.5,0.037,0.026,71,51
2022012715,0.003,0.5,0.039,0.026,51,30
2022012716,0.003,0.4,0.040,0.025,48,35
2022012717,0.003,0.5,0.025,0.043,41,30
2022012718,0.003,0.6,0.017,0.050,46,34
2022012719,0.004,0.7,0.003,0.069,48,35
2022012720,0.003,0.7,0.002,0.072,52,33
2022012721,0.003,0.8,0.002,0.077,61,38
2022012722,0.004,0.8,0.002,0.078,62,48
2022012723,0.003,0.7,0.002,0.070,71,45
2022012724,0.003,0.5,0.002,0.057,64,46
2022012801,0.003,0.6,0.002,0.056,57,36
2022012802,0.003,0.5,0.006,0.044,51,39
2022012803,0.003,0.4,0.019,0.025,46,32
2022012804,0.002,0.4,0.021,0.022,35,27
2022012805,0.002,0.4,0.019,0.023,36,27
