dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,0.003,0.6,0.013,0.050,91,73
2022011021,0.003,0.6,0.017,0.044,92,74
2022011022,0.003,0.6,0.027,0.033,78,66
2022011023,0.003,0.6,0.040,0.019,77,66
2022011024,0.003,0.6,0.042,0.015,84,72
2022011101,0.003,0.6,0.019,0.031,83,69
2022011102,0.003,0.5,0.022,0.022,83,65
2022011103,0.003,0.5,0.030,0.012,76,65
2022011104,0.003,0.5,0.030,0.012,63,51
2022011105,0.003,0.5,0.026,0.014,63,55
2022011106,0.003,0.5,0.028,0.013,66,58
2022011107,0.002,0.5,0.027,0.016,66,58
2022011108,0.003,0.5,0.018,0.025,52,43
2022011109,0.003,0.5,0.018,0.025,51,39
2022011110,0.002,0.5,0.027,0.014,43,35
2022011111,0.003,0.4,0.031,0.011,49,29
2022011112,0.002,0.3,0.031,0.009,67,26
2022011113,0.002,0.3,0.035,0.007,87,25
2022011114,,,,,67,16
2022011115,,,,,69,10
2022011116,0.002,0.3,0.030,0.012,55,8
2022011117,0.002,0.3,0.031,0.011,54,12
2022011118,0.002,0.3,0.033,0.009,27,
2022011119,0.002,0.3,0.033,0.009,25,10
2022011120,0.002,0.3,0.033,0.008,18,9
2022011121,0.002,0.3,0.031,0.009,20,12
2022011122,0.002,0.3,0.032,0.007,18,8
2022011123,0.002,0.3,0.033,0.006,22,9
2022011124,0.002,0.3,0.033,0.006,60,10
2022011201,0.002,0.3,0.033,0.006,34,10
2022011202,0.002,0.3,0.032,0.006,16,11
2022011203,0.002,0.3,0.031,0.006,19,7
2022011204,0.002,0.3,0.031,,13,8
2022011205,0.002,0.3,0.031,0.007,16,11
2022011206,0.002,0.3,0.027,0.009,18,12
2022011207,0.002,0.3,0.023,0.014,15,9
2022011208,0.002,0.3,0.016,0.021,20,9
2022011209,0.002,0.3,0.015,0.027,27,17
2022011210,0.002,0.3,0.022,0.020,30,18
2022011211,0.002,0.3,0.027,0.014,58,18
2022011212,0.002,0.3,0.030,0.012,60,14
2022011213,0.002,0.3,0.032,0.010,23,12
2022011214,0.002,0.3,0.035,0.008,17,11
2022011215,0.002,0.3,0.036,0.008,20,7
2022011216,0.002,0.3,0.033,0.011,21,8
2022011217,0.002,0.3,0.030,0.013,27,9
2022011218,0.002,0.3,0.026,0.018,20,12
2022011219,0.002,0.3,0.024,0.019,22,14
2022011220,0.002,0.3,0.021,0.023,18,13
2022011221,0.002,0.3,0.023,0.020,24,13
2022011222,0.002,0.3,0.029,0.012,21,14
2022011223,0.002,0.3,0.030,0.010,17,14
2022011224,0.002,0.3,0.032,0.007,21,15
2022011301,0.002,0.3,0.032,0.007,22,15
2022011302,0.002,0.3,0.033,0.006,19,11
2022011303,0.002,0.3,0.033,0.006,17,9
2022011304,0.002,0.3,0.033,0.006,12,9
2022011305,0.002,0.3,0.034,0.006,14,6
2022011306,0.002,0.3,0.032,0.008,18,7
2022011307,0.003,0.4,0.027,0.012,13,9
2022011308,0.003,0.4,0.013,0.028,24,13
2022011309,0.003,0.4,0.017,0.024,31,18
2022011310,0.003,0.4,0.017,0.024,37,20
2022011311,0.003,0.4,0.027,0.014,47,24
2022011312,0.003,0.4,0.030,0.009,65,28
2022011313,0.003,0.4,0.033,0.007,68,26
2022011314,0.002,0.3,0.033,0.007,69,18
2022011315,0.002,0.3,0.032,0.007,33,13
2022011316,0.002,0.3,0.031,0.008,25,9
2022011317,0.002,0.3,0.031,0.008,27,11
2022011318,0.002,0.3,0.030,0.009,24,15
2022011319,0.002,0.3,0.031,0.008,31,8
2022011320,0.002,0.3,0.027,0.011,22,8
2022011321,0.002,0.3,0.027,0.012,14,10
2022011322,0.002,0.3,0.030,0.008,18,10
2022011323,0.002,0.3,0.031,0.007,19,10
2022011324,0.002,0.3,0.031,0.006,15,9
2022011401,0.002,0.3,0.031,0.006,8,
2022011402,0.002,0.3,0.030,0.005,13,9
2022011403,0.002,0.3,0.030,0.005,11,7
2022011404,0.002,0.3,0.029,0.005,12,9
2022011405,0.002,0.3,0.029,0.005,14,8
2022011406,0.002,0.3,0.026,0.008,17,11
2022011407,0.002,0.3,0.020,0.014,17,12
2022011408,0.002,0.4,0.016,0.019,19,14
2022011409,0.003,0.4,0.016,0.020,30,14
2022011410,0.003,0.4,0.022,0.015,26,10
2022011411,0.003,0.4,0.024,0.014,25,12
2022011412,0.003,0.4,0.028,0.011,33,15
2022011413,0.003,0.3,0.031,0.009,32,10
2022011414,0.003,0.3,0.032,0.009,29,8
2022011415,0.003,0.3,0.031,0.011,37,12
2022011416,0.003,0.3,0.032,0.011,26,9
2022011417,0.003,0.3,0.030,0.014,27,16
2022011418,0.002,0.3,0.024,0.021,21,15
2022011419,0.002,0.4,0.012,0.034,21,12
2022011420,0.003,0.5,0.002,0.044,28,17
2022011421,0.004,0.5,0.002,0.044,38,25
2022011422,0.003,0.5,0.002,0.041,33,19
2022011423,0.005,0.5,0.002,0.042,41,26
2022011424,0.005,0.5,0.002,0.041,31,21
2022011501,0.006,0.5,0.002,0.040,38,25
2022011502,0.005,0.4,,0.039,34,24
2022011503,0.004,0.4,0.003,0.036,30,17
2022011504,0.004,0.4,0.006,0.031,28,24
2022011505,0.004,0.4,0.003,0.034,29,26
2022011506,0.004,0.4,0.005,0.032,26,23
2022011507,0.004,0.4,0.004,0.033,30,20
2022011508,0.004,0.4,0.003,0.034,32,25
2022011509,0.004,0.4,0.006,0.032,45,24
2022011510,0.004,0.4,0.012,0.026,52,32
2022011511,0.003,0.4,0.018,0.021,47,27
2022011512,0.004,0.4,0.019,0.023,45,28
2022011513,0.004,0.4,0.021,0.022,42,28
2022011514,0.006,0.5,0.023,0.023,49,30
2022011515,0.005,0.5,0.024,0.025,51,28
2022011516,0.005,0.5,0.024,0.026,40,25
2022011517,0.005,0.5,0.017,0.033,39,21
2022011518,0.004,0.5,0.004,0.046,30,24
2022011519,0.004,0.5,0.005,0.046,45,29
2022011520,0.004,0.6,0.002,0.047,46,30
2022011521,0.003,0.5,0.002,0.045,46,34
2022011522,0.004,0.5,0.002,0.045,50,44
2022011523,0.005,0.5,0.002,0.044,44,27
2022011524,0.006,0.5,0.002,0.041,40,30
2022011601,0.006,0.5,0.002,0.038,44,34
2022011602,0.007,0.5,,0.038,37,29
2022011603,0.005,0.5,,0.039,43,37
2022011604,0.004,0.5,,0.036,39,39
2022011605,0.006,0.5,,0.034,36,31
2022011606,0.006,0.5,0.006,0.031,31,29
2022011607,0.005,0.5,0.002,0.034,36,35
2022011608,0.005,0.5,0.002,0.033,37,29
2022011609,0.004,0.7,0.004,0.035,44,29
2022011610,0.005,0.6,0.014,0.029,48,32
2022011611,0.006,0.5,0.029,0.016,48,32
2022011612,0.005,0.5,0.036,0.009,48,29
2022011613,0.004,0.4,0.040,0.009,62,39
2022011614,0.003,0.4,0.041,0.009,55,41
2022011615,0.003,0.4,0.041,0.009,63,36
2022011616,0.002,0.4,0.041,0.009,49,23
2022011617,0.002,0.4,0.040,0.008,43,21
2022011618,0.002,0.3,0.038,0.008,35,27
2022011619,0.002,0.3,0.034,0.010,32,22
2022011620,0.002,0.3,0.032,0.010,30,16
2022011621,0.002,0.3,0.032,0.008,19,9
2022011622,0.002,0.3,0.033,0.007,17,8
2022011623,0.002,0.3,0.033,0.005,22,14
2022011624,0.002,0.3,0.030,0.006,22,8
2022011701,0.002,0.3,0.030,0.006,19,7
2022011702,0.002,0.3,0.033,0.005,17,7
2022011703,0.002,0.3,0.033,0.005,18,10
2022011704,0.002,0.3,0.034,0.004,16,9
2022011705,0.002,0.3,0.032,0.005,14,9
2022011706,0.002,0.3,0.027,0.011,13,6
2022011707,0.003,0.3,0.015,0.023,10,7
2022011708,0.003,0.3,0.004,0.037,17,12
2022011709,0.003,0.4,0.006,0.036,40,10
2022011710,0.003,0.3,0.012,0.029,46,13
2022011711,0.003,0.3,0.026,0.015,41,13
2022011712,0.002,0.3,0.029,0.011,28,10
2022011713,0.002,0.3,0.030,0.010,20,10
2022011714,0.002,0.3,0.031,0.011,25,7
2022011715,0.002,0.3,0.029,0.015,37,9
2022011716,0.002,0.3,0.031,0.013,22,7
2022011717,0.002,0.3,0.033,0.012,29,14
2022011718,0.002,0.3,0.034,0.009,33,14
2022011719,0.002,0.3,0.035,0.008,30,13
2022011720,0.002,0.3,0.036,0.007,27,20
2022011721,0.002,0.4,0.029,0.015,41,18
2022011722,0.002,0.4,0.030,0.011,29,25
2022011723,0.002,0.4,0.032,0.007,24,19
2022011724,0.002,0.4,0.032,0.007,18,15
2022011801,0.002,0.3,0.035,0.005,20,13
2022011802,0.002,0.3,0.032,0.006,20,12
2022011803,0.002,0.3,0.034,0.005,19,16
2022011804,0.002,0.3,0.035,0.005,20,12
2022011805,0.002,0.3,0.035,0.005,12,7
2022011806,0.002,0.3,0.032,0.008,9,8
2022011807,0.003,0.3,0.027,0.013,9,7
2022011808,0.003,0.3,0.024,0.017,9,8
2022011809,0.003,0.3,0.023,0.018,17,8
2022011810,0.003,0.4,0.024,0.016,28,10
2022011811,0.003,0.3,0.028,0.013,31,13
2022011812,0.003,0.3,0.031,0.010,29,11
2022011813,0.003,0.3,0.033,0.009,34,10
2022011814,0.003,0.3,0.032,0.011,27,8
2022011815,0.003,0.3,0.034,0.009,43,8
2022011816,0.003,0.3,0.033,0.011,26,8
2022011817,0.003,0.3,0.033,0.012,27,7
2022011818,0.002,0.3,0.028,0.017,19,8
2022011819,0.002,0.3,0.024,0.021,19,12
2022011820,0.002,0.4,0.006,0.041,19,12
2022011821,0.003,0.4,0.007,0.038,30,15
2022011822,0.002,0.4,0.007,0.037,31,14
2022011823,0.003,0.4,0.002,0.041,27,16
2022011824,0.004,0.4,0.006,0.035,29,18
2022011901,0.003,0.4,0.011,0.027,25,20
2022011902,0.003,0.4,0.013,0.023,22,20
2022011903,0.003,0.4,0.014,0.019,20,14
2022011904,0.003,0.4,0.012,0.021,21,14
2022011905,0.004,0.4,0.007,0.027,21,18
2022011906,0.003,0.4,0.011,0.023,22,17
2022011907,0.003,0.4,0.011,0.025,27,16
2022011908,0.003,0.4,0.010,0.028,32,20
2022011909,0.003,0.4,0.011,0.029,56,20
2022011910,0.003,0.4,0.014,0.027,56,27
2022011911,0.003,0.4,0.022,0.019,65,34
2022011912,,,,,64,36
2022011913,0.003,0.4,0.028,0.021,64,34
2022011914,0.003,0.4,0.028,0.022,67,43
2022011915,0.003,0.4,0.028,0.020,64,36
2022011916,0.003,0.4,0.030,0.021,54,33
2022011917,0.003,0.4,0.031,0.019,46,27
2022011918,0.003,0.4,0.023,0.026,45,25
2022011919,0.004,0.5,0.011,0.041,44,28
2022011920,0.005,0.5,0.007,0.044,57,40
2022011921,0.005,0.6,0.016,0.032,44,32
2022011922,0.004,0.4,0.031,0.016,46,32
2022011923,0.002,0.4,0.041,0.006,33,18
2022011924,0.003,0.4,0.041,0.007,37,28
2022012001,0.003,0.4,0.042,0.006,40,35
2022012002,0.003,0.4,0.038,0.006,43,35
2022012003,0.002,0.4,0.033,0.007,55,41
2022012004,0.002,0.4,0.032,0.007,39,28
2022012005,0.002,0.4,0.031,0.007,33,26
2022012006,0.002,0.4,0.031,0.008,25,25
2022012007,0.002,0.4,0.024,0.015,33,27
2022012008,0.002,0.4,0.019,0.022,27,25
2022012009,0.003,0.4,0.018,0.022,40,28
2022012010,0.003,0.4,0.022,0.018,45,29
2022012011,0.003,0.4,0.025,0.016,52,31
2022012012,0.003,0.4,0.028,0.014,49,32
2022012013,0.003,0.4,0.031,0.012,44,29
2022012014,0.003,0.4,0.034,0.010,38,26
2022012015,0.002,0.3,0.036,0.010,36,18
2022012016,0.002,0.3,0.037,0.009,30,17
2022012017,0.002,0.3,0.034,0.011,21,11
2022012018,0.002,0.3,0.027,0.018,23,12
2022012019,0.002,0.4,0.020,0.025,23,10
2022012020,0.003,0.4,0.004,0.042,22,17
2022012021,0.003,0.4,0.005,0.041,29,19
2022012022,0.004,0.4,0.004,0.042,31,24
2022012023,0.004,0.4,0.004,0.041,29,16
2022012024,0.003,0.4,0.008,0.034,30,23
2022012101,0.003,0.4,0.010,0.030,30,19
2022012102,0.003,0.4,0.009,0.030,32,23
2022012103,0.003,0.4,0.007,0.029,31,20
2022012104,0.003,0.4,0.012,0.022,26,20
2022012105,0.003,0.4,0.010,0.025,23,18
2022012106,0.003,0.4,0.007,0.028,27,19
2022012107,0.003,0.4,0.003,0.033,29,21
2022012108,0.004,0.4,0.003,0.035,29,25
2022012109,0.004,0.4,0.005,0.033,47,27
2022012110,0.004,0.4,0.011,0.029,47,27
2022012111,0.003,0.4,0.018,0.024,46,25
2022012112,0.003,0.4,0.022,0.021,45,26
2022012113,0.003,0.4,0.027,0.020,45,23
2022012114,0.003,0.3,0.039,0.011,33,23
2022012115,0.003,0.3,0.041,0.010,14,8
2022012116,0.003,0.3,0.040,0.011,13,12
2022012117,0.003,0.3,0.036,0.015,11,9
2022012118,0.003,0.4,0.026,0.025,18,11
2022012119,0.003,0.5,0.012,0.041,37,12
2022012120,0.003,0.6,0.002,0.052,37,22
2022012121,0.003,0.5,0.002,0.051,41,19
2022012122,0.004,0.5,0.003,0.050,45,24
2022012123,0.004,0.5,0.004,0.046,46,30
2022012124,0.004,0.5,0.005,0.042,38,30
2022012201,0.004,0.5,0.004,0.039,37,27
2022012202,0.003,0.4,0.008,0.031,36,31
2022012203,0.003,0.4,0.008,0.031,35,19
2022012204,0.003,0.4,0.010,0.028,28,22
2022012205,0.003,0.4,0.011,0.026,32,25
2022012206,0.003,0.4,0.010,0.026,28,24
2022012207,0.003,0.4,0.006,0.032,27,
2022012208,0.004,0.5,0.003,0.035,32,29
2022012209,0.004,0.5,0.006,0.034,63,31
2022012210,0.004,0.5,0.009,0.032,57,40
2022012211,0.005,0.4,0.018,0.026,69,33
2022012212,0.005,0.4,0.022,0.024,53,30
2022012213,0.005,0.3,0.030,0.020,34,21
2022012214,0.005,0.3,0.041,0.012,22,14
2022012215,0.004,0.3,0.042,0.010,14,6
2022012216,0.004,0.3,0.041,0.011,12,2
2022012217,0.003,0.3,0.040,0.011,9,4
2022012218,0.003,0.3,0.034,0.016,12,9
2022012219,0.003,0.4,0.018,0.031,13,7
2022012220,0.003,0.4,0.010,0.038,19,9
2022012221,0.002,0.4,0.007,0.037,25,10
2022012222,0.003,0.4,0.003,0.040,21,14
2022012223,0.003,0.4,0.004,0.041,27,20
2022012224,0.003,0.4,0.007,0.035,30,25
2022012301,0.003,0.4,0.007,0.032,24,16
2022012302,0.003,0.4,0.012,0.025,27,19
2022012303,0.003,0.4,0.014,0.020,25,20
2022012304,0.002,0.4,0.013,0.020,23,16
2022012305,0.003,0.4,0.013,0.020,27,17
2022012306,0.003,0.4,0.010,0.021,26,18
2022012307,0.003,0.4,0.013,0.019,27,21
