dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,0.005,0.4,0.012,0.067,70,51
2022011021,0.005,0.4,0.019,0.055,68,48
2022011022,0.005,0.4,0.006,0.075,63,50
2022011023,0.005,0.4,0.010,0.064,69,53
2022011024,0.005,0.5,0.010,0.061,80,54
2022011101,0.005,0.5,0.011,0.057,81,59
2022011102,0.006,0.5,0.007,0.058,79,
2022011103,0.005,0.4,0.015,0.041,81,67
2022011104,0.004,0.3,0.020,0.033,55,47
2022011105,0.004,0.4,0.021,0.030,46,38
2022011106,0.005,0.4,0.016,0.038,47,41
2022011107,0.006,0.4,0.013,0.041,54,43
2022011108,0.004,0.4,0.012,0.039,51,39
2022011109,0.005,0.4,0.014,0.035,42,33
2022011110,0.004,0.3,0.020,0.028,40,27
2022011111,0.004,0.3,0.024,0.023,72,30
2022011112,0.005,0.2,0.022,0.025,68,20
2022011113,0.004,0.2,0.024,0.024,43,20
2022011114,,,,,100,18
2022011115,0.004,0.2,0.026,0.022,36,2
2022011116,0.004,0.2,0.024,0.026,44,7
2022011117,0.005,0.2,0.020,0.031,33,8
2022011118,0.005,0.3,0.015,0.035,24,7
2022011119,0.004,0.3,0.022,0.026,23,11
2022011120,0.004,0.3,0.022,0.025,19,10
2022011121,0.004,0.3,0.014,0.034,22,10
2022011122,0.004,0.3,0.018,0.028,22,13
2022011123,0.003,0.3,0.016,0.029,18,13
2022011124,0.003,0.3,0.014,0.031,17,9
2022011201,0.003,0.3,0.018,0.028,19,12
2022011202,0.002,0.2,0.023,0.020,25,10
2022011203,0.002,0.2,0.022,0.021,20,7
2022011204,0.002,0.2,0.028,0.015,17,10
2022011205,0.002,0.2,0.027,0.013,19,8
2022011206,0.002,0.2,0.033,0.008,21,12
2022011207,0.002,0.3,0.024,0.017,15,10
2022011208,0.002,0.3,0.018,0.024,21,12
2022011209,0.003,0.3,0.013,0.035,19,10
2022011210,0.003,0.3,0.012,0.036,20,15
2022011211,0.003,0.3,0.022,0.023,25,14
2022011212,0.002,0.3,0.028,0.018,21,15
2022011213,0.003,0.2,0.032,0.014,23,10
2022011214,0.003,0.3,0.029,0.019,18,9
2022011215,0.004,0.3,0.024,0.026,21,11
2022011216,0.004,0.3,0.023,0.028,28,13
2022011217,0.004,0.3,0.022,0.029,17,13
2022011218,0.004,0.3,0.011,0.043,17,9
2022011219,0.004,0.3,0.003,0.062,23,13
2022011220,0.004,0.3,0.008,0.047,42,17
2022011221,0.004,0.3,0.011,0.041,25,16
2022011222,0.004,0.3,0.012,0.038,27,14
2022011223,0.004,0.3,0.006,0.044,25,14
2022011224,0.003,0.3,0.008,0.042,22,18
2022011301,0.004,0.3,0.015,0.033,27,18
2022011302,0.004,0.3,0.018,0.030,27,
2022011303,0.003,0.3,0.024,0.021,20,
2022011304,0.003,0.3,0.017,0.030,19,10
2022011305,0.004,0.3,0.015,0.033,22,13
2022011306,0.003,0.3,0.021,0.025,21,16
2022011307,0.003,0.3,0.017,0.029,24,13
2022011308,0.003,0.4,0.004,0.051,27,12
2022011309,0.004,0.4,0.003,0.059,41,20
2022011310,0.004,0.4,0.007,0.050,46,27
2022011311,0.004,0.4,0.016,0.038,46,27
2022011312,0.004,0.4,0.028,0.018,55,25
2022011313,0.004,0.3,0.025,0.023,36,22
2022011314,0.005,0.3,0.024,0.027,41,17
2022011315,0.004,0.3,0.026,0.021,41,12
2022011316,0.004,0.3,0.028,0.019,47,12
2022011317,0.004,0.3,0.020,0.028,24,10
2022011318,0.004,0.3,0.017,0.030,26,12
2022011319,0.004,0.3,0.013,0.034,27,13
2022011320,0.003,0.3,0.015,0.032,21,12
2022011321,0.003,0.3,0.013,0.034,23,12
2022011322,0.003,0.3,0.011,0.037,24,10
2022011323,0.004,0.3,0.011,0.035,20,11
2022011324,0.002,0.3,0.018,0.024,20,10
2022011401,0.003,0.3,0.017,0.025,18,9
2022011402,0.003,0.3,0.012,0.031,18,10
2022011403,0.003,0.3,0.013,0.029,19,8
2022011404,0.003,0.3,0.014,0.026,17,13
2022011405,0.003,0.3,0.010,0.034,20,12
2022011406,0.003,0.3,0.010,0.032,22,14
2022011407,0.003,0.3,0.016,0.022,25,14
2022011408,0.003,0.3,0.017,0.022,20,10
2022011409,0.003,0.3,0.013,0.032,22,11
2022011410,0.005,0.3,0.012,0.035,24,13
2022011411,0.003,0.3,0.021,0.025,24,14
2022011412,0.003,0.3,0.023,0.024,24,12
2022011413,0.004,0.3,0.026,0.023,20,11
2022011414,0.004,0.3,0.024,0.028,19,10
2022011415,0.005,0.3,0.025,0.030,20,9
2022011416,0.004,0.3,0.024,0.034,15,12
2022011417,0.005,0.3,0.016,0.045,20,11
2022011418,0.004,0.3,0.011,0.046,19,8
2022011419,0.005,0.3,0.004,0.060,19,10
2022011420,0.005,0.4,0.002,0.089,22,9
2022011421,0.007,0.6,0.002,0.103,38,13
2022011422,0.006,0.5,0.002,0.099,49,22
2022011423,0.006,0.5,0.002,0.096,51,27
2022011424,0.004,0.4,0.002,0.067,55,31
2022011501,0.003,0.4,0.004,0.049,42,27
2022011502,0.003,0.4,0.004,0.053,30,
2022011503,0.003,0.4,0.002,0.052,33,
2022011504,0.003,0.4,0.002,0.053,40,
2022011505,0.003,0.4,0.002,0.056,37,
2022011506,0.003,0.4,0.002,0.053,33,
2022011507,0.004,0.4,0.002,0.055,41,
2022011508,0.005,0.6,0.002,0.084,35,
2022011509,0.006,0.6,,0.075,49,
2022011510,0.006,0.5,0.005,0.052,47,
2022011511,0.007,0.5,0.008,0.050,42,
2022011512,0.008,0.5,0.018,0.036,36,
