dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,0.003,0.7,0.013,0.051,82,64
2022011021,0.003,0.7,0.014,0.050,88,62
2022011022,0.003,0.6,0.014,0.047,78,60
2022011023,0.003,0.6,0.029,0.029,73,62
2022011024,0.004,0.6,0.040,0.019,72,61
2022011101,0.004,0.6,0.038,0.016,74,61
2022011102,0.004,0.5,0.030,0.017,78,59
2022011103,0.004,0.5,0.028,0.017,82,68
2022011104,0.003,0.5,0.028,0.015,80,59
2022011105,0.003,0.5,0.031,0.013,70,53
2022011106,0.003,0.5,0.032,0.012,53,42
2022011107,0.003,0.5,0.029,0.013,50,40
2022011108,0.003,0.5,0.028,0.014,48,37
2022011109,0.003,0.5,0.026,0.015,39,31
2022011110,0.003,0.5,0.029,0.012,42,28
2022011111,0.003,0.4,0.031,0.011,51,28
2022011112,0.003,0.4,0.029,0.010,44,26
2022011113,0.003,0.4,0.033,0.008,48,24
2022011114,0.003,0.3,0.034,0.008,36,17
2022011115,0.003,0.3,0.035,0.007,38,13
2022011116,0.003,0.3,0.035,0.007,34,13
2022011117,0.003,0.3,0.033,0.008,24,8
2022011118,0.003,0.4,0.031,0.011,25,9
2022011119,0.003,0.4,0.027,0.014,14,8
2022011120,0.003,0.4,0.030,0.011,18,12
2022011121,0.003,0.4,0.030,0.010,11,10
2022011122,0.003,0.3,0.032,0.008,12,8
2022011123,0.003,0.3,0.031,0.008,21,11
2022011124,0.003,0.4,0.032,0.008,15,10
2022011201,0.003,0.3,0.032,0.007,11,11
2022011202,0.003,0.3,0.032,0.007,11,9
2022011203,0.003,0.3,0.034,0.006,16,7
2022011204,0.003,0.3,0.033,0.005,8,7
2022011205,0.003,0.3,0.034,0.005,10,8
2022011206,0.003,0.3,0.032,0.006,10,8
2022011207,0.003,0.3,0.031,0.008,13,9
2022011208,0.003,0.3,0.030,0.010,10,8
2022011209,0.003,0.3,0.029,0.011,19,8
2022011210,0.003,0.3,0.027,0.012,14,9
2022011211,0.003,0.3,0.031,0.010,14,11
2022011212,0.003,0.4,0.029,0.011,17,8
2022011213,0.003,0.4,0.033,0.009,7,6
2022011214,0.003,0.3,0.033,0.009,12,6
2022011215,0.003,0.4,0.032,0.010,11,5
2022011216,0.003,0.4,0.033,0.010,13,4
2022011217,0.003,0.4,0.032,0.012,17,9
2022011218,0.003,0.4,0.029,0.014,16,11
2022011219,0.003,0.4,0.024,0.020,18,12
2022011220,0.003,0.4,0.026,0.017,21,11
2022011221,0.003,0.4,0.027,0.015,17,14
2022011222,0.004,0.4,0.027,0.014,22,13
2022011223,0.003,0.4,0.030,0.010,17,11
2022011224,0.003,0.3,0.031,0.008,20,14
2022011301,0.003,0.3,0.032,0.007,16,15
2022011302,0.003,0.3,0.034,0.006,21,17
2022011303,0.003,0.3,0.035,0.005,25,11
2022011304,0.004,0.3,0.034,0.005,11,9
2022011305,0.004,0.3,0.033,0.006,12,8
2022011306,0.004,0.3,0.032,0.007,16,10
2022011307,0.004,0.4,0.028,0.011,20,18
2022011308,0.004,0.4,0.026,0.013,25,16
2022011309,0.004,0.4,0.024,0.014,27,26
