dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,0.004,0.7,0.007,0.064,82,57
2022011021,0.003,0.7,0.003,0.065,88,63
2022011022,0.003,0.6,0.010,0.054,87,61
2022011023,0.003,0.5,0.024,0.035,72,53
2022011024,0.003,0.5,0.032,0.026,79,48
2022011101,0.003,0.5,0.028,0.025,77,63
2022011102,0.003,0.5,0.022,0.026,83,67
2022011103,0.003,0.5,0.025,0.020,82,68
2022011104,0.003,0.4,0.022,0.021,78,61
2022011105,0.003,0.4,0.026,0.019,71,61
2022011106,0.003,0.4,0.023,0.022,53,43
2022011107,0.005,0.5,0.008,0.053,52,40
2022011108,0.003,0.4,0.014,0.033,57,41
2022011109,0.003,0.5,0.016,0.031,48,35
2022011110,0.003,0.5,0.019,0.030,47,28
2022011111,0.003,0.4,0.019,0.031,58,28
2022011112,0.003,0.4,0.021,0.021,53,33
2022011113,0.003,0.3,0.025,0.020,50,33
2022011114,0.003,0.3,0.029,0.018,39,14
2022011115,0.003,0.3,0.027,0.020,43,12
2022011116,0.004,0.3,0.018,0.036,34,11
2022011117,0.003,0.3,0.016,0.036,22,8
2022011118,0.003,0.3,0.016,0.034,25,7
2022011119,0.003,0.3,0.017,0.035,19,10
2022011120,0.003,0.3,0.022,0.023,13,13
2022011121,0.002,0.3,0.024,0.019,16,9
2022011122,0.002,0.2,0.026,0.015,19,10
2022011123,0.002,0.3,0.027,0.013,30,8
2022011124,0.002,0.2,0.028,0.012,14,7
2022011201,0.002,0.2,0.032,0.008,16,9
2022011202,0.002,0.2,0.032,0.008,14,9
2022011203,0.002,0.2,0.032,0.007,14,8
2022011204,0.002,0.2,0.031,0.008,12,12
2022011205,0.002,0.2,0.029,0.011,12,11
2022011206,0.002,0.2,0.026,0.016,12,11
2022011207,0.003,0.3,0.017,0.041,10,9
2022011208,0.002,0.3,0.018,0.028,13,10
2022011209,0.002,0.4,0.011,0.040,20,8
2022011210,0.003,0.3,0.017,0.036,21,11
2022011211,0.003,0.3,0.018,0.033,16,10
2022011212,0.003,0.3,0.024,0.023,17,7
2022011213,0.003,0.3,0.023,0.024,18,8
2022011214,0.003,0.3,0.023,0.024,16,8
2022011215,0.003,0.3,0.021,0.028,13,9
2022011216,0.003,0.4,0.021,0.029,17,13
2022011217,0.003,0.3,0.017,0.035,21,8
2022011218,0.003,0.3,0.016,0.038,16,12
2022011219,0.003,0.3,0.020,0.027,22,10
2022011220,0.003,0.3,0.014,0.035,20,15
2022011221,0.003,0.3,0.019,0.028,24,13
2022011222,0.002,0.3,0.023,0.022,22,11
2022011223,0.002,0.3,0.024,0.019,24,11
2022011224,0.002,0.3,0.026,0.015,26,11
2022011301,0.002,0.3,0.027,0.012,23,14
2022011302,0.002,0.3,0.030,0.010,23,14
2022011303,0.002,0.2,0.031,0.009,14,10
2022011304,0.002,0.2,0.029,0.011,11,10
2022011305,0.002,0.3,0.024,0.017,12,12
2022011306,0.003,0.3,0.017,0.026,14,12
2022011307,0.005,0.4,0.007,0.052,21,14
2022011308,0.003,0.4,0.008,0.038,24,17
2022011309,0.004,0.5,0.006,0.047,28,14
2022011310,0.003,0.4,0.012,0.035,43,21
