dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022010819,0.004,0.4,0.009,0.037,21,18
2022010820,0.004,0.4,0.008,0.038,30,19
2022010821,0.004,0.6,0.003,0.039,33,18
2022010822,0.004,0.6,0.003,0.036,39,27
2022010823,0.004,0.5,0.004,0.034,39,23
2022010824,0.004,0.4,0.020,0.020,32,26
2022010901,0.004,0.4,0.032,0.012,31,23
2022010902,0.004,0.4,0.032,0.014,35,28
2022010903,0.004,0.4,0.045,0.007,40,29
2022010904,0.004,0.4,0.043,0.008,54,42
2022010905,0.004,0.4,0.043,0.009,54,46
2022010906,0.004,0.4,0.037,0.013,59,48
2022010907,0.004,0.4,0.033,0.018,63,49
2022010908,0.004,0.5,0.015,0.031,75,54
2022010909,0.004,0.6,0.008,0.035,72,54
2022010910,0.004,0.6,0.014,0.031,80,55
2022010911,0.004,0.5,0.029,0.020,74,55
2022010912,0.004,0.5,0.034,0.016,75,57
2022010913,0.004,0.4,0.040,0.014,74,56
2022010914,0.004,0.4,0.042,0.014,67,50
2022010915,0.004,0.4,0.042,0.016,66,53
2022010916,0.004,0.4,0.042,0.017,67,55
2022010917,0.004,0.4,0.041,0.018,69,55
2022010918,0.004,0.5,0.030,0.027,70,54
2022010919,0.004,0.6,0.018,0.037,70,58
2022010920,0.004,0.7,0.004,0.047,75,57
2022010921,0.004,0.6,0.007,0.041,85,60
2022010922,0.004,0.5,0.010,0.036,78,58
2022010923,0.004,0.6,0.007,0.038,77,61
2022010924,0.004,0.7,0.003,0.038,78,63
2022011001,0.004,0.6,0.005,0.033,80,61
2022011002,0.004,0.6,0.010,0.028,79,61
2022011003,0.004,0.5,0.016,0.023,75,60
2022011004,0.004,0.5,0.016,0.023,69,63
2022011005,0.004,0.5,0.009,0.028,71,60
2022011006,0.004,0.5,0.007,0.029,74,59
2022011007,0.004,0.6,0.002,0.030,75,61
2022011008,0.004,0.6,0.002,0.027,79,60
2022011009,0.004,0.7,0.003,0.027,87,61
2022011010,0.004,0.6,0.006,0.029,94,59
2022011011,0.005,0.6,0.006,0.030,89,61
2022011012,0.005,0.6,0.010,0.032,90,59
2022011013,0.005,0.5,0.016,0.033,87,65
2022011014,0.004,0.4,0.028,0.026,78,56
2022011015,0.005,0.4,0.033,0.023,69,45
2022011016,0.005,0.4,0.033,0.024,62,43
2022011017,0.005,0.4,0.030,0.031,58,43
2022011018,0.004,0.4,0.033,0.030,76,56
2022011019,0.004,0.5,0.028,0.034,63,48
2022011020,0.004,0.5,0.016,0.043,77,64
2022011021,0.004,0.5,0.011,0.047,86,66
2022011022,0.004,0.6,0.013,0.043,88,67
2022011023,0.004,0.5,0.018,0.037,80,60
2022011024,0.004,0.5,0.034,0.023,77,60
2022011101,0.004,0.5,0.034,0.020,80,62
2022011102,0.005,0.5,0.028,0.020,78,67
2022011103,0.004,0.4,0.028,0.018,84,70
2022011104,0.004,0.4,0.028,0.016,73,62
2022011105,0.004,0.4,0.033,0.012,78,56
2022011106,0.004,0.4,0.031,0.012,53,42
2022011107,0.004,0.4,0.024,0.018,52,41
2022011108,0.004,0.4,0.021,0.019,49,42
2022011109,0.004,0.4,0.022,0.017,42,35
2022011110,0.004,0.4,0.025,0.014,46,31
2022011111,0.004,0.4,0.027,0.013,48,31
2022011112,0.004,0.4,0.027,0.012,51,29
2022011113,0.004,0.3,0.033,0.009,48,30
2022011114,0.004,0.3,0.034,0.010,36,18
2022011115,0.004,0.3,0.033,0.010,47,20
2022011116,0.004,0.3,0.032,0.010,30,11
2022011117,0.004,0.3,0.029,0.013,29,13
2022011118,0.004,0.3,0.027,0.014,26,13
2022011119,0.003,0.3,0.029,0.012,22,11
2022011120,0.003,0.3,0.029,0.011,27,8
2022011121,0.003,0.3,0.030,0.009,15,10
2022011122,0.003,0.3,0.029,0.009,14,10
2022011123,0.003,0.3,0.031,0.007,16,16
2022011124,0.003,0.3,0.032,0.006,16,10
2022011201,0.003,0.3,0.033,0.005,14,10
2022011202,0.003,0.3,0.033,0.005,12,11
2022011203,0.003,0.3,0.033,0.004,14,9
2022011204,0.003,0.3,0.033,0.005,12,12
2022011205,0.003,0.3,0.032,0.005,12,11
2022011206,0.003,0.3,0.031,0.006,11,11
2022011207,0.003,0.3,0.027,0.010,18,12
2022011208,0.003,0.3,0.023,0.013,11,10
2022011209,0.003,0.3,0.025,0.012,15,12
2022011210,0.003,0.3,0.024,0.013,29,10
2022011211,0.003,0.3,0.026,0.012,14,8
2022011212,0.003,0.3,0.029,0.009,13,7
2022011213,,,,,14,4
2022011214,0.004,0.3,0.028,0.010,11,5
2022011215,0.004,0.3,0.028,0.011,11,3
2022011216,0.004,0.3,0.028,0.013,18,11
2022011217,0.004,0.3,0.027,0.014,17,11
2022011218,0.004,0.3,0.021,0.020,20,10
2022011219,0.004,0.3,0.020,0.021,19,13
2022011220,0.004,0.3,0.021,0.019,23,11
2022011221,0.004,0.3,0.026,0.015,19,16
2022011222,0.004,0.3,0.029,0.011,19,14
2022011223,0.004,0.3,0.030,0.009,17,13
2022011224,0.004,0.3,0.029,0.010,21,12
2022011301,0.004,0.3,0.031,0.006,24,15
2022011302,0.004,0.3,0.033,0.005,19,14
2022011303,0.004,0.3,0.034,0.005,18,12
2022011304,0.004,0.3,0.033,0.006,16,12
2022011305,0.004,0.3,0.031,0.007,12,9
2022011306,0.004,0.3,0.026,0.010,13,12
2022011307,0.004,0.3,0.019,0.016,15,15
2022011308,0.004,0.4,0.011,0.023,24,17
2022011309,0.004,0.4,0.011,0.024,31,19
2022011310,0.004,0.4,0.018,0.018,31,26
2022011311,0.004,0.4,0.024,0.014,39,27
2022011312,0.004,0.4,0.028,0.010,44,25
2022011313,0.004,0.3,0.030,0.008,46,29
2022011314,0.004,0.3,0.029,0.009,33,19
2022011315,0.004,0.3,0.029,0.008,29,12
2022011316,0.004,0.3,0.027,0.010,46,9
2022011317,0.004,0.3,0.027,0.010,29,12
2022011318,0.004,0.3,0.025,0.013,26,10
2022011319,0.004,0.3,0.023,0.014,23,15
2022011320,0.004,0.3,0.024,0.013,21,11
2022011321,0.004,0.3,0.027,0.011,16,9
2022011322,0.003,0.3,0.030,0.008,22,10
2022011323,0.003,0.3,0.030,0.007,12,10
2022011324,0.003,0.3,0.030,0.006,15,10
2022011401,0.004,0.3,0.031,0.005,17,7
2022011402,0.004,0.3,0.029,0.005,11,9
2022011403,0.004,0.3,0.028,0.006,12,9
2022011404,0.004,0.3,0.029,0.005,15,13
2022011405,0.004,0.3,0.028,0.006,15,10
2022011406,0.004,0.3,0.024,0.010,15,12
2022011407,0.004,0.3,0.020,0.015,19,13
2022011408,0.004,0.3,0.016,0.019,14,9
2022011409,0.004,0.3,0.015,0.020,20,9
2022011410,0.004,0.3,0.017,0.018,46,15
2022011411,0.004,0.3,0.022,0.015,28,15
2022011412,0.004,0.3,0.025,0.013,28,13
2022011413,0.004,0.3,0.028,0.011,26,9
2022011414,0.004,0.3,0.029,0.011,22,6
2022011415,0.004,0.3,0.027,0.013,15,7
2022011416,0.004,0.3,0.025,0.016,13,7
2022011417,0.004,0.3,0.023,0.018,17,6
2022011418,0.004,0.4,0.009,0.031,17,6
2022011419,0.004,0.5,0.003,0.033,19,9
2022011420,0.004,0.5,0.003,0.036,26,17
2022011421,0.005,0.6,0.002,0.032,29,19
2022011422,0.005,0.5,0.002,0.032,32,20
2022011423,0.004,0.5,0.002,0.032,31,19
2022011424,0.004,0.5,0.002,0.030,28,20
2022011501,0.005,0.5,0.002,0.030,30,19
2022011502,0.005,0.5,0.002,0.030,27,16
2022011503,0.005,0.4,,0.029,21,17
2022011504,0.004,0.5,,0.029,25,17
2022011505,0.005,0.5,,0.027,25,13
2022011506,0.005,0.5,,0.026,33,21
2022011507,0.005,0.5,,0.024,27,19
2022011508,0.006,0.6,,0.018,29,19
2022011509,0.007,0.7,0.003,0.019,48,18
2022011510,0.006,0.7,0.005,0.026,72,26
2022011511,0.006,0.4,0.016,0.023,74,34
2022011512,0.006,0.4,0.023,0.018,31,22
2022011513,0.006,0.4,0.023,0.020,27,14
2022011514,0.006,0.4,0.028,0.017,31,17
2022011515,0.005,0.4,0.033,0.014,24,16
2022011516,0.005,0.3,0.033,0.014,20,12
2022011517,0.004,0.3,0.028,0.019,19,13
2022011518,0.004,0.4,0.018,0.028,23,18
2022011519,0.005,0.5,0.003,0.036,20,11
2022011520,0.005,0.7,0.003,0.036,35,19
2022011521,0.005,0.8,0.003,0.033,42,26
2022011522,0.005,0.7,0.003,0.032,39,32
2022011523,0.004,0.6,0.002,0.030,44,27
2022011524,0.004,0.6,0.002,0.030,40,29
2022011601,0.004,0.6,0.002,0.029,33,22
2022011602,0.004,0.6,0.002,0.030,35,25
2022011603,0.004,0.6,0.002,0.028,36,22
2022011604,0.004,0.5,0.003,0.028,30,27
2022011605,0.004,0.5,0.006,0.026,27,23
2022011606,0.005,0.4,0.023,0.014,30,23
2022011607,0.005,0.4,0.024,0.015,25,23
2022011608,0.005,0.4,0.030,0.011,33,20
2022011609,0.005,0.4,0.030,0.012,28,21
2022011610,0.005,0.4,0.031,0.012,27,17
2022011611,0.004,0.4,0.034,0.010,35,28
2022011612,0.004,0.4,0.037,0.009,52,36
2022011613,0.004,0.4,0.038,0.009,59,37
2022011614,0.004,0.4,0.040,0.009,55,38
2022011615,0.004,0.3,0.040,0.008,50,30
2022011616,0.004,0.3,0.040,0.009,43,30
2022011617,0.004,0.4,0.038,0.010,47,26
2022011618,0.004,0.4,0.031,0.016,45,31
2022011619,0.004,0.3,0.030,0.015,33,25
2022011620,0.004,0.3,0.032,0.013,22,18
2022011621,0.004,0.3,0.032,0.011,22,15
2022011622,0.004,0.3,0.033,0.009,17,13
2022011623,0.004,0.3,0.031,0.009,20,11
2022011624,0.004,0.3,0.030,0.010,24,7
2022011701,0.004,0.3,0.031,0.007,20,12
2022011702,0.004,0.3,0.031,0.007,17,11
2022011703,0.004,0.3,0.031,0.006,18,11
2022011704,0.004,0.3,0.031,0.007,12,11
2022011705,0.004,0.3,0.029,0.009,10,
2022011706,0.004,0.3,0.026,0.012,13,10
2022011707,0.004,0.3,0.018,0.018,17,10
2022011708,0.004,0.3,0.017,0.020,17,8
2022011709,0.004,0.3,0.015,0.021,11,10
2022011710,0.004,0.3,0.020,0.017,17,11
2022011711,0.004,0.3,0.024,0.014,16,9
2022011712,0.004,0.3,0.029,0.010,15,9
2022011713,0.004,0.3,0.031,0.009,22,8
2022011714,0.004,0.3,0.031,0.010,17,7
2022011715,0.004,0.3,0.032,0.010,20,7
2022011716,0.004,0.3,0.033,0.010,20,8
2022011717,0.004,0.3,0.031,0.013,16,11
2022011718,0.004,0.3,0.029,0.014,22,13
2022011719,0.004,0.3,0.027,0.016,29,13
2022011720,0.004,0.3,0.027,0.015,29,16
2022011721,0.004,0.3,0.030,0.012,27,20
2022011722,0.004,0.3,0.029,0.012,30,20
2022011723,0.004,0.3,0.027,0.013,32,23
2022011724,0.004,0.3,0.030,0.010,28,
2022011801,0.004,0.3,0.033,0.007,27,22
2022011802,0.004,0.3,0.034,0.006,18,16
2022011803,0.004,0.3,0.036,0.005,13,13
2022011804,0.004,0.3,0.036,0.005,10,
2022011805,0.004,0.3,0.034,0.007,7,
2022011806,0.004,0.3,0.028,0.011,7,
2022011807,0.004,0.3,0.019,0.019,11,9
2022011808,0.004,0.3,0.018,0.020,12,7
2022011809,0.004,0.3,0.016,0.021,10,8
2022011810,0.004,0.3,0.021,0.017,17,9
2022011811,0.004,0.3,0.026,0.013,17,9
2022011812,,,,,,
2022011813,,,,,,
2022011814,,,,,,
2022011815,,,,,,
2022011816,,,,,,
2022011901,,,,,,
2022011902,,,,,,
2022011903,,,,,,
2022011904,,,,,,
2022011905,,,,,,
2022011906,,,,,,
2022011907,,,,,,
2022011908,,,,,,
2022011909,,,,,,
2022011910,,,,,,
2022011911,,,,,,
2022011912,,,,,,
2022011913,,,,,,
2022011914,,,,,,
2022011915,,,,,,
2022011916,,,,,,
