dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,,,0.025,0.034,73,64
2022011021,,,0.016,0.039,74,62
2022011022,,,0.006,0.052,76,61
2022011023,,,0.007,0.047,69,59
2022011024,,,0.015,0.038,70,58
2022011101,,,0.033,0.018,69,61
2022011102,,,0.031,0.015,75,71
2022011103,,,0.032,0.014,79,72
2022011104,,,0.029,0.015,67,64
2022011105,,,0.035,0.010,63,57
2022011106,,,0.032,0.011,40,36
2022011107,,,0.029,0.014,39,34
2022011108,,,0.026,0.016,35,
2022011109,,,0.029,0.013,39,37
2022011110,,,0.030,0.011,32,30
2022011111,,,0.030,0.010,42,29
2022011112,,,0.031,0.008,45,30
2022011113,,,0.034,0.008,42,32
2022011114,,,0.034,0.008,24,20
2022011115,,,0.034,0.008,27,12
2022011116,,,,,,
2022011117,,,,,,
2022011118,,,0.030,0.010,14,13
2022011119,,,0.030,0.012,13,10
2022011120,,,0.031,0.010,8,7
2022011121,,,0.031,0.009,11,6
2022011122,,,0.032,0.007,8,
2022011123,,,0.032,0.007,13,8
2022011124,,,0.034,0.005,12,
2022011201,,,0.037,0.003,9,8
2022011202,,,0.035,0.004,6,
2022011203,,,0.035,0.004,13,9
2022011204,,,0.036,0.003,10,9
2022011205,,,0.036,0.003,8,8
2022011206,,,0.035,0.004,9,9
2022011207,,,0.035,0.005,11,9
2022011208,,,0.034,0.007,11,7
2022011209,,,0.035,0.006,10,6
2022011210,,,0.036,0.005,12,5
2022011211,,,0.036,0.005,10,6
2022011212,,,0.034,0.007,8,6
2022011213,,,0.034,0.008,10,9
2022011214,,,0.035,0.007,10,5
2022011215,,,0.035,0.009,10,7
2022011216,,,0.034,0.010,16,8
2022011217,,,0.033,0.012,15,8
2022011218,,,0.031,0.015,11,11
2022011219,,,0.019,0.028,16,10
2022011220,,,0.012,0.035,19,15
2022011221,,,0.013,0.035,21,16
2022011222,,,0.029,0.014,18,15
2022011223,,,0.031,0.010,15,12
2022011224,,,0.032,0.008,18,15
2022011301,,,0.034,0.006,15,11
2022011302,,,0.035,0.004,17,16
2022011303,,,0.036,0.004,13,9
2022011304,,,0.035,0.004,14,12
2022011305,,,0.034,0.005,14,10
2022011306,,,0.032,0.006,8,
2022011307,,,0.028,0.010,22,14
2022011308,,,0.025,0.013,23,21
2022011309,,,0.029,0.009,31,27
2022011310,,,0.031,0.007,40,28
2022011311,,,0.031,0.009,34,26
2022011312,,,0.033,0.006,41,34
2022011313,,,0.034,0.005,41,24
2022011314,,,0.034,0.005,39,18
2022011315,,,0.034,0.005,25,11
2022011316,,,0.033,0.006,25,11
2022011317,,,0.033,0.007,24,11
2022011318,,,0.033,0.008,22,10
2022011319,,,0.033,0.008,19,10
2022011320,,,0.032,0.008,18,8
2022011321,,,0.030,0.011,16,10
2022011322,,,0.030,0.011,13,10
2022011323,,,0.031,0.009,17,10
2022011324,,,0.030,0.008,13,8
2022011401,,,0.033,0.004,10,7
2022011402,,,0.031,0.004,15,9
2022011403,,,0.031,0.004,12,11
2022011404,,,0.031,0.004,10,9
2022011405,,,0.030,0.005,12,
2022011406,,,0.026,0.011,13,10
2022011407,,,0.023,0.016,13,11
2022011408,,,0.026,0.015,10,8
2022011409,,,0.024,0.019,11,8
2022011410,,,0.035,0.006,12,10
2022011411,,,0.036,0.007,12,6
2022011412,,,0.035,0.007,15,4
2022011413,,,0.033,0.009,11,4
2022011414,,,0.034,0.008,12,5
2022011415,,,0.032,0.012,16,7
2022011416,,,0.035,0.009,16,7
2022011417,,,0.029,0.015,11,5
2022011418,,,0.020,0.024,14,7
2022011419,,,0.017,0.028,17,10
2022011420,,,0.003,0.049,18,14
2022011421,,,0.003,0.047,29,17
2022011422,,,0.002,0.042,29,14
2022011423,,,0.002,0.040,23,18
2022011424,,,0.002,0.038,28,15
2022011501,,,0.002,0.040,23,18
2022011502,,,0.003,0.036,19,13
2022011503,,,0.003,0.037,15,14
2022011504,,,0.004,0.035,19,11
2022011505,,,0.003,0.033,16,11
2022011506,,,0.003,0.035,17,15
2022011507,,,0.002,0.041,21,17
2022011508,,,0.003,0.044,20,16
2022011509,,,0.004,0.049,29,21
2022011510,,,0.005,0.047,45,28
2022011511,,,0.016,0.031,43,30
2022011512,,,0.026,0.020,27,19
2022011513,,,0.031,0.015,22,13
2022011514,,,0.037,0.011,18,14
2022011515,,,0.036,0.013,11,10
2022011516,,,0.036,0.014,14,14
2022011517,,,0.031,0.018,17,10
2022011518,,,0.023,0.025,22,15
2022011519,,,0.023,0.021,27,19
2022011520,,,0.020,0.023,30,26
2022011521,,,0.007,0.037,25,20
2022011522,,,0.005,0.039,24,22
2022011523,,,0.004,0.038,26,15
2022011524,,,0.003,0.038,27,25
2022011601,,,0.004,0.036,27,22
2022011602,,,0.010,0.029,26,19
2022011603,,,0.012,0.025,18,14
2022011604,,,0.011,0.027,17,16
2022011605,,,0.014,0.022,15,14
2022011606,,,0.009,0.027,11,
2022011607,,,0.010,0.030,20,16
2022011608,,,0.005,0.036,23,18
2022011609,,,0.028,0.018,23,19
2022011610,,,0.030,0.016,29,17
2022011611,,,0.038,0.008,30,25
2022011612,,,0.039,0.007,45,34
2022011613,,,0.041,0.007,54,40
2022011614,,,0.042,0.006,48,39
2022011615,,,0.041,0.008,49,41
2022011616,,,0.040,0.009,50,31
2022011617,,,0.037,0.012,48,34
2022011618,,,0.030,0.019,42,33
2022011619,,,0.022,0.025,42,32
2022011620,,,0.019,0.029,40,33
2022011621,,,0.019,0.027,28,21
2022011622,,,0.030,0.013,21,17
2022011623,,,0.032,0.010,20,13
2022011624,,,0.034,0.006,17,12
2022011701,,,0.034,0.005,15,9
2022011702,,,0.035,0.004,17,7
2022011703,,,0.035,0.004,18,9
2022011704,,,0.034,0.004,12,7
2022011705,,,0.034,0.007,9,8
2022011706,,,0.031,0.010,8,8
2022011707,,,0.033,0.008,8,6
2022011708,,,0.033,0.007,8,4
2022011709,,,0.033,0.008,10,7
2022011710,,,0.032,0.009,9,5
2022011711,,,0.034,0.007,16,6
2022011712,,,0.036,0.006,12,6
2022011713,,,0.036,0.006,10,5
2022011714,,,0.037,0.006,14,6
2022011715,,,0.038,0.006,15,6
2022011716,,,0.037,0.007,12,8
2022011717,,,0.035,0.010,20,10
2022011718,,,0.032,0.014,17,11
2022011719,,,0.029,0.019,27,15
2022011720,,,0.030,0.015,24,15
2022011721,,,0.023,0.022,26,19
2022011722,,,0.023,0.021,28,23
2022011723,,,0.028,0.015,30,22
2022011724,,,0.035,0.006,23,
2022011801,,,0.036,0.006,15,
2022011802,,,0.035,0.005,14,12
2022011803,,,0.038,0.004,15,15
2022011804,,,0.039,0.004,10,5
2022011805,,,0.034,0.007,9,7
2022011806,,,0.032,0.010,10,5
2022011807,,,0.022,0.022,7,5
2022011808,,,0.018,0.026,8,8
2022011809,,,0.019,0.025,11,
2022011810,,,0.032,0.011,10,8
2022011811,,,0.034,0.009,11,6
2022011812,,,,,13,5
2022011813,,,0.033,0.009,13,10
2022011814,,,0.033,0.010,14,9
2022011815,,,0.032,0.011,13,5
2022011816,,,0.032,0.012,17,9
2022011817,,,0.029,0.016,12,7
2022011818,,,0.020,0.026,9,6
2022011819,,,0.018,0.024,18,10
2022011820,,,0.021,0.020,22,18
2022011821,,,0.009,0.035,22,14
2022011822,,,0.003,0.042,21,12
2022011823,,,0.003,0.041,29,16
2022011824,,,0.002,0.040,27,18
2022011901,,,0.004,0.034,24,18
2022011902,,,0.004,0.032,21,17
2022011903,,,0.006,0.029,22,18
2022011904,,,0.007,0.027,16,12
2022011905,,,0.009,0.027,20,12
2022011906,,,0.004,0.034,22,18
2022011907,,,0.002,0.039,26,19
2022011908,,,0.003,0.045,30,16
2022011909,,,0.004,0.048,41,25
2022011910,,,0.007,0.044,53,29
2022011911,,,0.013,0.033,54,32
2022011912,,,0.019,0.029,48,33
2022011913,,,0.031,0.016,47,34
2022011914,,,0.035,0.013,45,29
2022011915,,,0.038,0.013,42,30
2022011916,,,0.036,0.016,48,27
2022011917,,,0.035,0.019,43,32
2022011918,,,0.018,0.037,38,28
2022011919,,,0.022,0.029,54,41
2022011920,,,0.022,0.028,40,31
2022011921,,,0.012,0.039,35,28
2022011922,,,0.021,0.028,36,31
2022011923,,,0.034,0.011,36,27
2022011924,,,0.036,0.011,27,26
2022012001,,,0.041,0.007,33,31
2022012002,,,0.039,0.007,39,
2022012003,,,0.035,0.007,43,39
2022012004,,,0.034,0.008,27,26
2022012005,,,0.031,0.009,19,
2022012006,,,0.029,0.011,19,19
2022012007,,,0.016,0.026,19,
2022012008,,,0.004,0.042,26,23
2022012009,,,0.007,0.040,31,22
2022012010,,,0.021,0.023,36,19
2022012011,,,0.032,0.011,22,17
2022012012,,,0.035,0.009,23,13
2022012013,,,0.036,0.009,23,10
2022012014,,,0.036,0.009,16,12
2022012015,,,0.036,0.010,13,10
