dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011013,0.003,0.5,0.021,0.042,97,63
2022011014,0.003,0.4,0.042,0.018,73,54
2022011015,0.003,0.5,0.033,0.032,61,37
2022011016,0.003,0.5,0.039,0.027,74,55
2022011017,0.003,0.5,0.036,0.032,69,47
2022011018,0.004,0.5,0.028,0.041,68,50
2022011019,0.003,0.6,0.019,0.047,73,62
2022011020,0.003,0.5,0.031,0.033,77,58
2022011021,0.003,0.5,0.037,0.025,75,64
2022011022,0.003,0.5,0.033,0.027,69,48
2022011023,0.003,0.5,0.045,0.016,67,53
2022011024,0.004,0.6,0.052,0.011,71,51
2022011101,0.003,0.5,0.034,0.020,77,64
2022011102,0.003,0.5,0.029,0.017,85,72
2022011103,0.002,0.4,0.030,0.013,82,69
2022011104,0.002,0.5,0.028,0.013,78,58
2022011105,0.003,0.5,0.030,0.012,70,58
2022011106,0.002,0.4,0.031,0.011,69,53
2022011107,0.002,0.4,0.030,0.012,60,51
2022011108,0.002,0.4,0.029,0.012,55,41
2022011109,0.002,0.5,0.023,0.019,45,36
2022011110,0.002,0.4,0.028,0.013,50,38
2022011111,0.002,0.4,0.031,0.012,41,26
2022011112,0.002,0.3,0.033,0.008,42,22
2022011113,0.002,0.3,0.037,0.006,56,25
2022011114,0.002,0.3,0.038,0.006,46,11
2022011115,0.002,0.3,0.037,0.007,37,7
2022011116,0.002,0.3,0.036,0.008,26,7
2022011117,0.002,0.3,0.033,0.009,22,4
2022011118,0.002,0.3,0.032,0.011,19,2
2022011119,0.002,0.3,0.031,0.011,17,6
2022011120,0.002,0.3,0.027,0.014,16,9
2022011121,0.002,0.3,0.027,0.012,26,10
2022011122,0.002,0.3,0.029,0.009,19,6
2022011123,0.002,0.3,0.030,0.008,19,5
2022011124,0.002,0.3,0.032,0.006,15,6
2022011201,0.002,0.2,0.033,0.004,15,7
2022011202,0.002,0.3,0.034,0.004,27,8
2022011203,0.002,0.3,0.034,0.004,18,9
2022011204,0.002,0.3,0.033,0.004,17,11
2022011205,0.002,0.3,0.032,0.004,20,10
2022011206,0.002,0.3,0.031,0.005,16,15
2022011207,0.002,0.3,0.030,0.007,16,13
2022011208,0.002,0.3,0.028,0.009,18,17
2022011209,0.002,0.3,0.022,0.016,23,8
2022011210,0.002,0.3,0.026,0.012,19,9
2022011211,0.002,0.3,0.029,0.010,18,9
2022011212,0.002,0.3,0.031,0.008,19,11
2022011213,0.002,0.3,0.032,0.008,24,10
2022011214,0.002,0.3,0.032,0.010,23,10
2022011215,0.002,0.3,0.033,0.011,15,13
