dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022011020,,,0.007,0.070,79,60
2022011021,,,0.010,0.058,79,75
2022011022,,,0.006,0.065,75,65
2022011023,,,0.009,0.057,77,64
2022011024,,,0.005,0.061,80,61
2022011101,,,0.004,0.055,79,64
2022011102,,,0.006,0.050,85,68
2022011103,,,0.007,0.045,81,67
2022011104,,,0.020,0.026,80,71
2022011105,,,0.033,0.012,68,59
2022011106,,,0.031,0.013,46,40
2022011107,,,0.014,0.034,45,42
2022011108,,,0.017,0.030,53,47
2022011109,,,0.023,0.020,43,
2022011110,,,0.030,0.012,41,29
2022011111,,,0.031,0.011,49,29
2022011112,,,0.027,0.013,49,28
2022011113,,,0.034,0.010,45,27
2022011114,,,0.035,0.011,31,13
2022011115,,,0.035,0.010,35,12
2022011116,,,0.034,0.010,21,8
2022011117,,,0.032,0.013,21,6
2022011118,,,0.027,0.017,20,7
2022011119,,,0.027,0.017,20,10
2022011120,,,0.026,0.018,22,10
2022011121,,,0.026,0.015,20,13
2022011122,,,0.028,0.012,15,14
2022011123,,,0.031,0.009,16,11
2022011124,,,0.031,0.008,16,10
2022011201,,,0.031,0.008,14,10
2022011202,,,0.031,0.008,14,8
2022011203,,,0.033,0.005,12,7
2022011204,,,0.032,0.005,16,8
2022011205,,,0.031,0.006,16,7
2022011206,,,0.028,0.010,13,12
2022011207,,,0.025,0.015,13,7
2022011208,,,0.022,0.020,13,5
2022011209,,,0.023,0.018,15,6
2022011210,,,0.026,0.014,10,8
2022011211,,,0.029,0.012,17,6
2022011212,,,0.030,0.010,9,7
2022011213,,,0.032,0.011,13,6
2022011214,,,0.035,0.008,9,4
2022011215,,,0.035,0.009,9,5
2022011216,,,0.034,0.011,9,7
2022011217,,,0.031,0.015,14,10
2022011218,,,0.024,0.024,18,7
2022011219,,,0.011,0.042,18,8
2022011220,,,0.002,0.054,20,15
2022011221,,,0.002,0.053,33,21
2022011222,,,0.006,0.043,31,21
2022011223,,,0.024,0.017,22,16
2022011224,,,0.026,0.012,18,
2022011301,,,0.030,0.008,20,17
2022011302,,,0.033,0.006,17,13
2022011303,,,0.033,0.005,13,11
2022011304,,,0.031,0.007,11,9
2022011305,,,0.029,0.010,11,9
2022011306,,,0.019,0.022,14,10
2022011307,,,0.009,0.035,21,14
2022011308,,,0.002,0.048,26,17
2022011309,,,0.004,0.045,34,20
2022011310,,,0.010,0.037,42,24
2022011311,,,0.024,0.017,44,33
2022011312,,,0.028,0.012,51,29
2022011313,,,0.031,0.008,37,24
2022011314,,,0.032,0.007,35,18
2022011315,,,0.031,0.008,32,11
2022011316,,,0.032,0.008,29,7
2022011317,,,0.030,0.010,39,5
2022011318,,,0.028,0.012,22,8
2022011319,,,0.025,0.016,21,12
2022011320,,,0.026,0.015,23,9
2022011321,,,0.029,0.011,19,9
2022011322,,,0.027,0.013,14,10
2022011323,,,0.028,0.010,14,7
2022011324,,,0.027,0.010,17,9
2022011401,,,0.028,0.008,11,9
2022011402,,,0.026,0.008,14,8
2022011403,,,0.026,0.008,16,7
2022011404,,,0.026,0.007,13,7
2022011405,,,0.028,0.006,17,7
2022011406,,,0.025,0.011,14,9
2022011407,,,0.022,0.016,20,10
2022011408,,,0.014,0.026,9,8
2022011409,,,0.015,0.028,17,6
2022011410,,,0.023,0.019,16,10
2022011411,,,0.029,0.012,13,9
2022011412,,,0.031,0.011,17,12
2022011413,,,0.031,0.011,24,7
2022011414,,,0.030,0.013,13,6
2022011415,,,0.031,0.013,17,5
2022011416,,,0.030,0.016,15,9
2022011417,,,,,,
2022011418,,,,,,
2022011419,,,0.004,0.054,18,10
2022011420,,,0.004,0.050,33,28
2022011421,,,0.008,0.038,49,44
2022011422,,,0.009,0.037,26,20
2022011423,,,0.006,0.041,17,14
2022011424,,,0.007,0.035,24,16
2022011501,,,0.003,0.038,19,10
2022011502,,,0.003,0.037,27,14
2022011503,,,0.004,0.035,25,14
2022011504,,,0.003,0.034,24,16
2022011505,,,0.003,0.033,21,12
2022011506,,,0.002,0.042,21,16
2022011507,,,0.002,0.037,27,15
2022011508,,,0.002,0.039,29,19
2022011509,,,0.003,0.044,30,19
2022011510,,,0.007,0.035,31,20
2022011511,,,0.011,0.031,37,20
2022011512,,,0.015,0.028,36,23
2022011513,,,0.020,0.028,43,16
2022011514,,,0.029,0.018,37,18
2022011515,,,0.032,0.017,29,21
2022011516,,,0.032,0.017,31,12
2022011517,,,0.030,0.020,25,11
2022011518,,,0.015,0.040,40,26
2022011519,,,0.006,0.052,38,21
2022011520,,,0.008,0.043,53,44
2022011521,,,0.008,0.040,40,40
2022011522,,,0.007,0.042,34,21
2022011523,,,0.009,0.037,29,19
2022011524,,,0.004,0.041,28,17
2022011601,,,0.003,0.040,27,22
2022011602,,,0.003,0.039,34,20
2022011603,,,0.003,0.034,27,20
2022011604,,,0.004,0.029,29,25
2022011605,,,0.004,0.027,30,27
2022011606,,,0.004,0.028,38,25
2022011607,,,0.002,0.034,31,25
2022011608,,,0.002,0.033,30,27
2022011609,,,0.004,0.035,29,22
2022011610,,,0.008,0.041,37,24
2022011611,,,0.025,0.021,44,31
2022011612,,,0.036,0.008,55,38
2022011613,,,0.038,0.008,61,44
2022011614,,,0.039,0.008,60,40
2022011615,,,0.040,0.007,57,31
2022011616,,,0.039,0.009,42,28
2022011617,,,0.036,0.013,50,27
2022011618,,,0.033,0.016,46,27
2022011619,,,0.029,0.020,31,18
2022011620,,,0.030,0.016,22,22
2022011621,,,0.030,0.014,21,18
2022011622,,,0.025,0.017,19,19
2022011623,,,0.029,0.011,27,11
2022011624,,,0.029,0.010,21,11
2022011701,,,0.027,0.010,20,11
2022011702,,,0.028,0.008,25,11
2022011703,,,0.027,0.009,18,9
2022011704,,,0.024,0.013,18,11
2022011705,,,0.023,0.013,14,8
2022011706,,,0.017,0.022,14,7
2022011707,,,0.004,0.040,23,8
2022011708,,,0.006,0.038,25,9
2022011709,,,0.008,0.037,24,14
2022011710,,,0.020,0.020,27,14
2022011711,,,0.029,0.011,16,10
2022011712,,,0.032,0.009,12,7
2022011713,,,0.033,0.008,13,4
2022011714,,,0.035,0.007,13,6
2022011715,,,0.036,0.007,14,6
2022011716,,,0.036,0.008,20,5
2022011717,,,0.034,0.011,14,6
2022011718,,,0.033,0.013,23,15
2022011719,,,0.028,0.019,28,10
2022011720,,,0.015,0.031,27,18
2022011721,,,0.015,0.032,30,17
2022011722,,,0.008,0.040,32,23
2022011723,,,0.020,0.024,36,24
2022011724,,,0.031,0.009,37,20
2022011801,,,0.034,0.006,25,16
2022011802,,,0.034,0.006,24,14
2022011803,,,0.035,0.005,12,12
2022011804,,,0.037,0.005,10,8
2022011805,,,0.032,0.009,9,8
2022011806,,,0.027,0.014,7,6
2022011807,,,0.020,0.023,7,4
2022011808,,,0.023,0.019,9,4
2022011809,,,0.016,0.029,13,10
2022011810,,,0.026,0.017,13,10
2022011811,,,0.030,0.012,16,8
2022011812,,,0.031,0.012,13,7
2022011813,,,0.032,0.011,12,8
2022011814,,,0.032,0.013,10,5
2022011815,,,0.035,0.010,15,5
2022011816,,,0.035,0.011,7,5
2022011817,,,0.030,0.018,11,4
2022011818,,,0.019,0.031,11,4
2022011819,,,0.009,0.045,20,6
2022011820,,,0.013,0.037,27,23
2022011821,,,0.018,0.027,27,20
2022011822,,,0.018,0.025,14,14
2022011823,,,0.008,0.037,15,11
2022011824,,,0.011,0.032,23,16
2022011901,,,0.012,0.028,24,15
2022011902,,,0.006,0.035,21,12
2022011903,,,0.006,0.033,23,12
2022011904,,,0.004,0.034,24,21
2022011905,,,0.005,0.032,22,18
2022011906,,,0.002,0.037,15,
2022011907,,,0.002,0.047,26,22
2022011908,,,0.002,0.054,31,17
2022011909,,,0.002,0.068,36,24
2022011910,,,0.004,0.052,52,27
2022011911,,,0.011,0.039,48,28
2022011912,,,0.018,0.029,50,33
2022011913,,,0.021,0.028,52,32
2022011914,,,,,54,34
2022011915,,,0.034,0.017,53,30
2022011916,,,0.033,0.020,53,30
2022011917,,,0.019,0.038,50,25
2022011918,,,0.011,0.049,59,35
2022011919,,,0.006,0.054,49,30
2022011920,,,0.006,0.052,45,28
2022011921,,,0.009,0.045,44,27
2022011922,,,0.016,0.037,40,25
2022011923,,,0.038,0.009,39,29
2022011924,,,0.041,0.007,27,18
2022012001,,,0.040,0.008,35,33
2022012002,,,0.038,0.008,47,36
2022012003,,,0.033,0.008,47,39
2022012004,,,0.032,0.009,32,27
2022012005,,,0.029,0.011,23,21
2022012006,,,0.021,0.021,27,20
2022012007,,,0.018,0.025,27,19
2022012008,,,0.016,0.027,28,24
2022012009,,,0.014,0.028,35,24
2022012010,,,0.016,0.027,38,28
2022012011,,,0.022,0.022,44,29
2022012012,,,0.027,0.018,36,27
2022012013,,,0.030,0.015,25,15
