dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,,,,,,
2022042115,,,,,,
2022042116,0.002,0.4,0.039,0.035,27.0,16.0
2022042117,0.002,0.4,0.035,0.036000000000000004,29.0,24.0
2022042124,0.002,0.4,0.007,0.040,43,30
2022042201,0.002,0.4,0.012,0.033,41,32
2022042202,0.002,0.4,0.019,0.024,44,26
2022042203,0.002,0.4,0.017,0.025,29,26
2022042204,0.002,0.4,0.012,0.026,34,27
2022042205,0.002,0.4,0.005,0.028,33,30
2022042206,0.002,0.4,0.003,0.034,42,36
2022042207,0.002,0.5,0.003,0.041,38,38
2022042208,0.002,0.5,0.005,0.041,44,37
2022042209,0.002,0.5,0.010,0.045,47,36
2022042210,0.003,0.4,0.037,0.034,53,41
2022042211,0.003,0.4,0.054,0.022,60,47
2022042212,0.003,0.4,0.061,0.021,31,17
2022042213,0.003,0.4,0.072,0.013,35,18
