dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.058,0.019,26,21
2022042115,0.002,0.3,0.044000000000000004,0.019,19,16
2022042116,0.002,0.3,0.046,0.021,25,18
2022042117,0.002,0.4,0.043,0.021,23,18
2022042124,0.003,0.4,0.027,0.017,23,
2022042201,0.002,0.3,0.026,0.020,26,
2022042202,0.002,0.3,0.037,0.015,32,27
2022042203,0.002,0.3,0.040,0.012,30,24
2022042204,0.003,0.3,0.037,0.012,27,24
2022042205,0.002,0.3,0.039,0.011,29,27
2022042206,0.003,0.3,0.036,0.011,27,23
2022042207,0.003,0.3,0.040,0.012,27,
2022042208,0.003,0.3,0.045,0.012,24,21
2022042209,0.003,0.3,0.049,0.013,24,16
2022042210,0.003,0.4,0.044,0.014,24,16
2022042211,0.003,0.3,0.041,0.023,26,20
2022042212,0.003,0.3,0.047,0.024,36,23
2022042213,0.003,0.3,0.052,0.021,36,16
