dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,,,0.052000000000000005,0.016,30,15
2022042115,,,0.053,0.012,28,12
2022042116,,,0.049,0.013,31,13
2022042117,,,0.048,0.012,26,16
2022042124,,,0.016,0.025,28,16
2022042201,,,0.022,0.020,32,16
2022042202,,,0.035,0.012,32,19
2022042203,,,0.048,0.005,30,18
2022042204,,,0.041,0.008,24,14
2022042205,,,0.040,0.007,29,15
2022042206,,,0.036,0.010,28,21
2022042207,,,0.031,0.015,36,24
2022042208,,,0.032,0.018,34,17
2022042209,,,0.050,0.012,34,17
2022042210,,,0.052,0.012,35,13
2022042211,,,0.051,0.014,37,14
2022042212,,,0.051,0.015,35,16
2022042213,,,0.060,0.008,37,10
