dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.039,0.01,23,17.0
2022042115,0.002,0.3,0.043,0.006999999999999999,20,
2022042116,0.002,0.3,0.04,0.009000000000000001,16,
2022042117,0.002,0.3,0.036000000000000004,0.011000000000000001,18,14.0
2022042124,0.002,0.3,0.020,0.010,24,21
2022042201,0.002,0.3,0.024,0.011,28,24
2022042202,0.002,0.3,0.023,0.012,33,25
2022042203,0.002,0.3,0.032,0.007,32,25
2022042204,0.002,0.3,0.035,0.006,16,15
2022042205,0.002,0.3,0.032,0.007,26,17
2022042206,0.002,0.4,0.029,0.008,25,22
2022042207,0.003,0.4,0.030,0.009,30,27
2022042208,0.002,0.3,0.031,0.010,30,26
2022042209,0.002,0.3,0.037,0.008,33,20
2022042210,0.002,0.3,0.037,0.010,37,21
2022042211,0.002,0.3,0.049,0.006,54,17
2022042212,0.002,0.3,0.061,0.006,60,22
2022042213,0.002,0.3,0.052,0.008,78,19
