dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.004,0.3,0.029,0.041,44,34
2022042115,0.003,0.4,0.042,0.026000000000000002,40,37
2022042116,0.003,0.3,0.041,0.021,31,27
2022042117,0.003,0.2,0.044000000000000004,0.021,27,25
2022042124,0.004,0.2,0.014,0.028,47,
2022042201,0.004,0.2,0.011,0.026,33,33
2022042202,0.004,0.2,0.021,0.017,26,23
2022042203,0.003,0.2,0.024,0.020,28,25
2022042204,0.003,0.2,0.026,0.019,28,28
2022042205,0.003,0.2,0.028,0.019,31,31
2022042206,0.003,0.2,0.021,0.024,33,30
2022042207,0.003,0.3,0.024,0.026,29,27
2022042208,0.004,0.2,0.030,0.021,34,30
2022042209,0.005,0.2,0.031,0.021,28,25
2022042210,0.005,0.2,0.040,0.019,21,
2022042211,0.005,0.3,0.035,0.007,21,18
2022042212,0.005,0.2,0.042,0.003,30,20
2022042213,0.006,0.2,0.047,0.002,26,20
