dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.057,0.022,22,18
2022042115,0.002,0.3,0.049,0.027999999999999997,21,12
2022042116,0.002,0.3,0.045,0.029,27,20
2022042117,0.002,0.4,0.047,0.026000000000000002,31,22
2022042124,0.002,0.4,0.023,0.022,18,13
2022042201,0.002,0.4,0.024,0.024,20,15
2022042202,0.002,0.4,0.033,0.017,34,25
2022042203,0.002,0.4,0.032,0.017,31,22
2022042204,0.002,0.4,0.032,0.016,31,25
2022042205,0.002,0.4,0.015,0.025,34,25
2022042206,0.002,0.4,0.010,0.031,37,30
2022042207,0.002,0.4,0.029,0.026,34,28
2022042208,0.002,0.5,0.023,0.035,34,29
2022042209,0.003,0.4,0.028,0.034,43,31
2022042210,0.003,0.3,0.049,0.020,35,27
2022042211,0.004,0.4,0.057,0.021,21,15
2022042212,0.003,0.3,0.065,0.013,28,15
2022042213,0.002,0.3,0.070,0.009,44,24
