dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.057,0.018000000000000002,24,14
2022042115,0.003,0.4,0.040999999999999995,0.031,24,13
2022042116,0.003,0.4,0.042,0.031,25,21
2022042117,0.003,0.4,0.037000000000000005,0.034,33,21
2022042124,0.003,0.3,0.035,0.009,30,9
2022042201,0.003,0.3,0.051,0.007,20,10
2022042202,0.003,0.3,0.063,0.004,20,14
2022042203,0.003,0.3,0.062,0.004,13,10
2022042204,0.004,0.4,0.059,0.005,19,13
2022042205,0.004,0.4,0.060,0.005,19,17
2022042206,0.003,0.3,0.058,0.007,22,
2022042207,0.004,0.4,0.055,0.013,14,13
2022042208,0.004,0.3,0.062,0.014,22,12
2022042209,0.004,0.3,0.063,0.012,27,11
2022042210,0.004,0.3,0.062,0.010,19,16
2022042211,0.004,0.4,0.062,0.014,27,15
2022042212,0.004,0.4,0.063,0.015,35,14
2022042213,0.004,0.3,0.066,0.013,42,13
