dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.033,0.041,28,25
2022042115,0.002,0.3,0.037000000000000005,0.031,41,17
2022042116,0.002,0.3,0.04,0.028,31,21
2022042117,0.002,0.3,0.051,0.013999999999999999,26,12
2022042124,0.002,0.3,0.019,0.035,27,19
2022042201,0.003,0.3,0.009,0.041,22,19
2022042202,0.002,0.3,0.027,0.021,31,28
2022042203,0.002,0.3,0.033,0.017,29,20
2022042204,0.002,0.4,0.035,0.014,22,15
2022042205,0.002,0.3,0.032,0.018,22,20
2022042206,0.002,0.3,0.029,0.020,23,20
2022042207,0.002,0.4,0.026,0.025,28,19
2022042208,0.003,0.4,0.026,0.029,29,23
2022042209,0.003,0.3,0.036,0.027,29,23
2022042210,0.003,0.3,0.044,0.024,45,19
2022042211,0.003,0.3,0.045,0.026,41,16
2022042212,0.002,0.3,0.053,0.019,41,20
2022042213,0.002,0.3,0.059,0.012,39,12
