dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.049,0.018000000000000002,29,19.0
2022042115,0.002,0.3,0.036000000000000004,0.032,14,12.0
2022042116,0.002,0.3,0.033,0.03,17,
2022042117,0.002,0.3,0.034,0.032,25,21.0
2022042124,0.002,0.3,0.013,0.017,18,14
2022042201,0.002,0.3,0.016,0.013,18,15
2022042202,0.002,0.3,0.011,0.012,22,17
2022042203,0.002,0.3,0.006,0.017,20,18
2022042204,0.002,0.4,0.002,0.021,10,
2022042205,0.002,0.4,0.005,0.018,17,16
2022042206,0.002,0.4,0.007,0.017,18,
2022042207,0.002,0.4,0.010,0.019,22,20
2022042208,0.002,0.4,0.008,0.024,27,25
2022042209,0.002,0.4,0.016,0.017,29,25
2022042210,0.003,0.4,0.023,0.025,31,28
2022042211,0.003,0.3,0.046,0.015,33,27
2022042212,0.003,0.3,0.056,0.010,25,17
2022042213,0.002,0.3,0.061,0.006,26,15
