dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.06,0.017,28,21
2022042115,0.002,0.3,0.052000000000000005,0.025,23,16
2022042116,,,,,24,19
2022042117,,,,,30,15
2022042124,0.002,0.4,0.017,0.025,36,28
2022042201,0.002,0.4,0.016,0.021,33,23
2022042202,0.002,0.4,0.009,0.025,34,27
2022042203,0.002,0.4,0.010,0.021,38,26
2022042204,0.002,0.4,0.012,0.019,42,32
2022042205,0.002,0.4,0.008,0.023,44,37
2022042206,0.002,0.4,0.005,0.026,45,34
2022042207,0.002,0.4,0.005,0.028,49,39
2022042208,0.002,0.4,0.006,0.033,34,
2022042209,0.002,0.5,0.007,0.036,44,40
2022042210,0.002,0.4,0.027,0.030,50,36
2022042211,0.003,0.4,0.054,0.020,43,27
2022042212,0.002,0.4,0.063,0.016,38,22
2022042213,0.002,0.4,0.070,0.014,48,17
