dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.042,0.027000000000000003,30.0,18.0
2022042115,0.003,0.3,0.045,0.024,25.0,19.0
2022042116,0.003,0.4,0.034,0.031,27.0,20.0
2022042117,,,,,,
2022042124,0.002,0.3,0.006,0.029,42,30
2022042201,0.002,0.3,0.005,0.031,38,34
2022042202,0.002,0.3,0.004,0.031,42,30
2022042203,0.003,0.3,0.009,0.021,40,38
2022042204,0.003,0.3,0.007,0.021,38,34
2022042205,0.002,0.3,0.003,0.024,48,38
2022042206,0.002,0.3,0.002,0.026,31,
2022042207,0.002,0.3,0.003,0.027,39,37
2022042208,0.003,0.4,0.004,0.029,38,35
2022042209,0.003,0.4,0.008,0.030,48,39
2022042210,0.003,0.3,0.024,0.031,60,32
2022042211,0.003,0.3,0.045,0.016,45,28
2022042212,0.003,0.3,0.049,0.016,33,17
2022042213,0.004,0.3,0.047,0.018,27,16
