dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,,,0.049,0.013,29,20
2022042115,,,0.040999999999999995,0.015,24,17
2022042116,,,0.037000000000000005,0.018000000000000002,18,13
2022042117,,,0.033,0.021,22,17
2022042124,,,0.002,0.028,31,27
2022042201,,,0.012,0.024,33,25
2022042202,,,0.008,0.024,35,23
2022042203,,,0.021,0.016,37,36
2022042204,,,0.032,0.009,28,
2022042205,,,0.028,0.010,27,23
2022042206,,,0.023,0.014,29,26
2022042207,,,0.020,0.018,33,
2022042208,,,0.024,0.020,32,30
2022042209,,,0.029,0.020,33,27
2022042210,,,0.039,0.019,30,19
2022042211,,,0.053,0.011,36,18
2022042212,,,0.055,0.012,33,10
2022042213,,,0.053,0.012,36,17
