dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.045,0.028,27,22
2022042115,0.002,0.3,0.042,0.027000000000000003,31,29
2022042116,0.002,0.3,0.042,0.025,38,25
2022042117,0.002,0.3,0.039,0.026000000000000002,38,29
2022042124,0.002,0.4,0.005,0.037,36,20
2022042201,0.002,0.3,0.023,0.016,43,24
2022042202,0.002,0.3,0.017,0.020,28,26
2022042203,0.002,0.3,0.010,0.022,38,26
2022042204,0.002,0.3,0.011,0.018,29,23
2022042205,0.002,0.3,0.006,0.020,38,27
2022042206,0.002,0.4,0.002,0.023,32,27
2022042207,0.002,0.4,0.004,0.022,29,24
2022042208,0.002,0.4,0.011,0.020,31,25
2022042209,0.002,0.4,0.019,0.021,37,27
2022042210,0.002,0.3,0.049,0.011,37,28
2022042211,0.002,0.3,0.052,0.010,27,15
2022042212,0.002,0.3,0.058,0.007,27,13
2022042213,0.002,0.3,0.062,0.007,28,13
