dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.5,0.059,0.006,55,21
2022042115,0.002,0.5,0.057,0.006,53,24
2022042116,0.002,0.5,0.057,0.006,62,21
2022042117,0.002,0.5,0.059000000000000004,0.005,60,25
2022042124,0.001,0.5,0.058,0.005,48,18
2022042201,0.001,0.5,0.061,0.005,52,22
2022042202,0.002,0.5,0.062,0.005,60,25
2022042203,0.001,0.5,0.063,0.005,49,26
2022042204,0.001,0.5,0.063,0.005,38,21
2022042205,0.001,0.6,0.061,0.005,46,20
2022042206,0.001,0.6,0.060,0.005,48,25
2022042207,0.001,0.6,0.058,0.005,58,27
2022042208,0.002,0.6,0.058,0.006,70,31
2022042209,0.001,0.6,0.056,0.006,67,33
2022042210,0.002,0.6,0.055,0.007,74,36
2022042211,0.002,0.6,0.054,0.006,101,45
2022042212,0.001,0.6,0.051,0.006,109,54
2022042213,0.001,0.7,0.048,0.009,87,48
