dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.2,0.062,0.016,31,13
2022042115,0.002,0.2,0.055,0.015,24,15
2022042116,0.002,0.3,0.052000000000000005,0.019,20,15
2022042117,,,,,22,13
2022042124,0.002,0.3,0.010,0.024,27,21
2022042201,0.002,0.3,0.016,0.022,33,20
2022042202,0.002,0.3,0.027,0.018,29,17
2022042203,0.002,0.2,0.034,0.012,26,15
2022042204,0.002,0.2,0.035,0.011,27,13
2022042205,0.002,0.2,0.034,0.010,29,16
2022042206,0.002,0.3,0.034,0.012,28,18
2022042207,0.002,0.3,0.029,0.013,32,22
2022042208,0.002,0.3,0.036,0.016,30,19
2022042209,0.003,0.3,0.049,0.017,31,2
2022042210,0.003,0.2,0.062,0.014,29,17
2022042211,0.003,0.2,0.076,0.011,33,14
2022042212,0.002,0.2,0.080,0.012,42,17
2022042213,0.003,0.3,0.072,0.015,45,14
