dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,,,,,,
2022042115,0.002,0.3,0.040999999999999995,0.036000000000000004,25.0,20.0
2022042116,0.002,0.3,0.043,0.034,32.0,18.0
2022042117,0.002,0.3,0.039,0.033,33.0,21.0
2022042124,0.002,0.3,0.017,0.041,44,26
2022042201,0.002,0.3,0.013,0.039,29,16
2022042202,0.002,0.3,0.012,0.045,43,20
2022042203,0.003,0.3,0.032,0.033,37,24
2022042204,0.004,0.4,0.015,0.048,27,17
2022042205,0.003,0.4,0.012,0.045,40,20
2022042206,0.003,0.4,0.016,0.041,47,25
2022042207,0.003,0.4,0.009,0.045,39,24
2022042208,0.004,0.4,0.008,0.063,40,23
2022042209,0.004,0.3,0.042,0.031,59,29
2022042210,0.003,0.4,0.045,0.031,31,12
2022042211,0.003,0.3,0.036,0.038,37,13
2022042212,0.003,0.3,0.039,0.037,37,19
2022042213,0.003,0.3,0.056,0.021,32,12
