dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.004,0.3,0.011,0.096,45,26
2022042115,0.003,0.3,0.027999999999999997,0.065,38,27
2022042116,0.003,0.2,0.043,0.036000000000000004,30,14
2022042117,0.002,0.3,0.043,0.035,27,10
2022042124,0.003,0.3,0.016,0.038,34,19
2022042201,0.003,0.3,0.015,0.035,29,23
2022042202,0.003,0.3,0.009,0.052,35,30
2022042203,0.003,0.3,0.020,0.035,33,18
2022042204,0.003,0.3,0.010,0.055,30,17
2022042205,0.003,0.3,0.022,0.039,33,22
2022042206,0.003,0.3,0.017,0.046,28,19
2022042207,0.003,0.3,0.012,0.057,27,14
2022042208,0.003,0.3,0.041,0.022,31,17
2022042209,0.003,0.3,0.040,0.029,21,15
2022042210,0.003,0.3,0.053,0.017,19,13
2022042211,0.003,0.3,0.062,0.014,27,14
2022042212,0.003,0.3,0.063,0.021,25,15
2022042213,0.003,0.3,0.069,0.023,41,14
