dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.063,0.011,32,16
2022042115,0.002,0.3,0.05,0.021,26,15
2022042116,0.002,0.3,0.05,0.021,29,16
2022042117,0.002,0.3,0.052000000000000005,0.015,29,20
2022042124,0.002,0.3,0.040,0.009,18,11
2022042201,0.002,0.3,0.031,0.015,15,11
2022042202,0.002,0.4,0.024,0.024,24,13
2022042203,0.003,0.3,0.058,0.005,32,18
2022042204,0.004,0.4,0.054,0.006,20,15
2022042205,0.003,0.4,0.052,0.007,21,16
2022042206,0.002,0.4,0.026,0.020,22,15
2022042207,0.002,0.4,0.030,0.024,34,23
2022042208,0.003,0.4,0.022,0.035,29,17
2022042209,0.003,0.4,0.064,0.010,42,19
2022042210,0.003,0.4,0.059,0.011,35,12
2022042211,0.003,0.4,0.045,0.023,30,14
2022042212,0.003,0.4,0.041,0.026,37,19
2022042213,0.003,0.3,0.057,0.016,47,15
