dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.048,0.016,29,23
2022042115,0.003,0.3,0.043,0.017,22,14
2022042116,0.003,0.3,0.043,0.017,23,18
2022042117,0.003,0.3,0.046,0.013000000000000001,21,13
2022042124,0.003,0.4,0.013,0.029,32,28
2022042201,0.003,0.3,0.014,0.027,35,31
2022042202,0.003,0.3,0.024,0.015,34,30
2022042203,0.003,0.3,0.037,0.009,27,27
2022042204,0.003,0.3,0.033,0.010,24,24
2022042205,0.003,0.3,0.028,0.013,27,24
2022042206,0.003,0.3,0.024,0.016,29,27
2022042207,0.003,0.3,0.029,0.016,35,30
2022042208,0.003,0.3,0.026,0.022,29,23
2022042209,0.003,0.3,0.033,0.022,27,23
2022042210,0.004,0.3,0.040,0.021,34,25
2022042211,0.003,0.3,0.055,0.012,33,20
2022042212,0.003,0.3,0.052,0.017,25,15
2022042213,0.003,0.3,0.051,0.017,32,18
