dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.04,0.031,33,19
2022042115,0.003,0.3,0.044000000000000004,0.017,32,14
2022042116,0.003,0.3,0.034,0.029,19,12
2022042117,0.003,0.3,0.038,0.021,29,12
2022042124,0.002,0.4,0.013,0.026,39,24
2022042201,0.002,0.3,0.017,0.025,38,26
2022042202,0.002,0.3,0.026,0.018,42,26
2022042203,0.002,0.3,0.037,0.012,32,24
2022042204,0.002,0.3,0.039,0.010,29,17
2022042205,0.002,0.3,0.031,0.014,33,18
2022042206,0.002,0.3,0.018,0.027,36,27
2022042207,0.003,0.4,0.012,0.042,43,26
2022042208,0.003,0.4,0.014,0.042,49,29
2022042209,0.003,0.4,0.017,0.046,57,27
2022042210,0.003,0.4,0.030,0.043,51,24
2022042211,0.003,0.4,0.043,0.039,53,23
2022042212,0.003,0.4,0.052,0.032,50,17
2022042213,0.003,0.4,0.047,0.035,57,20
