dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.002,0.3,0.049,0.025,26,19
2022042115,0.002,0.2,0.051,0.017,25,19
2022042116,0.002,0.3,0.046,0.022,18,14
2022042117,0.002,0.2,0.051,0.015,21,17
2022042124,0.002,0.3,0.029,0.011,23,17
2022042201,0.002,0.2,0.034,0.009,26,17
2022042202,0.002,0.2,0.039,0.007,20,16
2022042203,0.002,0.2,0.041,0.007,17,14
2022042204,0.002,0.3,0.038,0.009,23,18
2022042205,0.002,0.3,0.038,0.011,27,16
2022042206,0.003,0.4,0.032,0.019,23,18
2022042207,0.002,0.4,0.024,0.027,35,26
2022042208,0.003,0.3,0.058,0.008,34,28
2022042209,0.002,0.3,0.063,0.009,28,20
2022042210,0.002,0.3,0.072,0.009,30,16
2022042211,0.002,0.3,0.077,0.010,39,18
2022042212,0.002,0.3,0.082,0.009,41,25
2022042213,0.002,0.3,0.084,0.008,39,23
