dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042114,0.003,0.3,0.036000000000000004,0.034,28,21
2022042115,0.004,0.4,0.037000000000000005,0.033,26,16
2022042116,0.003,0.4,0.032,0.033,29,25
2022042117,0.003,0.4,0.035,0.03,38,27
2022042124,0.003,0.4,0.008,0.032,32,25
2022042201,0.003,0.3,0.012,0.026,35,29
2022042202,0.003,0.3,0.020,0.021,30,25
2022042203,0.003,0.3,0.019,0.022,26,25
2022042204,0.003,0.3,0.019,0.022,30,22
2022042205,0.003,0.4,0.015,0.023,28,27
2022042206,0.003,0.4,0.010,0.027,37,36
2022042207,0.003,0.4,0.009,0.035,40,35
2022042208,0.003,0.4,0.011,0.031,39,28
2022042209,0.003,0.4,0.020,0.028,46,30
2022042210,0.004,0.4,0.037,0.020,43,27
2022042211,0.005,0.4,0.052,0.014,29,20
2022042212,0.005,0.4,0.055,0.012,37,16
2022042213,0.004,0.3,0.061,0.010,33,20
